brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Eyefinity Support ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Mantle Support ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RoHS Compliant ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,TrueAudio Support ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
GIGABYTE,RX 580,GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$218.00 (3 Offers)–,4.0,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-580-gv-rx580gaming-8gd/p/N82E16814125962?Description=RX,NONE,GIGABYTE,"9.13"" x 4.57""",AMD,WINDFORCE 2X,1355 MHz (OC Mode) / 1340 MHz (Gaming Mode),NONE,1 x Dual-Link DVI-D,12-Oct-20,DirectX 12,3 x DP (Gold Plated),Yes,NONE,8000 MHz,NONE,NONE,ATX,Radeon RX 580,AMD Radeon RX 500 Series,NONE,1 x HDMI (Gold Plated),PCI Express 3.0 x16,NONE,NONE,232 mm,NONE,256-Bit,8GB,GDDR5,GV-RX580GAMING-8GD,5,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,Dual Slot,2304 Stream Processors,System PSU Limitation: 500W,185W,NONE,Yes,3 (100% Positive),231.90200000000002,116.078
MSI,RX 580,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 4G OC 4GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$299.99 (2 Offers)–,5.0,Free Shipping,https://www.newegg.com/msi-radeon-rx-580-rx-580-armor-4g-oc/p/27N-0023-000U6?Description=RX,1366 MHz,MSI,"10.59"" x 4.92""",AMD,Double Fans,NONE,"Crossfire, 2-Way (Bridgeless)",1 x DVI-D,3-May-19,DirectX 12,2 x DisplayPort,NONE,NONE,7000 MHz,NONE,NONE,NONE,Radeon RX 580,AMD Radeon RX 500 Series,Yes,2 x HDMI,PCI Express x16,NONE,NONE,269 mm,NONE,256-Bit,4GB,GDDR5,RX 580 ARMOR 4G OC,5,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2304 Stream Processors,Power consumption: 150W Recommended PSU: 500W,300W,NONE,Yes,291 (90% Positive),268.986,124.96799999999999
XFX,RX 580,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,$248.91 (11 Offers)–,4.0,Free Shipping,https://www.newegg.com/xfx-radeon-rx-580-rx-580p8dfd6/p/N82E16814150803?Description=RX,NONE,XFX,"10.63"" x 4.88""",AMD,DD Fansink,True: 1366 MHzOC+: 1386 MHz,Yes,1 x DL-DVI-D,11-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,True: 8 GHzOC+: 8.1 GHz,Yes,3 Years with Registration at XFXMicrosoft Windows 10 SupportFinFET 14nm TechnologyGCN 4th Generation ArchitectureAMD Virtual Super Resolution (VSR)AMD ReliveAMD ChillAMD LiquidVR TechnologyAMD FreeSync 2 TechnologyAMD Frame Rate Target Control (FRTC)AMD Eyefinity multi-display technologyAMD App AccelerationAMD XConnect ReadyAMD Radeon Crimson SoftwareAMD WattManAMD APP AccelerationDolby TrueHD and DTS-HD Master Audio SupportUp to 6 displays supported (may require the use of MST Hubs)Advanced GDDR5 Memory TechnologyVulkan and Mantle Ready. Next Generation APIsOpenCL Support,NONE,Radeon RX 580,AMD Radeon RX 500 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,NONE,270 mm,4096 x 2160,256-Bit,8GB,GDDR5,RX-580P8DFD6,NONE,OpenGL 4.5,NONE,NONE,Accessories:8-pin to 6-pin power cableDriver Disk Installation GuideInstallation DVD,8-Pin,Yes,NONE,Dual Slot,2304 Stream Processors,Minimum Power Supply Requirement: 500WXFX Recommended Power Supply: XFX 550W PSU,185W,Yes,Yes,"5,568 (87% Positive)",270.002,123.95199999999998
Sapphire,RX 580,"Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI), 100411P8GOCL",$223.22 (9 Offers)–,4.0,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-580-100411p8gocl/p/N82E16814202278?Description=RX,1366 MHz,SAPPHIRE,"9.06"" x 4.92""",AMD,Double Fans,NONE,Yes,1 x DL-DVI-D,18-Apr-17,DirectX 12,2 x DisplayPort 1.4,Yes,NONE,"Up to 2000 MHz, Effective 8000 Mbps",Yes,AMD LiquidVR Technology (Radeon VR Ready Premium)HDR ReadyVulkan OptimizedRadeon Freesync 2 ReadyNext Gen FinFET 14 Technology4th Generation GCN ArchitectureOpenCL SupportHDMI 4K60 / Display Port 1.4AMD CrossFire technology (bridgeless) - up to 2 GPUsRadeon XConnect technologyCompatible with AMD and Intel PlatformsSapphire Dual-X Cooling TechnologyIntelligent Fan Control IIIPrecision Fan ControlFuse Protection,ATX,Radeon RX 580,AMD Radeon RX 500 Series,NONE,2 x HDMI,PCI Express 3.0,NONE,NONE,230 mm,DisplayPort 1.4: 5120 x 2880 @ 60 HzHDMI: 4096 x 2160 @ 60 HzDL-DVI-D: 2560 x 1600 @ 60 Hz,256-Bit,8GB,GDDR5,100411P8GOCL,5,OpenGL 4.5,"Windows 10, Windows 7, 64-bit operating system required",NONE,ACCESSORIES:Driver DVD,8-Pin,NONE,PULSE,Dual Slot,2304 Stream Processors,PCI Express compliant motherboard with one x16 graphics slot.500W (or greater) power supply with minimum one PCIE 8-pin power connector is required.Minimum 4GB of system memory. Recommended 8GB.See amd.com/VR ready for more information.,185W,NONE,Yes,"5,943 (91% Positive)",230.124,124.96799999999999
Sapphire,RX 580,SAPPHIRE PULSE Radeon RX 580 DirectX 12 11265-05-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Cards,$239.99 (3 Offers)–,5.0,$3.99 Shipping,https://www.newegg.com/sapphire-radeon-rx-580-11265-05-20g/p/N82E16814202362?Description=RX,1366 MHz,SAPPHIRE,"9.06"" x 4.92""",AMD,Double Fans,NONE,Yes,1 x DVI-D,20-Dec-19,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,8000 MHz,Yes,Sapphire Features:Dual-X CoolingLong Life Dual Ball Bearing FansIntelligent Fan Control IIIQuick Connect SystemLong Life CapacitorBackplateBlack Diamond 4 ChokesFuse protectionAMD Features:Radeon VR Ready PremiumRadeon SoftwareRadeon FreeSync TechnologyAMD LiquidVR Technology4th Gen GCN ArchitectureRadeon ChillRadeon ReLive DirectX 12 TechnologyAMD Eyefinity Technology (Gaming)AMD App AccelerationAMD CrossFire TechnologyAMD CrossFire (Bridgeless)3rd Gen 14nm Process TechnologyOpenCL 2.0OpenGL 4.5AMD PowerTune TechnologyTrueAudio NextUnified Video Decoder (UVD)Video Code Engine (VCE)Virtual Super ResolutionThe Vulkan API,NONE,Radeon RX 580,AMD Radeon RX 500 Series,NONE,2 x HDMI,PCI Express 3.0,NONE,NONE,230 mm,DisplayPort: 5120x2880@60HzHDMI: 4096x2160@60HzDVI: 2560x1600@60Hz,256-Bit,8GB,GDDR5,11265-05-20G,5,OpenGL 4.5,"Windows 10, Windows 7, 64-bit operating system required",NONE,NONE,8-Pin,NONE,PULSE,Dual Slot,2304 Stream Processors,500-Watt or greater power supply (Recommended)1 x 8-pin Power ConnectorPCI Express compliant motherboard with one x16 graphics slot,<225W,NONE,Yes,486 (90% Positive),230.124,124.96799999999999
XFX,RX 580,"XFX Radeon RX 580 GTS Black Edition 1405 MHz OC+, 8GB 256-bit GDDR5, DX12 VR Ready, Double Dissipation, Dual BIOS, PCI-E AMD Graphics Card (RX-580P828D6)",$329.33 (2 Offers)–,3.0,Free Shipping,https://www.newegg.com/xfx-radeon-rx-580-rx-580p828d6/p/N82E16814150794?Description=RX,NONE,XFX,"10.63"" x 4.88""",AMD,Double Fans,1405 MHz (OC+ Capable Clock)1386 MHz (True Clock),Yes,1 x DL-DVI-D,15-Feb-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,True Clock: 8.0 GHzOC+ Capable Clock: 8.1 GHz,Yes,3 Years with Registration at XFXMicrosoft Windows 10 SupportFinFET 14nm TechnologyGCN 4th Generation ArchitectureAMD Virtual Super Resolution (VSR)AMD ReliveAMD ChillAMD LiquidVR TechnologyAMD FreeSync 2 TechnologyAMD Frame Rate Target Control (FRTC)AMD CrossFire technologyAMD Eyefinity multi-display technologyAMD App AccelerationAMD TrueAudio TechnologyAMD XConnect ReadyAMD Radeon Crimson SoftwareAMD WattManAMD APP AccelerationDolby TrueHD and DTS-HD Master Audio SupportUp to 6 displays supported (may require the use of MST Hubs)Advanced GDDR5 Memory TechnologyVulkan and Mantle Ready. Next Generation APIsOpenCL Support,NONE,Radeon RX 580,AMD Radeon RX 500 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,Yes,270 mm,4096 x 2160,256-Bit,8GB,GDDR5,RX-580P828D6,NONE,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2304 Stream Processors,Minimum Power Supply Requirement: 500WXFX Recommended Power Supply: XFX 550W PSU,185W,Yes,Yes,43 (63% Positive),270.002,123.95199999999998
Sapphire,RX 580,Sapphire 11265-05-20G Radeon PULSE RX 580 8GB GDDR5 DUAL HDMI / DVI-D / DUAL DP OC  Graphic Cards,$245.00 (3 Offers)–,5.0,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-580-11265-05-20g/p/1FT-000B-000D4?Description=RX,1366 MHz,SAPPHIRE,"9.06"" x 4.92""",AMD,Double Fans,NONE,NONE,1 x DL-DVI-D,10-Jun-20,DirectX 12,2 x DisplayPort 1.4,Yes,NONE,"2000 MHz, 8000 MHz Effective",NONE,FreeSync TechnologyQuad HD Display (4K*2K Support)Black Diamond ChokeAMD Liquid VR TechnologyAMD Xconnect readyRadeon VR ready PremiumHDR ReadyFrame Rate Target ControlNITRO Quick Connect systemDual-X CoolingBlack Diamond Choke 4Fuse protectionPrecision fan controlRobust VRM CoolingRadeon ChillRadeon Relive,NONE,Radeon RX 580,AMD Radeon RX 500 Series,NONE,2 x HDMI,NONE,NONE,NONE,230 mm,3840 x 2160,256-Bit,8GB,GDDR5,11265-05-20G,5,OpenGL 4.5,Windows 10Windows 7,NONE,NONE,8-Pin,NONE,PULSE,Dual Slot,2304 Stream Processors,Power Consumption: <225W500-Watt Power Supply (Suggestion)1 x 8-pin AUX Power ConnectorBlue-ray / HD DVD playback requires Blu-ray / HD DVD drivePCI Express 2.0 or higher version based PC is required with one X16 lane graphics slot available on the motherboard in order for the card to be compatible with,300W,NONE,NONE,-7,230.124,124.96799999999999
PowerColor,RX 580,PowerColor RED DEVIL Golden Radeon RX 580 DirectX 12 AXRX 580 8GBD5-3DHG/OC 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,$684.27 (2 Offers)–,4.0,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-580-axrx-580-8gbd5-3dhg-oc/p/N82E16814131712?Description=RX,1425 MHz,PowerColor,"10.04"" x 6.18""",AMD,Double Fans,NONE,Yes,1 x DL-DVI-D,29-Aug-19,DirectX 12,3 x DisplayPort,Yes,NONE,2000 MHz (8.0 Gbps),NONE,NONE,ATX,Radeon RX 580,AMD Radeon RX 500 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,255 mm,NONE,256-Bit,8GB,GDDR5,AXRX 580 8GBD5-3DHG/OC,3,OpenGL 4.5,NONE,NONE,"ACCESSORY:ManualDriver (PCIE, PCI)",1 x 6-Pin1 x 8-Pin,NONE,RED DEVIL Golden,Triple Slot,2304 Stream Processors,Minimum System Power Requirement: 600W,300W,NONE,Yes,"12,049 (81% Positive)",255.01599999999996,156.97199999999998
MSI,RX 580,MSI Radeon RX 580 DirectX 12 RX 580 8GT 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$324.97 –,4.0,Free Shipping,https://www.newegg.com/msi-radeon-rx-580-rx-580-8gt-oc/p/N82E16814137479?Description=RX,1360 MHz,MSI,"9.33"" x 4.48""",AMD,Double Fans,NONE,"Crossfire, 2-Way (Bridgeless)",NONE,16-Jun-20,DirectX 12,3 x DisplayPort,NONE,NONE,8000 MHz,NONE,NONE,NONE,Radeon RX 580,AMD Radeon RX 500 Series,2.2,1 x HDMI,PCI Express x16,NONE,NONE,237 mm,7680 x 4320,256-Bit,8GB,GDDR5,RX 580 8GT,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2304 Stream Processors,Recommended PSU: 500W,300W,NONE,Yes,-32,236.982,113.792
MSI,RX 580,MSI Radeon RX 580 DirectX 12 RX 580 8G 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$199.99 –,3.0,Special Shipping,https://www.newegg.com/msi-radeon-rx-580-rx-580-8g-blower-r/p/1FT-0009-001U8?Description=RX,NONE,MSI,NONE,AMD,With Fan,NONE,Yes,NONE,24-May-20,DirectX 12,3 x DisplayPort,NONE,NONE,NONE,Yes,NONE,Plug-in CardFull-height,Radeon RX 580,AMD Radeon RX 500 Series,Yes,1 x HDMI,PCI Express 3.0 x16,No,Yes,NONE,NONE,256-Bit,8GB,GDDR5,RX 580 8G Blower-R,Yes,OpenGL 4.6,NONE,NONE,NONE,6-Pin,Yes,NONE,Dual Slot,2304 Stream Processors,NONE,300W,NONE,NONE,-2,0.0,0.0
