Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
ASUS,768,NVIDIA,Double Fans,1 x DVI-D,13-Mar-20,NONE,1 x DisplayPort 1.4,NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,114.3,PCI Express 3.0,203.2,7680 x 4320,128-Bit,4GB,GDDR5,CERBERUS-GTX1050TI-O4G,OpenGL 4.5,NONE,Dual Slot,GTX 1050,0,1366,7008,13,210.48,"ASUS Cerberus GeForce GTX 1050 Ti 4GB OC Edition GDDR5 Gaming Graphics Card, CERBERUS-GTX1050TI-O4G",4
ASUS,768,NVIDIA,Double Fans,2 x Native DVI-D,3-Apr-19,NONE,1 x Native DisplayPort 1.4,NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x Native HDMI 2.0,129.032,PCI Express 3.0,241.046,7680 x 4320,128-Bit,4GB,GDDR5,STRIX-GTX1050TI-O4G-GAMING,OpenGL 4.5,NONE,Dual Slot,GTX 1050,1506,1392,7008,24,454.99,ASUS ROG GeForce GTX 1050 Ti STRIX-GTX1050TI-O4G-GAMING 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,5
ASUS,768,NVIDIA,Double Fans,1 x DVI-D,12-Mar-19,NONE,1 x DisplayPort 1.4,NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,114.3,PCI Express 3.0,203.2,7680 x 4320,128-Bit,4GB,GDDR5,CERBERUS-GTX1050TI-O4G,OpenGL 4.5,NONE,Dual Slot,GTX 1050,0,1366,7008,17,350.99,"ASUS Cerberus GeForce GTX 1050 Ti 4GB GDDR5 Gaming Graphics Card, CERBERUS-GTX1050TI-A4G",
ASUS,768,NVIDIA,Double Fans,1 x DVI-D (Native),7-Oct-20,DirectX 12,1 x DisplayPort (Native),NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0 (Native),114.046,PCI Express 3.0,212.09,7680 x 4320,128-Bit,4GB,GDDR5,DUAL-GTX1050TI-O4G,OpenGL 4.5,NONE,Dual Slot,GTX 1050,1455,1341,7008,167,,ASUS GeForce GTX 1050 Ti DirectX 12 DUAL-GTX1050TI-O4G 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4
ASUS,768,NVIDIA,Single Fan,1 x Native DVI-D,13-Apr-17,NONE,1 x Native DisplayPort 1.4,NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,1 x Native HDMI 2.0,110.998,PCI Express 3.0,192.024,7680 x 4320,128-Bit,4GB,GDDR5,PH-GTX1050TI-4G,OpenGL 4.5,NONE,Dual Slot,GTX 1050,1392,1290,7008,0,132.99,ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G),
ASUS,NONE,NONE,NONE,NONE,12-Sep-20,NONE,NONE,NONE,GeForce GTX 1050 Ti,NONE,NONE,0,NONE,0,NONE,NONE,4GB,GDDR5,NONE,NONE,NONE,NONE,GTX 1050,0,0,0,192,214.18,"ASUS CERBERUS-GTX1050TI-A4G - Advanced Edition - graphics card - GF GTX 1050 Ti - 4 GB GDDR5 - PCIe 3.0 x16 - DVI, HDMI,",
ASUS,1280,NVIDIA,Double Fans,1 x DVI-D,7-Oct-20,NONE,2 x DisplayPort 1.4,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2 x HDMI 2.0b,131.064,PCI Express 3.0,240.03,7680 x 4320,192-Bit,6GB,GDDR5,EX-GTX1060-O6G,OpenGL 4.5,No,Dual Slot,GTX 1060,1809,1594,8008,0,249.99,ASUS Expedition GeForce GTX 1060 EX-GTX1060-O6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4
ASUS,1152,NVIDIA,Double Fans,1 x Native DVI-D,11-Feb-19,DirectX 12,2 x Native DisplayPort 1.4,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2 x Native HDMI 2.0b,130.048,PCI Express 3.0,242.062,7680 x 4320,192-Bit,3GB,GDDR5,DUAL-GTX1060-O3G,OpenGL 4.5,NONE,2.1 slots,GTX 1060,1809,1594,8008,73,652.99,ASUS Dual GeForce GTX 1060 DirectX 12 DUAL-GTX1060-O3G 3GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4
ASUS,1152,NVIDIA,Single Fan,1 x DVI-D,21-May-20,NONE,2 x DisplayPort 1.4,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2 x HDMI 2.0b,120.904,PCI Express 3.0,182.88,7680 x 4320,192-Bit,3GB,GDDR5,PH-GTX1060-3G,OpenGL 4.5,No,Dual Slot,GTX 1060,1708,1506,8008,16,440,ASUS GeForce GTX 1060 3GB Phoenix Fan Edition VR Ready HDMI DP DVI Graphics Card (PH-GTX1060-3G),5
ASUS,1280,NVIDIA,Single Fan,1 x DVI-D,9-Sep-19,NONE,2 x DisplayPort 1.4,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2 x HDMI 2.0,111.252,PCI Express 3.0,266.7,7680 x 4320,192-Bit,6GB,GDDR5,TURBO-GTX1060-6G,OpenGL 4.5,NONE,Dual Slot,GTX 1060,1708,1506,8008,48,489,ASUS Turbo GeForce GTX 1060 TURBO-GTX1060-6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4
