brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
EVGA,GTX 970,"EVGA GeForce GTX 970 04G-P4-2978-KR 4GB FTW GAMING w/ACX 2.0, Silent Cooling Graphics Card",$469.00 (1 Offers)–,4.0,,https://www.newegg.com/evga-geforce-gtx-970-04g-p4-2978-kr/p/N82E16814487077?Description=gtx,Yes,1367 MHz,EVGA,1664,"9.50"" x 4.38""",NVIDIA,Double Fans,1216 MHz,1 x Dual-link DVI-I1 x Dual-link DVI-D,3-Oct-18,DirectX 12,1 x DisplayPort 1.2,Yes,7010 MHz,"EVGA ""ACX 2.0"" Cooling TechnologyFeatures:- Optimized swept fan blade- Fans use Double Ball Bearing for 400% longer lifespan- 26% Cooler and 36% Quieter- 250% Lower Fan Power Consumption EVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionality- Everything you need for your GeForce overclocking experience EVGA\s 24/7 Techinical Support- Don\t forget EVGA\s Around the Clock Tech Support!",NONE,GeForce GTX 970,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,Analog: 2048 x 1536Digital: 4096 x 2160,256-Bit,4GB,GDDR5,04G-P4-2978-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,Accessories:1 x Driver CD1 x Installation Guide1 x DVI-I to VGA Adapter 1 x 4-Pin(2) to 6-Pin Adapter1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker,2 x 6-Pin,400MHz,2-Way or 3-Way SLI,NONE,Dual Slot,NONE,Max Power Draw: 170WRecommended PSU: 500W,170W,Yes,-259,241.3,111.252
GIGABYTE,GTX 970,"GIGABYTE GeForce GTX 970 4GB G1 GAMING OC EDITION, GV-N970G1 GAMING-4GD",$459.00 (1 Offers)–,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-970-gv-n970g1-gaming-4gd/p/N82E16814125684?Description=gtx,Yes,1329 MHz in Gaming Mode1354 MHz in OC Mode,GIGABYTE,1664,"12.28"" x 5.08""",NVIDIA,WINDFORCE 3X,1178 MHz in Gaming Mode1203 MHz in OC Mode,1 x Dual-link DVI-I1 x Dual-link DVI-D,4-Jan-19,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"""WINDFORCE 3X cooling systemFlex Display TechnologyPowered by NVIDIA GeForce GTX 970 GPUIntegrated with industrys best 4GB GDDR5 memory 256-bit memory interfaceFeatures Dual-link DVI-I / DVI-D / HDMI / DisplayPort*3BASE: 1178 MHz / BOOST: 1329 MHz (1203 / 1354 MHz in OC Mode)System power supply requirement: 550W (with one 6-pin and one 8-pin external power connectors)""",ATX,GeForce GTX 970,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,Digital: 4096 x 2160Analog: 2048 x 1536,256-Bit,4GB,GDDR5,GV-N970G1 GAMING-4GD (rev. 1.0/1.1),4,OpenGL 4.4,NONE,NONE,NONE,6-Pin / 8-Pin,NONE,SLI Ready,G1 Gaming,Dual Slot,NONE,Power requirement: 550W (with one 6-pin and one 8-pin external power connectors),170W,Yes,-484,311.9120000000001,129.03199999999998
ASUS,GTX 970,ASUS GeForce GTX 970 STRIX-GTX970-DC2OC-4GD5 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support G-SYNC Support Video Card,$454.99 –,4.0,,https://www.newegg.com/asus-geforce-gtx-970-strix-gtx970-dc2oc-4gd5/p/N82E16814121940?Description=gtx,NONE,1253 MHz,ASUS,1664,"11"" x 5.5""",NVIDIA,Double Fans,1114 MHz,1 x DVI-I1 x DVI-D,9-Nov-18,NONE,1 x DisplayPort,NONE,7010MHz,"ASUS Strix GeForce GTX 970 with factory-overclocked core delivers cool and silent gaming experiences1253 MHz Boost clock for better performance and outstanding gaming experience.DirectCU II with 0dB fan technology lets you enjoy light games in complete silence, and hardcore gaming 30% cooler with 3X-quieter performance!DIGI+ VRM with 6-phase Super Alloy Power delivers precise digital power for superior efficiency, reliability, and performance.GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface.GPU Tweak Streaming share on-screen action in real time - so others can watch live as games are played.",NONE,GeForce GTX 970,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,4096 x 2160,256-Bit,4GB,GDDR5,STRIX-GTX970-DC2OC-4GD5,NONE,OpenGL 4.4,NONE,NONE,NONE,8-Pin,NONE,SLI Ready,NONE,Dual Slot,NONE,Power Consumption: up to 225W1 additional 8 pin PCIe power required,145W,NONE,-1,279.4,139.7
MSI,GTX 970,MSI GeForce GTX 970 GAMING 100ME,$510.00 (1 Offers)–,5.0,,https://www.newegg.com/msi-geforce-gtx-970-gtx-970-gaming-100me/p/N82E16814127850?Description=gtx,Yes,1279 MHz (OC Mode)1253 MHz (Gaming Mode)1178 MHz (Silent Mode),MSI,1664,"10.91"" x 5.51""",NVIDIA,NONE,1140 MHz (OC Mode)1114 MHz (Gaming Mode)1051 MHz (Silent Mode),1 x DL-DVI-I1 x DL-DVI-D,10-Dec-18,DirectX 12,1 x DisplayPort 1.2,Yes,7010 MHz,"Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.SuperSU Architecture - Improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one click.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 970,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,4096 x 2160,256-Bit,4GB,GDDR5,GTX 970 GAMING 100ME,4,OpenGL 4.4,NONE,NONE,Accessories:1 x 8-pin Power Cable1 x DVI to VGA Dongle 1 x Driver CD1 x Installation Guide,6-Pin / 8-Pin,400MHz,3-Way SLI,NONE,Dual Slot,NONE,Power Consumption: 145WRecommended Power Supply: 400W,170W,Yes,-168,277.11400000000003,139.95399999999998
MSI,GTX 970,MSI GeForce GTX 970 DirectX 12 GTX 970 GAMING LE 100ME 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support ATX GAMING LE 100 Million Edition Video Card,$510.00 (1 Offers)–,5.0,,https://www.newegg.com/msi-geforce-gtx-970-gtx-970-gaming-le-100me/p/N82E16814127900?Description=gtx,Yes,1216 MHz,MSI,NONE,"10.59"" x 5.55""",NVIDIA,Double Fans,1076 MHz,1 x DL-DVI-I1 x DL-DVI-D,9-Dec-18,DirectX 12,1 x DisplayPort,NONE,7010 MHz,"Next-Gen Thermal Design: Twin Frozr V- Torx Fan: Maximizes airflow and dispersion.- SuperSU Architecture: Improves dissipation efficiency through special heatpipe layout.- Zero Frozr: Fans stop spinning in low load to keep the card quiet and increase lifetime.- Airflow Control technology: Deflects airflow towards heatpipes to improve thermal efficiency.Gaming App- Easy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.- Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.- LED control choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one clickMilitary Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 970,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,NONE,256-Bit,4GB,GDDR5,GTX 970 GAMING LE 100ME,NONE,OpenGL 4.4,NONE,NONE,NONE,NONE,NONE,3-Way SLI,NONE,Dual Slot,1664 Stream Processors,Power Consumption: 145W,170W,Yes,-5,268.986,140.97
ASUS,GTX 970,ASUS GeForce GTX 970 TURBO-GTX970-OC-4GD5 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$419.00 (1 Offers)–,4.0,,https://www.newegg.com/asus-geforce-gtx-970-turbo-gtx970-oc-4gd5/p/N82E16814121926?Description=gtx,Yes,1228 MHz,ASUS,1664,"10.40"" x 4.76""",NVIDIA,Single Fan,1088 MHz,1 x DVI-I1 x DVI-D,20-Nov-19,NONE,1 x DisplayPort,NONE,7010 MHz,"ASUS Turbo GeForce GTX 970 graphics deliver the sweet spot of performance- 1228 MHz engine clock for better performance and outstanding gaming experience.- Dual-intake blower design with 10% larger dissipation area, delivering 10% cooler and vastly quieter performance.- Dual-ball bearing fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.- Super Alloy Power boosts performance by reducing power loss, enhancing durability, and achieving cooler operation.- GPU Tweak with XSplit Gamecaster provides real-time and intuitive GPU clock boost, and live-stream your gameplay instantly.",NONE,GeForce GTX 970,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0,NONE,4096 x 2160,256-Bit,4GB,GDDR5,TURBO-GTX970-OC-4GD5,NONE,OpenGL 4.4,NONE,NONE,NONE,8-Pin,NONE,SLI Ready,NONE,Dual Slot,NONE,Power Consumption: up to 225W,170W,Yes,-66,264.16,120.90399999999998
MSI,GTX 970,MSI GeForce GTX 970 DirectX 12 GTX 970 GAMING 4G 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support G-SYNC Support Video Card,$395.99 (2 Offers)–,,,https://www.newegg.com/msi-geforce-gtx-970-gtx-970-gaming-4g/p/N82E16814137189?Description=gtx,Yes,1279 MHz (OC Mode)1253 MHz (Gaming Mode)1178 MHz (Silent Mode),MSI,1664,"10.91"" x 5.51""",NVIDIA,Double Fans,1140 MHz (OC Mode)1114 MHz (Gaming Mode)1051 MHz (Silent Mode),1 x Dual-link DVI-I1 x Dual-link DVI-D,11-Feb-19,DirectX 12,1 x DisplayPort 1.2,Yes,7010 MHz,"Next-Gen Thermal Design :Twin Frozr VTorx FanMaximizes airflow and dispersion.SuperSU Architectureimproves dissipation efficiency throughspecial heatpipe layout.Zero Frozr:Fans stop spinning in low load to keepthe card quiet and increase lifetime.Airflow Control technologyDeflects airflow towards heatpipes to improve thermal efficiency.Easy Tuning– OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest (reduced blue light) Custom color, Gamma, Brightness and Contrast settings from within the Gaming App.Certified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",NONE,GeForce GTX 970,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,277 mm,4096 x 2160,256-Bit,4GB,GDDR5,GTX 970 GAMING 4G,4,OpenGL 4.4,NONE,NONE,NONE,6-Pin / 8-Pin,400MHz,Quad SLI,NONE,Dual Slot,NONE,Power consumption: 145WRecommended PSU: 500W,170W,Yes,883 (79% Positive),277.11400000000003,139.95399999999998
MSI,GTX 970,MSI GeForce GTX 970 DirectX 12 GTX 970 GAMING 4G LE 4GB 256-Bit GDDR5 HDCP Ready SLI Support ATX Video Card,$360.00 (2 Offers)–,,,https://www.newegg.com/msi-geforce-gtx-970-gtx-970-gaming-4g-le/p/N82E16814137190?Description=gtx,Yes,1216 MHz,MSI,NONE,"10.59"" x 5.55""",NONE,Double Fans,1076 MHz,1 x DL-DVI-I1 x DL-DVI-D,9-Dec-18,DirectX 12,1 x DisplayPort,Yes,7010 MHz,"Next-Gen Thermal Design: Twin Frozr V- Torx Fan:Maximizes airflow and dispersion.- SuperSU Architectureimproves dissipation efficiency through special heatpipe layout.- Zero Frozr:Fans stop spinning in low load to keep the card quiet and increase lifetime.- Airflow Control technologyDeflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest (reduced blue light). Custom color, Gamma, Brightness and Contrast settings from within the Gaming App.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 970,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,NONE,269 mm,NONE,256-Bit,4GB,GDDR5,GTX 970 GAMING 4G LE,NONE,OpenGL 4.4,NONE,NONE,NONE,8-Pin,NONE,3-Way SLI,NONE,NONE,1664 Stream Processors,Power Consumption: 145W,170W,Yes,"12,049 (81% Positive)",268.986,140.97
GIGABYTE,GTX 970,GIGABYTE GTX 970 GV-N970G1 4GD GAMING OC Edition GeForce 4GB 256-Bit GDDR5 PCI Express 3.0 SLI Support Video Card - Certified Refurbished,$375.00 –,5.0,12.0,https://www.newegg.com/gigabyte-geforce-gtx-970-gv-n970g1-gaming-4gd/p/N82E16814125788?Description=gtx,Yes,1354 MHz in OC Mode1329 MHz in Gaming Mode,GIGABYTE,1664,"11.77"" x 4.49""",NVIDIA,WINDFORCE 3X,1203 MHz in OC Mode1178 MHz in Gaming Mode,1 x Dual-link DVI-I1 x Dual-link DVI-D,26-Aug-20,DirectX 12,3 x DisplayPort,Yes,7 Gbps,"""WINDFORCE 3X cooling systemFlex Display Technology (patent-pending)Powered by NVIDIA GeForce GTX 970 GPUIntegrated with industrys best 4GB GDDR5 memory 256-bit memory interfaceFeatures Dual-link DVI-I / DVI-D / HDMI / DisplayPort*3BASE: 1178 MHz / BOOST: 1329 MHzSystem power supply requirement: 550W (with one 6-pin and one 8-pin external power connectors)""",NONE,GeForce GTX 970,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,Digital: 4096 x 2160Analog: 2048 x 1536,256-Bit,4GB,GDDR5,GV-N970G1 GAMING-4GD,4,OpenGL 4.4,NONE,NONE,NONE,6-Pin / 8-Pin,NONE,SLI Ready,G1 Gaming,Dual Slot,NONE,Power requirement: 550W,170W,NONE,-10,298.95799999999997,114.046
MSI,GTX 970,MSI GeForce GTX 970 4GD5T OC Video Card,$538.99 (2 Offers)–,4.0,,https://www.newegg.com/msi-geforce-gtx-970-vdgtx9704gd5toc/p/N82E16814127966?Description=gtx,Yes,1241 MHz,MSI,NONE,"10.98"" x 4.92""",NVIDIA,Double Fans,1102 MHz,1 x Dual-link DVI-I1 x Dual-link DVI-D,18-Jun-18,DirectX 12,1 x DisplayPort 1.2,Yes,7010 MHz,"Armor 2X Thermal Design- Delivers more airflow than traditional single fan thermal design.- Huge heat sink provides better heat dissipation.Propeller Blade Technology- Produce 20% more airflow than traditional fan design.- Produces less noise than traditional fan designs.Airflow Control technology- Deflects more airflow to heatpipes and improves airflow efficiency.- Increases the heatsink area to enhance dissipation efficiency.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.",NONE,GeForce GTX 970,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,279 mm,4096 x 2160,256-Bit,4GB,GDDR5,VDGTX9704GD5TOC,4,OpenGL 4.4,NONE,NONE,NONE,2 x 6-Pin,400MHz,3-Way SLI,NONE,Dual Slot,NONE,Power consumption: 148WRecommended PSU: 500W,170W,Yes,883 (79% Positive),278.892,124.96799999999999
