brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
ASUS,RTX 2070,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-MINI 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$699.99 –,5.0,20.0,https://www.newegg.com/asus-geforce-rtx-2070-dual-rtx2070-o8g-mini/p/N82E16814126365?Description=rtx,NONE,OC Mode: 1680 MHzGaming Mode (Default): 1650 MHz,ASUS,2304,"7.80"" x 4.80""",NVIDIA,Double Fans,1410 MHz,1 x DL-DVI-D,7-Oct-20,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,"OC Edition: Boost Clock 1680 MHz (OC Mode) / 1650 MHz (Gaming Mode).NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Coolest dual-fan GPU built for the Intel NUC 9 Extreme Kit and Intel NUC 9 Pro Kit.*A 2-slot Design maximizes compatibility and cooling efficiency for superior performance in small chassis.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.Auto-Extreme Technology uses automation to enhance reliability.* Based on market survey and internal testing prior to January 2020.",NONE,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,197 mm,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070-O8G-MINI,NONE,OpenGL 4.6,NONE,NONE,NONE,Accessories:1 x Speedsetup manual,8-Pin,No,Dual,Dual Slot,Recommended PSU: 550W,225W,Yes,0 reviews,198.12,121.92
ASUS,RTX 2070,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$684.97 (3 Offers)–,4.0,,https://www.newegg.com/asus-geforce-rtx-2070-dual-rtx2070-o8g-evo-v2/p/N82E16814126424?Description=rtx,NONE,OC Mode: 1740 MHzGaming Mode (Default): 1710 MHz,ASUS,2304,"9.50"" x 5.10""",NVIDIA,Double Fans,1410 MHz,1 x DL-DVI-D,27-Oct-20,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,"OC Edition: Boost Clock 1740 MHz (OC Mode) / 1710 MHz (Gaming Mode).NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.DirectCU II brings copper heatpipes into direct contact with the die for better cooling.Auto-Extreme Technology uses automation to enhance reliability.A Protective backplate secures components during transportation and installation.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.",NONE,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,242 mm,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070-O8G-EVO-V2,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:1 x Speedsetup manual,8-Pin,No,Dual,2.5 slots,Recommended PSU: 550W,225W,NONE,883 (79% Positive),241.3,129.54
GIGABYTE,RTX 2070,"GIGABYTE AORUS GeForce RTX 2070 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N207SAORUS-8GC Video Card",$729.99 (4 Offers)–,3.0,75.0,https://www.newegg.com/gigabyte-geforce-rtx-2070-super-gv-n207saorus-8gc/p/N82E16814932170?Description=rtx,NONE,NONE,GIGABYTE,2560,"11.42"" x 5.29""",NVIDIA,WINDFORCE STACK,1905 MHz,NONE,28-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE Stack 3 X 100mm Fan Cooling SystemRGB light reinvented7 Video OutputsMetal Back PlateBuilt for Extreme Overclocking 12+2 Power Phases,ATX,GeForce RTX 2070 SUPER,NONE,NONE,3 x HDMI 2.0b,PCI Express 3.0 x16,290 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N207SAORUS-8GC,4,OpenGL 4.5,NONE,NONE,1 x USB Type-C (support VirtualLink),Accessories:AORUS metal stickerQuick guideI/O guideDriver CD,2 x 8-Pin,2-way NVIDIA NVLINK,AORUS,Triple Slot,System PSU Limitation: 650W,215W,Yes,883 (79% Positive),290.068,134.366
ASUS,RTX 2070,ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition  HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO),$689.99 (3 Offers)–,4.0,75.0,https://www.newegg.com/asus-geforce-rtx-2070-super-dual-rtx2070s-o8g-evo/p/N82E16814126332?Description=rtx,NONE,OC mode: 1845 MHzGaming mode: 1815 MHz,ASUS,2560,"10.51"" x 4.65""",NVIDIA,Double Fans,OC mode: 1635 MHzGaming mode: 1605 MHz,NONE,28-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,"RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.A Protective backplate secures components during transportation and installation.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.",NONE,GeForce RTX 2070 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0,267 mm,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070S-O8G-EVO,4,OpenGL 4.6,NONE,DUAL-RTX2070S-O8G-EVO,NONE,Accessories:1 x Quick Guide,"1 x 6-pin, 1 x 8-pin",SLI Ready,Dual,2.7 slot,Recommended PSU: 650W,235W,Yes,883 (79% Positive),266.954,118.11
MSI,RTX 2070,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$794.49 (5 Offers)–,5.0,,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-gaming-x/p/N82E16814137445?Description=rtx,NONE,1800 MHz,MSI,2560,"11.69"" x 5.63""",NVIDIA,Double Fans,NONE,NONE,27-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gbps,"Twin Frozr 7 Thermal DesignTORX Fan 3.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Dragon CenterA consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.",NONE,GeForce RTX 2070 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,297 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 Super GAMING X,4,OpenGL 4.5,NONE,NONE,NONE,NONE,"1 x 6-Pin, 1 x 8-Pin","NVIDIA NVLink (SLI-Ready), 2-way",NONE,NONE,Pwr Supply: 650W,215W,Yes,247 (72% Positive),296.926,143.002
ASUS,RTX 2070,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$579.99 –,2.0,45.0,https://www.newegg.com/asus-geforce-rtx-2070-dual-rtx2070-o8g/p/N82E16814126274?Description=rtx,NONE,OC Mode: 1740 MHz Gaming Mode (Default): 1710 MHz,ASUS,2304,"10.53"" x 4.47""",NVIDIA,Double Fans,1410 MHz,NONE,28-Aug-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,"NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing TM GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.2.7-Slot Design to expand cooling surface area by more than 50% compared to last gen.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.",NONE,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,268 mm,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070-O8G,4,OpenGL 4.5,NONE,NONE,1 x USB Type-C,Accessories:1 x CD1 x Quick Guide,"1 x 6-Pin, 1 x 8-Pin",No,Dual,2.7-slot,Recommended PSU: 550W,185W,Yes,0 reviews,267.462,113.538
GIGABYTE,RTX 2070,"GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SGAMING OC-8GD Video Card",$864.81 (3 Offers)–,4.0,,https://www.newegg.com/gigabyte-geforce-rtx-2070-super-gv-n207sgaming-oc-8gd/p/N82E16814932212?Description=rtx,NONE,NONE,GIGABYTE,2560,"11.28"" x 4.51""",NVIDIA,WINDFORCE 3X,1815 MHz,NONE,28-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesProtection Metal Back Plate,ATX,GeForce RTX 2070 SUPER,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,287 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N207SGAMING OC-8GD,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:Quick guideDriver CD,"1 x 8-Pin, 1 x 6-Pin",2-way NVIDIA NVLINK,NONE,2.5 slot,System PSU Limitation: 650W,235W,Yes,192 (88% Positive),286.512,114.554
ASUS,RTX 2070,ASUS Turbo GeForce RTX 2070 SUPER TURBO-RTX2070S-8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$824.97 (3 Offers)–,5.0,,https://www.newegg.com/asus-geforce-rtx-2070-super-turbo-rtx2070s-8g-evo/p/N82E16814126342?Description=rtx,NONE,NONE,ASUS,2560,"10.55"" x 4.45""",NVIDIA,Single Fan,NONE,NONE,27-Oct-20,NONE,3 x DisplayPort 1.4,NONE,NONE,NONE,"RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.A redesigned shroud incorporates a raised edge to preserve air intake in cramped environments.Dual ball fan bearings can last up to twice as long as sleeve bearing designs.Auto-Extreme Technology uses automation to enhance reliability.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.",NONE,GeForce RTX 2070 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0,268 mm,7680 x 4320,256-Bit,8GB,GDDR6,TURBO-RTX2070S-8G-EVO,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:1 x Quick Guide,"1 x 6-pin, 1 x 8-pin",SLI Ready,Turbo,Dual Slot,Recommended PSU: 650W,235W,Yes,883 (79% Positive),267.97,113.03
MSI,RTX 2070,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super Armor OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$879.49 (3 Offers)–,5.0,,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-armor-oc/p/N82E16814137446?Description=rtx,NONE,1785 MHz,MSI,2560,"11.69"" x 5.63""",NVIDIA,Double Fans,NONE,NONE,27-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gbps,"Armor Thermal DesignTORX Fan 2.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.",NONE,GeForce RTX 2070 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,297 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 Super Armor OC,4,OpenGL 4.5,NONE,NONE,NONE,NONE,"1 x 6-Pin, 1 x 8-Pin","NVIDIA NVLink (SLI-Ready), 2-way",NONE,NONE,Pwr Supply: 650W,215W,Yes,247 (72% Positive),296.926,143.002
GIGABYTE,RTX 2070,GIGABYTE GeForce RTX 2070 SUPER DirectX 12 GV-N207SGAMINGOC WHITE-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,$724.99 (5 Offers)–,4.0,99.99,https://www.newegg.com/gigabyte-geforce-rtx-2070-super-gv-n207sgamingoc-white-8gd/p/N82E16814932219?Description=rtx,NONE,NONE,GIGABYTE,2560,"11.28"" x 4.51""",NVIDIA,WINDFORCE 3X,1815 MHz,NONE,9-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate,ATX,GeForce RTX 2070 SUPER,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,287 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N207SGAMINGOC WHITE-8GD,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:Quick guideDriver CD,1 x 6-Pin / 1 x 8-Pin,2-way NVIDIA NVLINK,NONE,2.5 slot,Recommended PSU: 650W,235W,Yes,36 (64% Positive),286.512,114.554
MSI,RTX 2070,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$844.99 (4 Offers)–,4.0,99.99,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-ventus-gp-oc/p/N82E16814137528?Description=rtx,NONE,1785 MHz,MSI,2560,"10.16"" x 5.00""",NVIDIA,Double Fans,1605 MHz,NONE,28-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gpbs,"TORX Fan 2.0Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking UtilityOC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.NVIDIA G-SYNC and HDRGet smooth, tear-free gameplay at refresh rates up to 240 Hz, plus HDR, and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VRBy combining advanced VR rendering, real-time ray tracing, and AI, GeForce RTX will take VR to a new level of realism.",NONE,GeForce RTX 2070 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,258 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 SUPER VENTUS GP OC,4,OpenGL 4.5,NONE,NONE,NONE,NONE,1 x 8-pin and 1 x 6-pin,"NVIDIA NVLINK (SLI-Ready), 2-way",NONE,NONE,Recommended PSU: 650W,235W,Yes,16 (81% Positive),258.064,127.0
EVGA,RTX 2070,"EVGA GeForce RTX 2070 SUPER XC HYBRID GAMING, 08G-P4-3178-KR, 8GB GDDR6, WATERCOOLED",$949.99 –,4.0,,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3178-kr/p/N82E16814487457?Description=rtx,NONE,1800 MHz,EVGA,2560,"10.46"" x 4.38""",NVIDIA,Hybrid Cooler,NONE,NONE,12-Jul-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,"NVIDIA AnselHybrid ""All-in-One"" WatercoolerReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink",NONE,GeForce RTX 2070 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0,266 mm,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-3178-KR,4,OpenGL 4.5,"Windows 10 64-bit, Windows 7 64-bit",NONE,1 x Type-C VirtualLink,NONE,6-Pin / 8-Pin,2-Way SLI,NONE,Dual Slot,"650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",215W,Yes,-38,265.684,111.25200000000001
GIGABYTE,RTX 2070,GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF2-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$794.98 (2 Offers)–,4.0,,https://www.newegg.com/gigabyte-geforce-rtx-2070-gv-n2070wf2-8gd/p/N82E16814932160?Description=rtx,NONE,NONE,GIGABYTE,2304,"10.43"" x 4.75""",NVIDIA,WINDFORCE 2X,1620 MHz,NONE,28-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2070Integrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans100mm unique blade fansProtection Back Plate,ATX,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,265 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N2070WF2-8GD,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:Quick guideDriver CD,8-Pin,No,NONE,Dual Slot,Recommended PSU: 550W,120W,Yes,247 (72% Positive),264.922,120.65
