Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
GIGABYTE,1920,NVIDIA,WINDFORCE 3X,1 x Dual-link DVI-D,19-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,114.046,PCI Express 3.0 x16,279.908,7680 x 4320,256-Bit,8GB,GDDR5,GV-N1070G1 GAMING-8GD R2,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1822.0,1620.0,8008.0,307.0,625.0,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070G1 GAMING-8GD R2 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card,4.0
MSI,2432,NVIDIA,Triple Fans,1 x DL-DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,139.954,PCI Express 3.0 x16,311.9120000000001,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 Ti DUKE 8G,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1683.0,1607.0,8008.0,292.0,399.99,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti DUKE 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,5.0
MSI,1920,NVIDIA,Single Fan,1 x DL-DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,110.99799999999999,PCI Express 3.0 x16,268.986,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 AERO 8G OC,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1721.0,1531.0,8008.0,292.0,269.99,MSI GeForce GTX 1070 DirectX 12 GTX 1070 AERO 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,4.0
MSI,1920,NVIDIA,Double Fans,1 x DL-DVI-D,28-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0,139.954,PCI Express 3.0 x16,278.892,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 GAMING X 8G,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1797.0,1607.0,8108.0,300.0,639.0,MSI GeForce GTX 1070 DirectX 12 GTX 1070 GAMING X 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,5.0
ASUS,1920,NVIDIA,Triple Fans,1 x DVI-D,22-Oct-20,DirectX 12,2 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,2 x HDMI 2.0,134.112,PCI Express 3.0,297.942,7680 x 4320,256-Bit,8GB,GDDR5,STRIX-GTX1070-O8G-GAMING,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1860.0,1657.0,8008.0,291.0,609.99,ASUS ROG GeForce GTX 1070 STRIX-GTX1070-O8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card with RGB Lighting,4.0
ASUS,2432,NVIDIA,Triple Fans,1 x DVI-D,26-Oct-20,DirectX 12,2 x DisplayPort,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,2 x HDMI 2.0,134.112,PCI Express 3.0,297.942,7680 x 4320,256-Bit,8GB,GDDR5,ROG-STRIX-GTX1070TI-A8G-GAMING,OpenGL 4.5,SLI Ready,2.5-slot,GTX 1070,1759.0,1683.0,8008.0,292.0,449.99,ASUS ROG GeForce GTX 1070 Ti ROG-STRIX-GTX1070TI-A8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,4.0
MSI,2432,NVIDIA,Double Fans,1 x DL-DVI-D,22-Dec-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,139.954,PCI Express 3.0 x16,278.892,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 TI ARMOR 8G,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,1683.0,1607.0,8008.0,0.0,399.99,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 TI ARMOR 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,
NONE,2432,NVIDIA,Double Fans,1 x DL-DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,139.954,PCI Express 3.0 x16,278.892,7680 x 4320,256-Bit,8GB,GDDR5,NONE,OpenGL 4.5,2-Way SLI,Dual Slot,GTX 1070,0.0,1607.0,8008.0,0.0,399.99,MSI GTX 1070 Ti Gaming 8GB GDDR5 Graphics Card (GTX 1070 TI GAMING 8G),
EVGA,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,266.7,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5173-KR,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,1784.0,1594.0,8008.0,182.0,620.0,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition, 08G-P4-5173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)",4.0
ASUS,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,4-Sep-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,111.25200000000001,PCI Express 3.0 x16,266.7,7680 x 4320,256-Bit,8GB,GDDR5,DUAL-GTX1070-O8G,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,0.0,1594.0,8008.0,1.0,318.99,ASUS GTX 1070 8GB Dual OC Video Card DUAL-GTX1070-O8G Nvidia GPU Graphics Card,5.0
PNY,1920,NVIDIA,Double Fans,1 x Dual-Link DVI-D,30-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,111.25200000000001,PCI Express 3.0 x16,266.7,7680 x 4320,256-Bit,8GB,GDDR5,RGMX1070N3H8GS-KTN,OpenGL 4.5,SLI Ready,Dual Slot,GTX 1070,0.0,1594.0,8008.0,292.0,335.0,PNY GeForce GTX 1070 RGMX1070N3H8GS-KTN 8GB GDDR5 Video Card,4.0
