Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
ASUS,2304,NVIDIA,Double Fans,1 x DL-DVI-D,10/7/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,121.92,PCI Express 3.0,198.12,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070-O8G-MINI,OpenGL 4.6,No,Dual Slot,RTX 2070,1680,1410,14000.0,0.0,699.99,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-MINI 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,5.0
ASUS,2304,NVIDIA,Double Fans,1 x DL-DVI-D,10/27/2020,DirectX 12,1 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2 x HDMI 2.0b,129.54,PCI Express 3.0,241.3,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070-O8G-EVO-V2,OpenGL 4.6,No,2.5 slots,RTX 2070,1740,1410,14000.0,883.0,684.97,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,4.0
GIGABYTE,2560,NVIDIA,WINDFORCE STACK,1 x DL-DVI-D,10/28/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,3 x HDMI 2.0b,134.366,PCI Express 3.0 x16,290.068,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N207SAORUS-8GC,OpenGL 4.5,2-way NVIDIA NVLINK,Triple Slot,RTX 2070,0,1905,14000.0,883.0,729.99,"GIGABYTE AORUS GeForce RTX 2070 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N207SAORUS-8GC Video Card",3.0
ASUS,2560,NVIDIA,Double Fans,1 x DL-DVI-D,10/28/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,118.11,PCI Express 3.0,266.954,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070S-O8G-EVO,OpenGL 4.6,SLI Ready,2.7 slot,RTX 2070,1845,1635,14000.0,883.0,689.99,ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition  HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO),4.0
MSI,2560,NVIDIA,Double Fans,1 x DL-DVI-D,10/27/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,143.002,PCI Express 3.0 x16,296.926,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 Super GAMING X,OpenGL 4.5,"NVIDIA NVLink (SLI-Ready), 2-way",2.7 slot,RTX 2070,1800,1635,14.0,247.0,794.49,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,5.0
ASUS,2304,NVIDIA,Double Fans,1 x DL-DVI-D,8/28/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,113.538,PCI Express 3.0,267.462,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070-O8G,OpenGL 4.5,No,2.7-slot,RTX 2070,1740,1410,14000.0,0.0,579.99,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,2.0
GIGABYTE,2560,NVIDIA,WINDFORCE 3X,1 x DL-DVI-D,10/28/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,114.554,PCI Express 3.0 x16,286.512,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N207SGAMING OC-8GD,OpenGL 4.6,2-way NVIDIA NVLINK,2.5 slot,RTX 2070,0,1815,14000.0,192.0,864.81,"GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SGAMING OC-8GD Video Card",4.0
ASUS,2560,NVIDIA,Single Fan,1 x DL-DVI-D,10/27/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,113.03,PCI Express 3.0,267.97,7680 x 4320,256-Bit,8GB,GDDR6,TURBO-RTX2070S-8G-EVO,OpenGL 4.5,SLI Ready,Dual Slot,RTX 2070,0,1815,14000.0,883.0,824.97,ASUS Turbo GeForce RTX 2070 SUPER TURBO-RTX2070S-8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,5.0
MSI,2560,NVIDIA,Double Fans,1 x DL-DVI-D,10/27/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,143.002,PCI Express 3.0 x16,296.926,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 Super Armor OC,OpenGL 4.5,"NVIDIA NVLink (SLI-Ready), 2-way",Dual Slot,RTX 2070,1785,1815,14.0,247.0,879.49,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super Armor OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,5.0
GIGABYTE,2560,NVIDIA,WINDFORCE 3X,1 x DL-DVI-D,10/9/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,114.554,PCI Express 3.0 x16,286.512,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N207SGAMINGOC WHITE-8GD,OpenGL 4.6,2-way NVIDIA NVLINK,2.5 slot,RTX 2070,0,1815,14000.0,36.0,724.99,GIGABYTE GeForce RTX 2070 SUPER DirectX 12 GV-N207SGAMINGOC WHITE-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,4.0
