3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['Yes'],['1367 MHz'],['EVGA'],['1664'],"['9.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1216 MHz'],['1 x Dual-link DVI-I1 x Dual-link DVI-D'],"['October 03, 2018']",['DirectX 12'],['1 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['EVGA ""ACX 2.0"" Cooling TechnologyFeatures:- Optimized swept fan blade- Fans use Double Ball Bearing for 400% longer lifespan- 26% Cooler and 36% Quieter- 250% Lower Fan Power Consumption EVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionality- Everything you need for your GeForce overclocking experience EVGA\'s 24/7 Techinical Support- Don\'t forget EVGA\'s Around the Clock Tech Support!']",,['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['Analog: 2048 x 1536Digital: 4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-2978-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,['Accessories:1 x Driver CD1 x Installation Guide1 x DVI-I to VGA Adapter 1 x 4-Pin(2) to 6-Pin Adapter1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker'],['2 x 6-Pin'],['400MHz'],['2-Way or 3-Way SLI'],,['Dual Slot'],,['Max Power Draw: 170WRecommended PSU: 500W'],['170W'],['Yes'],(259)
['Yes'],['1329 MHz in Gaming Mode1354 MHz in OC Mode'],['GIGABYTE'],['1664'],"['12.28"" x 5.08""']",['NVIDIA'],['WINDFORCE 3X'],['1178 MHz in Gaming Mode1203 MHz in OC Mode'],['1 x Dual-link DVI-I1 x Dual-link DVI-D'],"['January 04, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],"[""WINDFORCE 3X cooling systemFlex Display TechnologyPowered by NVIDIA GeForce GTX 970 GPUIntegrated with industry's best 4GB GDDR5 memory 256-bit memory interfaceFeatures Dual-link DVI-I / DVI-D / HDMI / DisplayPort*3BASE: 1178 MHz / BOOST: 1329 MHz (1203 / 1354 MHz in OC Mode)System power supply requirement: 550W (with one 6-pin and one 8-pin external power connectors)""]",['ATX'],['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,['Digital: 4096 x 2160Analog: 2048 x 1536'],['256-Bit'],['4GB'],['GDDR5'],['GV-N970G1 GAMING-4GD (rev. 1.0/1.1)'],['4'],['OpenGL 4.4'],,,,['6-Pin / 8-Pin'],,['SLI Ready'],['G1 Gaming'],['Dual Slot'],,['Power requirement: 550W (with one 6-pin and one 8-pin external power connectors)'],['170W'],['Yes'],(484)
,['1253 MHz'],['ASUS'],['1664'],"['11"" x 5.5""']",['NVIDIA'],['Double Fans'],['1114 MHz'],['1 x DVI-I1 x DVI-D'],"['November 09, 2018']",,['1 x DisplayPort'],,['7010MHz'],"['ASUS Strix GeForce GTX 970 with factory-overclocked core delivers cool and silent gaming experiences1253 MHz Boost clock for better performance and outstanding gaming experience.DirectCU II with 0dB fan technology lets you enjoy light games in complete silence, and hardcore gaming 30% cooler with 3X-quieter performance!DIGI+ VRM with 6-phase Super Alloy Power delivers precise digital power for superior efficiency, reliability, and performance.GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface.GPU Tweak Streaming share on-screen action in real time - so others can watch live as games are played.']",,['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['STRIX-GTX970-DC2OC-4GD5'],,['OpenGL 4.4'],,,,['8-Pin'],,['SLI Ready'],,['Dual Slot'],,['Power Consumption: up to 225W1 additional 8 pin PCIe power required'],['145W'],,(1)
['Yes'],['1279 MHz (OC Mode)1253 MHz (Gaming Mode)1178 MHz (Silent Mode)'],['MSI'],['1664'],"['10.91"" x 5.51""']",['NVIDIA'],,['1140 MHz (OC Mode)1114 MHz (Gaming Mode)1051 MHz (Silent Mode)'],['1 x DL-DVI-I1 x DL-DVI-D'],"['December 10, 2018']",['DirectX 12'],['1 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.SuperSU Architecture - Improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one click.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['GTX 970 GAMING 100ME'],['4'],['OpenGL 4.4'],,,['Accessories:1 x 8-pin Power Cable1 x DVI to VGA Dongle 1 x Driver CD1 x Installation Guide'],['6-Pin / 8-Pin'],['400MHz'],['3-Way SLI'],,['Dual Slot'],,['Power Consumption: 145WRecommended Power Supply: 400W'],['170W'],['Yes'],(168)
['Yes'],['1216 MHz'],['MSI'],,"['10.59"" x 5.55""']",['NVIDIA'],['Double Fans'],['1076 MHz'],['1 x DL-DVI-I1 x DL-DVI-D'],"['December 09, 2018']",['DirectX 12'],['1 x DisplayPort'],,['7010 MHz'],"['Next-Gen Thermal Design: Twin Frozr V- Torx Fan: Maximizes airflow and dispersion.- SuperSU Architecture: Improves dissipation efficiency through special heatpipe layout.- Zero Frozr: Fans stop spinning in low load to keep the card quiet and increase lifetime.- Airflow Control technology: Deflects airflow towards heatpipes to improve thermal efficiency.Gaming App- Easy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.- Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.- LED control choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one clickMilitary Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],,,['256-Bit'],['4GB'],['GDDR5'],['GTX 970 GAMING LE 100ME'],,['OpenGL 4.4'],,,,,,['3-Way SLI'],,['Dual Slot'],['1664 Stream Processors'],['Power Consumption: 145W'],['170W'],['Yes'],(5)
['Yes'],['1228 MHz'],['ASUS'],['1664'],"['10.40"" x 4.76""']",['NVIDIA'],['Single Fan'],['1088 MHz'],['1 x DVI-I1 x DVI-D'],"['November 20, 2019']",,['1 x DisplayPort'],,['7010 MHz'],"['ASUS Turbo GeForce GTX 970 graphics deliver the sweet spot of performance- 1228 MHz engine clock for better performance and outstanding gaming experience.- Dual-intake blower design with 10% larger dissipation area, delivering 10% cooler and vastly quieter performance.- Dual-ball bearing fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.- Super Alloy Power boosts performance by reducing power loss, enhancing durability, and achieving cooler operation.- GPU Tweak with XSplit Gamecaster provides real-time and intuitive GPU clock boost, and live-stream your gameplay instantly.']",,['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0'],,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['TURBO-GTX970-OC-4GD5'],,['OpenGL 4.4'],,,,['8-Pin'],,['SLI Ready'],,['Dual Slot'],,['Power Consumption: up to 225W'],['170W'],['Yes'],(66)
['Yes'],['1279 MHz (OC Mode)1253 MHz (Gaming Mode)1178 MHz (Silent Mode)'],['MSI'],['1664'],"['10.91"" x 5.51""']",['NVIDIA'],['Double Fans'],['1140 MHz (OC Mode)1114 MHz (Gaming Mode)1051 MHz (Silent Mode)'],['1 x Dual-link DVI-I1 x Dual-link DVI-D'],"['February 11, 2019']",['DirectX 12'],['1 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['Next-Gen Thermal Design :Twin Frozr VTorx FanMaximizes airflow and dispersion.SuperSU Architectureimproves dissipation efficiency throughspecial heatpipe layout.Zero Frozr:Fans stop spinning in low load to keepthe card quiet and increase lifetime.Airflow Control technologyDeflects airflow towards heatpipes to improve thermal efficiency.Easy Tuning– OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest (reduced blue light) Custom color, Gamma, Brightness and Contrast settings from within the Gaming App.Certified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",,['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],['277 mm'],['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['GTX 970 GAMING 4G'],['4'],['OpenGL 4.4'],,,,['6-Pin / 8-Pin'],['400MHz'],['Quad SLI'],,['Dual Slot'],,['Power consumption: 145WRecommended PSU: 500W'],['170W'],['Yes'],883 (79% Positive)
['Yes'],['1216 MHz'],['MSI'],,"['10.59"" x 5.55""']",,['Double Fans'],['1076 MHz'],['1 x DL-DVI-I1 x DL-DVI-D'],"['December 09, 2018']",['DirectX 12'],['1 x DisplayPort'],['Yes'],['7010 MHz'],"['Next-Gen Thermal Design: Twin Frozr V- Torx Fan:Maximizes airflow and dispersion.- SuperSU Architectureimproves dissipation efficiency through special heatpipe layout.- Zero Frozr:Fans stop spinning in low load to keep the card quiet and increase lifetime.- Airflow Control technologyDeflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest (reduced blue light). Custom color, Gamma, Brightness and Contrast settings from within the Gaming App.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],,['269 mm'],,['256-Bit'],['4GB'],['GDDR5'],['GTX 970 GAMING 4G LE'],,['OpenGL 4.4'],,,,['8-Pin'],,['3-Way SLI'],,,['1664 Stream Processors'],['Power Consumption: 145W'],['170W'],['Yes'],"12,049 (81% Positive)"
['Yes'],['1354 MHz in OC Mode1329 MHz in Gaming Mode'],['GIGABYTE'],['1664'],"['11.77"" x 4.49""']",['NVIDIA'],['WINDFORCE 3X'],['1203 MHz in OC Mode1178 MHz in Gaming Mode'],['1 x Dual-link DVI-I1 x Dual-link DVI-D'],"['August 26, 2020']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7 Gbps'],"[""WINDFORCE 3X cooling systemFlex Display Technology (patent-pending)Powered by NVIDIA GeForce GTX 970 GPUIntegrated with industry's best 4GB GDDR5 memory 256-bit memory interfaceFeatures Dual-link DVI-I / DVI-D / HDMI / DisplayPort*3BASE: 1178 MHz / BOOST: 1329 MHzSystem power supply requirement: 550W (with one 6-pin and one 8-pin external power connectors)""]",,['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,['Digital: 4096 x 2160Analog: 2048 x 1536'],['256-Bit'],['4GB'],['GDDR5'],['GV-N970G1 GAMING-4GD'],['4'],['OpenGL 4.4'],,,,['6-Pin / 8-Pin'],,['SLI Ready'],['G1 Gaming'],['Dual Slot'],,['Power requirement: 550W'],['170W'],,(10)
['Yes'],['1241 MHz'],['MSI'],,"['10.98"" x 4.92""']",['NVIDIA'],['Double Fans'],['1102 MHz'],['1 x Dual-link DVI-I1 x Dual-link DVI-D'],"['June 18, 2018']",['DirectX 12'],['1 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['Armor 2X Thermal Design- Delivers more airflow than traditional single fan thermal design.- Huge heat sink provides better heat dissipation.Propeller Blade Technology- Produce 20% more airflow than traditional fan design.- Produces less noise than traditional fan designs.Airflow Control technology- Deflects more airflow to heatpipes and improves airflow efficiency.- Increases the heatsink area to enhance dissipation efficiency.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.']",,['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],['279 mm'],['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['VDGTX9704GD5TOC'],['4'],['OpenGL 4.4'],,,,['2 x 6-Pin'],['400MHz'],['3-Way SLI'],,['Dual Slot'],,['Power consumption: 148WRecommended PSU: 500W'],['170W'],['Yes'],883 (79% Positive)
