Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Eyefinity Support ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mantle Support ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RoHS Compliant ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,TrueAudio Support ,Virtual Reality Ready ,review_numbers
,['GIGABYTE'],,"['9.13"" x 4.57""']",['AMD'],['WINDFORCE 2X'],['1255 MHz (OC Mode) / 1244 MHz (Gaming Mode)'],,,"['May 18, 2020']",['DirectX 12'],['3 x DisplayPort'],,,['7000 MHz'],,['Powered by Radeon RX 570WINDFORCE 2X with 90mm Blade Fan DesignUltra Durable MaterialsIntuitive AORUS Engine'],['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,['232 mm'],['7680 x 4320'],['256-Bit'],['4GB'],['GDDR5'],['GV-RX570GAMING-4GD REV2.0'],['4'],['OpenGL 4.5'],,,['Accessories:Graphics card quick guideDriver CD'],['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['System PSU Limitation: 450W'],['225W'],,['Yes'],3 (100% Positive)
,['GIGABYTE'],,"['9.13"" x 4.57""']",['AMD'],['WINDFORCE 2X'],['1255 MHz (OC Mode) / 1244 MHz (Gaming Mode)'],,,"['April 13, 2020']",['DirectX 12'],['3 x DisplayPort'],,,['7000 MHz'],,['Powered by Radeon RX 570WINDFORCE 2X with 90mm Blade Fan DesignUltra Durable MaterialsIntuitive AORUS Engine'],['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,['232 mm'],['7680 x 4320'],['256-Bit'],['4GB'],['GDDR5'],['GV-RX570GAMING-4GD REV2.0'],['4'],['OpenGL 4.5'],,,,['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['System PSU Limitation: 450W'],['225W'],,['Yes'],0 reviews
['1268 MHz'],['MSI'],,"['9.69"" x 5.12""']",['AMD'],['Double Fans'],,"['Crossfire, 2-Way (Bridgeless)']",['1 x DL-DVI-D'],"['October 26, 2020']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['7000 MHz'],,"['TORX Fan- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.Advanced Airflow Control technology: Improves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking UtilityWireless control through Android/iOS devices.Predator: In-game video recording.Kombustor: built-in DirectX12 benchmark.Supports multi-GPU setups.All Solid Capacitors10 years long lifetime under full load.Lower temperature and higher efficiency.Aluminum core for higher stability.']",['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],['Yes'],['1 x HDMI'],['PCI Express x16'],,['246 mm'],,['256-Bit'],['8GB'],['GDDR5'],['RX 570 ARMOR 8G OC'],['5'],['OpenGL 4.5'],,,,['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['Recommended PSU: 450W'],['150W'],,['Yes'],400 (90% Positive)
,['XFX'],,"['9.57"" x 4.88""']",['AMD'],['Double Fans'],['1328 MHz'],['Yes'],['1 x DL-DVI-D'],"['November 06, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['7.0 GHz'],['Yes'],['Microsoft Windows 10 SupportMicrosoft DirectX 12 SupportFinFET 14nm TechnologyGCN 4th Generation ArchitectureAMD Virtual Super Resolution (VSR)AMD ReliveAMD ChillAMD LiquidVR TechnologyAMD FreeSync 2 TechnologyAMD Frame Rate Target Control (FRTC)AMD CrossFire technologyAMD Eyefinity multi-display technologyAMD App AccelerationAMD TrueAudio TechnologyAMD XConnect ReadyAMD Radeon Crimson SoftwareAMD WattManAMD APP AccelerationDolby TrueHD and DTS-HD Master Audio SupportUp to 6 displays supported (may require the use of MST Hubs)Vulkan and Mantle Ready. Next Generation APIsOpenCL Support'],['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['Yes'],['243 mm'],['4096 x 2160'],['256-Bit'],['8GB'],['DDR5'],['RX-570P8DBD6'],['6'],['OpenGL 4.5'],,,,['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['Minimum Power Supply Requirement: 500WXFX Recommended Power Supply: XFX 550W PSU'],['225W'],['Yes'],['Yes'],(6)
['1340 MHz'],['SAPPHIRE'],,"['10.24"" x 5.31""']",['AMD'],['Double Fans'],,['Yes'],['1 x DL-DVI-D'],"['December 09, 2018']",['DirectX 12'],['2 x DisplayPort 1.4'],['Yes'],,"['Up to 1750 MHz, Effective 7000 Mbps']",['Yes'],['HDR Ready Vulkan OptimizedRadeon Freesync 2 ReadyNext Gen FinFET 14 Technology 4th Generation GCN Architecture OpenCL SupportHDMI 4K60 / Display Port 1.4AMD CrossFire technology (bridgeless) - up to 2 GPUs Radeon XConnect technology Compatible with AMD and Intel Platforms Sapphire Dual-X Cooling TechnologyIntelligent Fan Control IIIPrecision Fan ControlFuse ProtectionLong-life CapacitorTri-XX SupportedBlack Diamond Choke 4thFan Quick Connect'],['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['2 x HDMI'],['PCI Express 3.0'],,['260 mm'],['HDMI: 4096 x 2160 @ 60 HzDisplayPort 1.4: 5120 x 2880 @ 60 HzDL-DVI-D: 2560 x 1600 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR5'],['100412NT+8GL'],['5'],['OpenGL 4.5'],"['Supported operating systems include Windows 10, and Windows 7. 64-bit operating system required.']",,['ACCESSORIES:Driver DVD'],['1 x 8-pin + 1 x 6-pin'],,['NITRO+'],['2.2 slots'],['2048 Stream Processors'],['PCI Express compliant motherboard with one x16 graphics slot.500W (or greater) power supply.Minimum 4GB of system memory. Recommended 8GB. See amd.com/VR ready for more information.'],['225W'],,['Yes'],0 reviews
['1281 MHz (OC Mode)1268 MHz (Gaming Mode)1244 MHz (Slient Mode)'],['MSI'],,"['10.63"" x 5.12""']",['AMD'],['Double Fans'],,"['Crossfire, 2-Way (Bridgeless)']",['1 x DL-DVI-D'],"['April 02, 2019']",['DirectX 12'],['2 x DisplayPort'],['Yes'],,['7000 MHz'],,"['TORX 2.0 FAN: Supremely silentDispersion fan blade: Steeper curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Double ball bearing: Strong and lasting core for years of smooth gaming.Afterburner Overclocking UtilityWireless control through Android/iOS devices.Predator: In-game video recording.Supports multi-GPU setups.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",,['Radeon RX 570'],['AMD Radeon RX 500 Series'],['Yes'],['2 x HDMI'],['PCI Express x16'],,['270 mm'],,['256-Bit'],['8GB'],['GDDR5'],['RX 570 ARMOR MK2 8G OC'],['4'],['OpenGL 4.5'],,,,['8-Pin'],,,['Dual Slot'],['2048 Stream Processors'],['Recommended PSU: 450W'],['150W'],,['Yes'],(119)
['1250 MHz'],['PowerColor'],,"['10.04"" x 5.39""']",['AMD'],['Double Fans'],,['Yes'],['1 x DL-DVI-D'],"['September 29, 2020']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['4 x 1750 MHz (7.0 Gbps)'],['Yes'],['Advanced GDDR5 Memory TechnologyAMD App AccelerationAMD CrossFire TechnologyAMD Eyefinty TechnologyAMD HD Media AcceleratorAMD HD3D TechnologyAMD PowerPlay TechnologyAMD PowerTune TechnologyAMD XConnect ReadyGCN ArchitectureHDMIMicrosoft DirextX 12Microsoft Windows 10 SupportMicrosoft Windows 7 SupportMute Fan TechnologyPCI Express 3.0Premium VR ReadyRadeon ChillRadeon ReLiveUEFI SupportVirtual Super Resolution'],['ATX'],['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['1 x HDMI'],['PCI Express 3.0'],,['255 mm'],['DVI: 2560x1600DisplayPort: 4096x2160HDMI: 4096x2160'],['256-Bit'],['4GB'],['GDDR5'],['AXRX 570 4GBD5-3DHD/OC'],,['OpenGL 4.5'],,,['ACCESSORY:ManualDriver (PCIE)'],['8-Pin'],,['RED DRAGON'],['Dual Slot'],['2048 Stream Processors'],['Minimum System Power Requirement: 450W'],['225W'],,['Yes'],40 (60% Positive)
,['XFX'],,"['9.57"" x 4.88""']",['AMD'],['Double Fans'],['1284 MHz (OC+ Capable Clock)1264 MHz (XFX True Clock)1168 MHz (AMD Reference)'],['Yes'],['1 x DL-DVI-D'],"['August 10, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['AMD Reference: 7.0 GHzXFX True Clock: 7.0 GHzOC+ Capable Clock: 7.1 GHz'],['Yes'],['3 Years with Registration at XFXMicrosoft Windows 10 SupportMicrosoft DirectX 12 SupportFinFET 14nm TechnologyGCN 4th Generation ArchitectureAMD Virtual Super Resolution (VSR)AMD ReliveAMD ChillAMD LiquidVR TechnologyAMD FreeSync 2 TechnologyAMD Frame Rate Target Control (FRTC)AMD CrossFire technologyAMD Eyefinity multi-display technologyAMD App AccelerationAMD TrueAudio TechnologyAMD XConnect ReadyAMD Radeon Crimson SoftwareAMD WattManAMD APP AccelerationHDMI 2.0bDisplayport 1.4Dolby TrueHD and DTS-HD Master Audio SupportPCI Express 3.0Up to 6 displays supported (may require the use of MST Hubs)Advanced GDDR5 Memory TechnologyVulkan and Mantle Ready. Next Generation APIsOpenGL 4.5 SupportOpenCL Support'],,['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['243 mm'],['4096 x 2160'],['256-Bit'],['4GB'],['DDR5'],['RX-570P427D6'],,['OpenGL 4.5'],,,['Accessories:1 x 8-pin to 6-pin power cable1 x Driver Disk Installation Guide1 x Installation DVD'],['8-Pin'],['Yes'],,['Dual Slot'],['2048 Stream Processors'],['Minimum Power Supply Requirement: 500WXFX Recommended Power Supply: XFX 550W PSU'],['150W'],,['Yes'],441 (84% Positive)
['1284 MHz'],['SAPPHIRE'],,"['9.06"" x 4.92""']",['AMD'],['Double Fans'],,['Yes'],,"['January 01, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['7000 MHz'],['Yes'],['Sapphire Features:Dual-X CoolingLong Life Dual Ball Bearing FansIntelligent Fan Control IIIQuick Connect SystemLong Life CapacitorBack plateBlackDiamond 4 ChokesFuse protection AMD Features:Radeon VR Ready PremiumRadeon SoftwareRadeon FreeSync TechnologyAMD LiquidVR Technology4th Gen GCN ArchitectureRadeon ChillRadeon ReLive DirectX 12 TechnologyAMD Eyefinity Technology (Gaming)AMD App AccelerationAMD CrossFire TechnologyAMD CrossFire (Bridgeless)3rd Gen 14nm Process TechnologyOpenCL 2.0OpenGL 4.5AMD PowerTune TechnologyTrueAudio NextUnified Video Decoder (UVD)Video Code Engine (VCE)Virtual Super ResolutionThe Vulkan API'],,['Radeon RX 570'],['AMD Radeon RX 500 Series'],,['2 x HDMI'],['PCI Express 3.0'],,['230 mm'],['DisplayPort: 5120x2880@60HzHDMI: 4096x2160@60Hz'],['256-Bit'],['8GB'],['GDDR5'],['11266-66-20G'],['4'],['OpenGL 4.5'],"['Windows 10, Windows 7, 64-bit operating system required']",,,['8-Pin'],,['PULSE'],['Dual Slot'],['2048 Stream Processors'],['500-Watt or greater power supply (Recommended)1 x 8-pin Power ConnectorPCI Express compliant motherboard with one x16 graphics slot'],['<180W'],,['Yes'],247 (72% Positive)
['1310 MHz (OC mode)1300 MHz (Gaming mode)'],['ASUS'],,"['9.45"" x 5.08""']",['AMD'],['Double Fans'],,['Yes'],['2 x DVI-D'],"['December 09, 2019']",,['1 x DisplayPort 1.4'],,,['7000 MHz'],['Yes'],"[""1310 MHz boost clock (OC Mode) for 7% performance improvement over referenceASUS Aura Sync RGB lighting features a nearly endless spectrum of colors with the ability to synchronize effects across an ever-expanding ecosystem of AURA Sync enabled productsDirectCU II with unique wing-blade fans on 0db fan technology delivers 30% cooler and 3X quieter performance contact with direct-GPU contact heatpipesEasily monitor and control your GPU's performance and cooling with the intuitive GPU Tweak II interface and FanConnect II for GPU and CPU temperature sensingAuto-Extreme manufacturing technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components""]",,['Radeon RX 570'],['AMD Radeon RX 500 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['240 mm'],['5120 x 2880'],['256-Bit'],['4GB'],['GDDR5'],['ROG-STRIX-RX570-O4G-GAMING'],,['OpenGL 4.5'],,,['Accessories:2 x ROG Cable Ties2 x Orange Color Decals1 x CD1 x Quick Guide'],['8-Pin'],,['ROG Strix'],['Dual Slot'],['2048 Stream Processors'],,['150W'],,['Yes'],(49)
