,brand,model,product_name,price,rating,shipping,url
0,GIGABYTE,RX 580,GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$218.00 (3 Offers)–,4,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-580-gv-rx580gaming-8gd/p/N82E16814125962?Description=RX
1,MSI,RX 580,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 4G OC 4GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$299.99 (2 Offers)–,5,Free Shipping,https://www.newegg.com/msi-radeon-rx-580-rx-580-armor-4g-oc/p/27N-0023-000U6?Description=RX
2,XFX,RX 580,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,$248.91 (11 Offers)–,4,Free Shipping,https://www.newegg.com/xfx-radeon-rx-580-rx-580p8dfd6/p/N82E16814150803?Description=RX
3,Sapphire,RX 580,"Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI), 100411P8GOCL",$223.22 (9 Offers)–,4,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-580-100411p8gocl/p/N82E16814202278?Description=RX
4,Sapphire,RX 580,SAPPHIRE PULSE Radeon RX 580 DirectX 12 11265-05-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Cards,$239.99 (3 Offers)–,5,$3.99 Shipping,https://www.newegg.com/sapphire-radeon-rx-580-11265-05-20g/p/N82E16814202362?Description=RX
5,XFX,RX 580,"XFX Radeon RX 580 GTS Black Edition 1405 MHz OC+, 8GB 256-bit GDDR5, DX12 VR Ready, Double Dissipation, Dual BIOS, PCI-E AMD Graphics Card (RX-580P828D6)",$329.33 (2 Offers)–,3,Free Shipping,https://www.newegg.com/xfx-radeon-rx-580-rx-580p828d6/p/N82E16814150794?Description=RX
6,Sapphire,RX 580,Sapphire 11265-05-20G Radeon PULSE RX 580 8GB GDDR5 DUAL HDMI / DVI-D / DUAL DP OC  Graphic Cards,$245.00 (3 Offers)–,5,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-580-11265-05-20g/p/1FT-000B-000D4?Description=RX
7,PowerColor,RX 580,PowerColor RED DEVIL Golden Radeon RX 580 DirectX 12 AXRX 580 8GBD5-3DHG/OC 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,$684.27 (2 Offers)–,4,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-580-axrx-580-8gbd5-3dhg-oc/p/N82E16814131712?Description=RX
8,MSI,RX 580,MSI Radeon RX 580 DirectX 12 RX 580 8GT 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$324.97 –,4,Free Shipping,https://www.newegg.com/msi-radeon-rx-580-rx-580-8gt-oc/p/N82E16814137479?Description=RX
9,MSI,RX 580,MSI Radeon RX 580 DirectX 12 RX 580 8G 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$199.99 –,3,Special Shipping,https://www.newegg.com/msi-radeon-rx-580-rx-580-8g-blower-r/p/1FT-0009-001U8?Description=RX
10,ASUS,RX 580,ASUS ROG Strix Radeon RX 580 T8G Gaming Top OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX580-T8G-GAMING),$888.99 (1 Offers)–,4,Free Shipping,https://www.newegg.com/asus-radeon-rx-580-rog-strix-rx580-t8g-gaming/p/N82E16814126192?Description=RX
11,MSI,RX 580,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 4G OC 4GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Plug-in CardFull-height Video Card,$239.99 (2 Offers)–,3,Free Shipping,https://www.newegg.com/msi-radeon-rx-580-rx-580-armor-4g-oc/p/N82E16814137273?Description=RX
12,ASUS,RX 580,ASUS ROG Strix Radeon RX 580 O8G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card with RGB Lighting (ROG-STRIX-RX580-O8G-GAMING),$299.99 (2 Offers)–,4,Free Shipping,https://www.newegg.com/asus-radeon-rx-580-rog-strix-rx580-o8g-gaming/p/N82E16814126193?Description=RX
