,brand,model,product_name,price,rating,shipping,url
0,GIGABYTE,RX Vega 56,GIGABYTE Radeon RX Vega 56 DirectX 12 GV-RXVEGA56GAMING OC-8GD 8GB 2048-Bit HBM2 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,$449.90 (2 Offers)–,2,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-vega-56-gv-rxvega56gaming-oc-8gd/p/N82E16814932030?Description=RX
1,XFX,RX Vega 56,"XFX RX Vega 56 8GB Video Cards, RX-VEGALDFF6",$499.00 –,4,Free Shipping,https://www.newegg.com/xfx-radeon-rx-vega-56-rx-vegaldff6/p/N82E16814150819?Description=RX
2,Sapphire,RX Vega 56,SAPPHIRE NITRO+ Radeon RX Vega 56 DirectX 12 100420NT+LESR 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$639.00 (2 Offers)–,4,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-vega-56-100420nt-lesr/p/N82E16814202305?Description=RX
3,Sapphire,RX Vega 56,SAPPHIRE PULSE Radeon RX Vega 56 DirectX 12 100420PSR 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$590.00 –,4,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-vega-56-100420psr/p/N82E16814202318?Description=RX
4,ASUS,RX Vega 56,ASUS AREZ Strix Radeon RX Vega 56 AREZ-STRIX-RXVEGA56-O8G-GAMING 8GB 2048-Bit HBM2 PCI Express 3.0 HDCP Ready CrossFireX Support Video Card,$610.00 –,4,Free Shipping,https://www.newegg.com/asus-radeon-rx-vega-56-arez-strix-rxvega56-o8g-gaming/p/N82E16814126180?Description=RX
5,PowerColor,RX Vega 56,PowerColor Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-3DH 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$599.00 –,4,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-vega-56-axrx-vega-56-8gbhbm2-3dh/p/N82E16814131730?Description=RX
6,MSI,RX Vega 56,MSI Radeon RX Vega 56 DirectX 12 Vega 56 AIR BOOST 8G 8GB 2048-Bit HBM2 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$598.00 –,,Free Shipping,https://www.newegg.com/msi-radeon-rx-vega-56-vega-56-air-boost-8g/p/27N-0023-000W3?Description=RX
7,MSI,RX Vega 56,MSI Radeon VEGA 56 8GB Air Boost OC HBM2 Video Graphics Card GPU,$470.00 –,,Free Shipping,https://www.newegg.com/msi-radeon-rx-vega-56-radeon-vega-56/p/27N-0023-001A6?Description=RX
8,MSI,RX Vega 56,MSI Radeon RX Vega 56 Radeon RX Vega 56 8G Video Card,$599.00 –,5,Free Shipping,https://www.newegg.com/msi-radeon-rx-vega-56-8g/p/N82E16814137228?Description=RX
9,PowerColor,RX Vega 56,PowerColor RED DRAGON Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-2D2HD/OC 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$589.00 –,,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-vega-56-axrx-vega-56-8gbhbm2-2d2hd-oc/p/27N-000F-000F8?Description=RX
10,PowerColor,RX Vega 56,PowerColor RED DEVIL Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-2D2H/OC 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$599.00 –,5,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-vega-56-axrx-vega-56-8gbhbm2-2d2h-oc/p/N82E16814131733?Description=RX
