Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['1755 MHz'],['EVGA'],['1920'],"['7.96"" x 4.38""']",['NVIDIA'],['Double Fans'],,['1 x Dual-Link DVI-D'],"['May 26, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],,,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['202 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['06G-P4-2068-KR'],['3'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,,,['One available 8-pin PCIe power dongle'],,['No'],,['Dual Slot'],"['500-Watt or greater power supplyPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot']",['190W'],['Yes'],"7,725 (87% Positive)"
['1695 MHz'],['EVGA'],['2176'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,,"['July 17, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2060 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3162-KR'],['4'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8-pin PCIe power connector'],,['No'],,['Dual Slot'],"['550W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['175W'],['Yes'],(6)
['1755 MHz'],['EVGA'],['1920'],"['10.55"" x 4.38""']",['NVIDIA'],['Double Fans'],,['1 x Dual-Link DVI-D'],"['March 25, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['NVIDIA AnselHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Microsoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6Supports NVIDIA NVENC Turing Encoder']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['06G-P4-2067-KR'],['3'],['OpenGL 4.6'],"['Windows 10 64-bit, Windows 7 64-bit']",,,,['One available 8-pin PCIe power dongle'],,,,['Dual Slot'],"['500-Watt or greater power supplyPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot']",['160W'],['Yes'],"1,689 (78% Positive)"
['OC Mode: 1710 MHz Gaming Mode: 1680 MHz'],['ASUS'],['1920'],"['7.00"" x 4.76""']",['NVIDIA'],['Single Fan'],['Gaming Mode: 1365 MHz'],['1 x DL-DVI-D'],"['January 04, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This provides up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Dual-ball bearing fan with IP5X dust resistance is a larger, quieter, and dust resistant fan that shifts more air.Auto-Extreme Technology uses automation to enhance reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['177 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['PH-RTX2060-6G'],['4'],['OpenGL 4.5'],,,,['Accessories:1 x CD1 x Quick Guide'],['8-Pin'],,['No'],['Phoenix'],['Dual Slot'],['Recommended PSU: 500W'],['160W'],['Yes'],132 (93% Positive)
['OC Mode: 1725 MHz Gaming Mode (Default): 1695 MHz'],['ASUS'],['2176'],"['9.50"" x 5.10""']",['NVIDIA'],['Double Fans'],['1470 MHz'],['1 x DL-DVI-D'],"['October 28, 2020']",,['1 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"['OC Edition: Boost Clock 1725 MHz (OC Mode) / 1695 MHz (Gaming Mode).RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.DirectCU II brings copper heatpipes into direct contact with the die for better cooling.Auto-Extreme Technology uses automation to enhance reliability.A Protective backplate secures components during transportation and installation.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.']",['ATX'],['GeForce RTX 2060 SUPER'],,['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0 x16'],['242 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2060S-O8G-EVO-V2'],['4'],['OpenGL 4.6'],,,,['Accessories:1 x Quick Guide'],['8-Pin'],,['No'],['Dual'],['2.5 Slot'],['550W Power Supply'],['215W'],['Yes'],883 (79% Positive)
['1830 MHz'],['MSI'],['1920'],"['9.72"" x 5.08""']",['NVIDIA'],['Double Fans'],,,"['January 04, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Twin Frozr 7 Thermal Design:TORX Fan 3.0- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.RGB Mystic Light:Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Dragon Center:1 click to optimize all you need for smooth gaming.']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['247 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['RTX 2060 GAMING Z 6G'],['4'],['OpenGL 4.5'],,,,,['8-Pin'],,['No'],,,['Recommended PSU: 500W'],['190W'],['Yes'],400 (90% Positive)
,['GIGABYTE'],['2176'],"['11.04"" x 4.58""']",['NVIDIA'],['WINDFORCE 3X'],['1815 MHz'],,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2060 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fans4 Copper Heat Pipes direct touch GPURGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2060 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['280 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N206SGAMING OC-8GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:Quick guideDriver CD'],"['1 x 6-pin, 1 x 8-pin']",,['No'],,['Dual Slot'],['System PSU Limitation: 550W'],['175W'],['Yes'],883 (79% Positive)
['1665 MHz'],['MSI'],['2176'],"['9.13"" x 5.00""']",['NVIDIA'],['Double Fans'],,,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gpbs'],"['TORX Fan 2.0Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking UtilityOC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.NVIDIA G-SYNC and HDRGet smooth, tear-free gameplay at refresh rates up to 240 Hz, plus HDR, and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VRBy combining advanced VR rendering, real-time ray tracing, and AI, GeForce RTX will take VR to a new level of realism.']",,['GeForce RTX 2060 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['232 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2060 SUPER VENTUS GP OC'],['4'],['OpenGL 4.5'],,,,,['8-Pin'],,['No'],,,['Recommended PSU: 550W'],['184W'],['Yes'],883 (79% Positive)
['OC Mode: 1785 MHzGaming Mode (Default): 1755 MHz'],['ASUS'],['1920'],"['9.53"" x 5.12""']",['NVIDIA'],['Double Fans'],['OC Mode: 1395 MHzGaming Mode (Default): 1365 MHz'],['1 x DVI-D'],"['October 18, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA TURING GPU architecture and the all-new RTX platform provides up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12 enables new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Axial-tech Fan Design brings larger blades and a unique barrier ring to increase air pressure.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.GPU Tweak II provides intuitive performance tweaking and thermal controls.144-Hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.']",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0 x16'],['242 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['DUAL-RTX2060-O6G-EVO'],['4'],['OpenGL 4.5'],,,,['Accessories:1 x CD1 x Quick Guide'],['1 x 8-pin'],,['No'],['Dual'],['2.5-slot'],['Recommended PSU: 500W'],['190W'],['Yes'],36 (64% Positive)
['OC Mode: 1860 MHzGaming Mode: 1830 MHz'],['ASUS'],['1920'],"['11.81"" x 5.20""']",['NVIDIA'],['Triple Fans'],['1365 MHz'],,"['September 03, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2060'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR6'],['ROG-STRIX-RTX2060-O6G-GAMING'],['4'],['OpenGL 4.5'],,,,['Accessories:1 x ROG Velcro Hook & Loop1 x CD1 x Quick Guide'],"['1 x 6-pin, 1 x 8-pin']",,['No'],['ROG STRIX'],['2.5-slot'],['Recommended PSU: 500W'],['160W'],['Yes'],(37)
