brand,model,product_name,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Tuner ,Virtual Reality Ready ,review_numbers
MSI,GTX 1070,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 TI ARMOR 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,,$45.00 Shipping,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-armor-8g/p/N82E16814137399?Description=GTX,['1683 MHz'],['MSI'],['2432'],"['10.98"" x 5.51""']",['NVIDIA'],['Double Fans'],['1607 MHz'],['1 x DL-DVI-D'],"['December 22, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['Armor 2X Thermal Design:TORX Fan- Dispersion fan blade Steep curved blade accelerating the airflow.- Traditional fan blade Provides steady airflow to massive heat sink below.Zero Frozr- Stopping the fan in low-load situations, keeping a noise-free environment.Advanced Airflow Control technology- Improves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking Utility:Wireless control through Android/ios devices.Predator: In-game video recording.Supports multi-GPU setups.Military Class certified Components:Certified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.']",,['GeForce GTX 1070 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['279 mm'],,['256-Bit'],['8GB'],['GDDR5'],['GTX 1070 TI ARMOR 8G'],['4'],['OpenGL 4.5'],,,,"['1 x 6-pin, 1 x 8-pin']",['2-Way SLI'],,['Dual Slot'],['POWER CONSUMPTION: 180WRECOMMENDED PSU: 500W'],['180W'],,['Yes'],0 reviews
MSI,GTX 1070,MSI GeForce GTX 1070 DirectX 12 GTX 1070 GAMING X 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,5,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1070-gtx-1070-gaming-x-8g/p/N82E16814127947?Description=GTX,['1797 MHz (OC Mode)1771 MHz (Gaming Mode)1683 MHz (Silent Mode)'],['MSI'],['1920'],"['10.98"" x 5.51""']",['NVIDIA'],['Double Fans'],['1607 MHz (OC Mode)1582 MHz (Gaming Mode)1506 MHz (Silent Mode)'],['1 x DL-DVI-D'],"['March 28, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8108 MHz (OC Mode)8008 MHz (Gaming Mode)8008 MHz (Silent Mode)'],"['The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipesSquared shape at bottommaximize heat transfer from the copper base plate- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment- Airflow Control technologyDeflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan bladeSteeper curved blade accelerating the airflow- Traditional fan bladeProvides steady airflow to massive heatsink below- Double ball bearingStrong and lasting core for years of smooth gamingGaming App- Instant Performance GainUnlock extra performance or keep your card silent during light use in one click- LED controlFull control on your RGB GAMING LEDs to set the mood- Mobile APPControl your graphics card from your phone']",['ATX'],['GeForce GTX 1070'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['279 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5'],['GTX 1070 GAMING X 8G'],['4'],['OpenGL 4.5'],,,,['6-Pin / 8-Pin'],['2-Way SLI'],,['Dual Slot'],['Power consumption: 150WRecommended PSU: 500W'],['150W'],,['Yes'],-300
ASUS,GTX 1070,ASUS GeForce GTX 1070 STRIX-GTX1070-8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,5,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1070-strix-gtx1070-8g-gaming/p/N82E16814126111?Description=GTX,['1721 MHz in OC mode1683 MHz in Gaming mode'],['ASUS'],['1920'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['1531 MHz in OC mode1506 MHz in Gaming mode'],['1 x Dual-link DVI-D'],"['November 09, 2018']",,['2 x DisplayPort 1.4'],['Yes'],,['8000 MHz'],['1721 MHz Boost Clock with Super Alloy Power II DeliveryAura RGB Lighting on both shroud and backplateNew ASUS FanConnect provides dual 4-pin GPU-controlled PWM fan headersDirectCU III with 0dB fan technology and patented wing-blade fansVR Ready with dual HDMI 2.0 ports to simultaneously connect headset & monitor'],,['GeForce GTX 1070'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0'],,['298 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5'],['STRIX-GTX1070-8G-GAMING'],,['OpenGL 4.5'],,,,,,,['Dual Slot'],,['150W'],,['Yes'],-67
EVGA,GTX 1070,"EVGA GeForce GTX 1070 GAMING ACX 3.0, 08G-P4-6171-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)",5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6171-kr/p/N82E16814487249?Description=GTX,['1683 MHz'],['EVGA'],['1920'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1506 MHz'],['1 x Dual-Link DVI-D'],"['November 13, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['Simultaneous Multi-Projection VR Ready NVIDIA Ansel NVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNC NVIDIA GameStream NVIDIA GPU Boost 3.0 Microsoft DirectX 12 Vulkan API OpenGL 4.5 Support PCI Express 3.0 Max Digital Resolution - 7680 x4 320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI Built for EVGA Precision XOC']",,['GeForce GTX 1070'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,,['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5'],['08G-P4-6171-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['8-Pin'],['2-Way SLI'],,['Dual Slot'],"['500 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['150W'],,['Yes'],-7
EVGA,GTX 1070,"EVGA GeForce GTX 1070 Founders Edition, 08G-P4-6170-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)",5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1070-fe-08g-p4-6170-kr/p/N82E16814487247?Description=GTX,['1683 MHz'],['EVGA'],['1920'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x Dual-Link DVI-D'],"['November 08, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8000 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI-DBuilt for EVGA Precision XOC']",,['GeForce GTX 1070 FE'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5'],['08G-P4-6170-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['8-Pin'],['2-Way SLI'],,['Dual Slot'],"['500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",,,['Yes'],-68
GIGABYTE,GTX 1070,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070G1 GAMING-8GD R2 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card,4,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1070-gv-n1070g1-gaming-8gd-r2/p/N82E16814125871?Description=GTX,['1822 MHz in OC Mode1784 MHz in Gaming Mode'],['GIGABYTE'],['1920'],"['11.02"" x 4.49""']",['NVIDIA'],['WINDFORCE 3X'],['1620 MHz in OC Mode1594 MHz in Gaming Mode'],['1 x Dual-link DVI-D'],"['March 19, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1070Integrated with 8GB GDDR5 256-bit memoryWINDFORCE 3X with Blade Fan DesignSupport up to 8K display @60Hz16.7M Customizable Color RGB Lighting'],['ATX'],['GeForce GTX 1070'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['280 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5'],['GV-N1070G1 GAMING-8GD R2'],['4'],['OpenGL 4.5'],,,,['8-Pin'],['2-Way SLI'],,['Dual Slot'],['Recommended PSU: 500W'],['150W'],,['Yes'],-307
MSI,GTX 1070,MSI GeForce GTX 1070 DirectX 12 GTX 1070 GAMING 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,5,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1070-gtx-1070-gaming-8g/p/N82E16814127955?Description=GTX,['1721 MHz (OC Mode)1708 MHz (Gaming Mode)1683 MHz (Silent Mode)'],['MSI'],['1920'],"['10.98"" x 5.51""']",['NVIDIA'],['Double Fans'],['1531 MHz (OC Mode)1518 MHz (Gaming Mode)1506 MHz (Silent Mode)'],['1 x DL-DVI-D'],"['February 22, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipesSquared shape at bottom maximize heat transfer from the copper base plate- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment- Airflow Control technologyDeflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan bladeSteeper curved blade accelerating the airflow- Traditional fan bladeProvides steady airflow to massive heatsink below- Double ball bearingStrong and lasting core for years of smooth gamingGaming App- Instant Performance GainUnlock extra performance or keep your card silent during light use in one click- LED controlFull control on your RGB GAMING LEDs to set the mood- Mobile APPControl your graphics card from your phone']",['ATX'],['GeForce GTX 1070'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['279 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5'],['GTX 1070 GAMING 8G'],['4'],['OpenGL 4.5'],,,,['6-Pin / 8-Pin'],['2-Way SLI'],,['Dual Slot'],['Power Consumption: 150WRecommended PSU: 500W'],['150W'],,['Yes'],-162
MSI,GTX 1070,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti Titanium 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card - (OEM Packaging and Manual),,$45.00 Shipping,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-gaming-8g/p/1FT-0009-004A6?Description=GTX,['1683 MHz'],['MSI'],['2432'],"['10.98"" x 5.51""']",['NVIDIA'],['Double Fans'],['1607 MHz'],['1 x DL-DVI-D'],"['December 08, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['8008 MHz'],"['TWIN FROZR VI - Smooth heat pipes - Squared shape at bottom maximize heat transfer from the copper base plate - Zero Frozr - Stopping the fan in low-load situations, keeping a noise-free environment - Airflow Control technology - Deflectors thrusts air onto heat pipes for lower temperatures and better gaming TORX 2.0 FAN: Supremely silent - Dispersion fan blade: Steeper curved blade accelerating the airflow - Traditional fan blade: Provides steady airflow to massive heat sink below - Double ball bearing: Strong and lasting core for years of smooth gaming Military Class certified Components - Certified to MIL-STD-810G standards for top stability and quality - Built with Hi-c CAP, Solid CAP, and New SFC components']",['ATX'],['GeForce GTX 1070 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['279 mm'],,['256-Bit'],['8GB'],['GDDR5'],['GTX 1070 Ti GAMING 8G'],['4'],['OpenGL 4.5'],,,,"['1 x 6-pin, 1 x 8-pin']",['2-Way SLI'],['RED DRAGON'],['Dual Slot'],['Power Consumption: 180W Recommended PSU: 500W'],['180W'],,['Yes'],0 reviews
ASUS,GTX 1070,ASUS ROG GeForce GTX 1070 Ti ROG-STRIX-GTX1070TI-A8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,4,$45.00 Shipping,https://www.newegg.com/asus-geforce-gtx-1070-ti-rog-strix-gtx1070ti-a8g-gaming/p/N82E16814126225?Description=GTX,['OC Mode: 1759 MHz Gaming Mode (Default): 1683 MHz'],['ASUS'],['2432'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['OC Mode: 1683 MHzGaming Mode (Default): 1607 MHz'],['1 x DVI-D'],"['October 26, 2020']",,['2 x DisplayPort'],,,['8008 MHz'],['MaxContact Technology that is 2X more contact with GPU for improved thermal transfer.Unique Wing-Blade IP5X-Certified Fans for maximum airflow and longer fan lifespan.ASUS FanConnect II equips with hybrid controlled fan headers for optimal system cooling.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.ASUS Aura Sync RGB LED synchronization enables a gaming system personalization.VR-friendly HDMI ports let you enjoy VR experiences anytime without having to swap cables.GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.'],,['GeForce GTX 1070 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0'],,['298 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5'],['ROG-STRIX-GTX1070TI-A8G-GAMING'],,['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop'],['8-Pin'],['SLI Ready'],['ROG'],['2.5-slot'],,['180W'],,['Yes'],291 (90% Positive)
ASUS,GTX 1070,ASUS GTX 1070 8GB Dual OC Video Card DUAL-GTX1070-O8G Nvidia GPU Graphics Card,5,Free Shipping,https://www.newegg.com/asus-dual-gtx1070-o8g/p/1FT-000Y-001A6?Description=GTX,,['ASUS'],,,['NVIDIA'],['Double Fans'],,,"['September 04, 2019']",,,,['Air Cooler'],,,,['GeForce GTX 1070'],['NVIDIA GeForce GTX 10 Series'],,,['PCI Express 3.0 x16'],,,,,['8GB'],,['DUAL-GTX1070-O8G'],,,,['DUAL-GTX1070-O8G'],,,,['Dual'],,,['150W'],,,-1
