,brand,model,product_name,price,rating,shipping,url
0,ASUS,GTX 960,ASUS GeForce GTX 960 STRIX-GTX960-DC2OC-4GD5 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$129.99 –,5,$45.00 Shipping,https://www.newegg.com/asus-geforce-gtx-960-strix-gtx960-dc2oc-4gd5/p/N82E16814121928?Description=gtx
1,ASUS,GTX 960,ASUS GeForce GTX 960 TURBO-GTX960-OC-2GD5 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$299.00 –,4,Free Shipping,https://www.newegg.com/asus-geforce-gtx-960-turbo-gtx960-oc-2gd5/p/N82E16814121929?Description=gtx
2,ASUS,GTX 960,ASUS GeForce GTX 960 TURBO-GTX960-OC-4GD5 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$249.99 –,5,$4.27 Shipping,https://www.newegg.com/asus-geforce-gtx-960-turbo-gtx960-oc-4gd5/p/N82E16814126007?Description=gtx
3,EVGA,GTX 960,"EVGA GeForce GTX 960 2GB SSC GAMING ACX 2.0+, Whisper Silent Cooling Graphics Card 02G-P4-2966-KR",$275.00 –,,$12.00 Shipping,https://www.newegg.com/evga-geforce-gtx-960-02g-p4-2966-kr/p/1FT-001K-000K3?Description=gtx
4,EVGA,GTX 960,"EVGA GeForce GTX 960 04G-P4-3967-KR 4GB SSC GAMING w/ACX 2.0+, w/ Installed Backplate Graphics Card",$390.00 –,4,Free Shipping,https://www.newegg.com/evga-geforce-gtx-960-04g-p4-3967-kr/p/1FT-001K-000U5?Description=gtx
5,EVGA,GTX 960,"EVGA GeForce GTX 960 04G-P4-3967-KR 4GB SSC GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card",$399.00 (1 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-960-04g-p4-3967-kr/p/N82E16814487155?Description=gtx
6,PNY,GTX 960,PNY GeForce GTX 960 VCGGTX9602XPB-OC-BB 2GB GDDR5 PCI Express 3.0 Video Card,$310.00 –,3,Free Shipping,https://www.newegg.com/pny-geforce-gtx-960-vcggtx9602xpb-oc-bb/p/N82E16814133642?Description=gtx
7,MSI,GTX 960,MSI GeForce GTX 960 DirectX 12 GTX 960 GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$340.00 –,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-960-gtx-960-gaming-4g/p/N82E16814137175?Description=gtx
8,MSI,GTX 960,MSI GeForce GTX 960 DirectX 12 GTX 960 GAMING 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$355.00 –,5,Free Shipping,https://www.newegg.com/msi-geforce-gtx-960-vdgtx960gm100me/p/N82E16814127974?Description=gtx
9,EVGA,GTX 960,"EVGA GeForce GTX 960 02G-P4-2962-KR 2GB SC GAMING, Only 6.8 inches, Perfect for mITX Build Graphics Card",$299.00 –,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-960-02g-p4-2962-kr/p/N82E16814487093?Description=gtx
10,EVGA,GTX 960,EVGA GeForce GTX 960 DirectX 12 02G-P4-2968-KR 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support FTW ACX 2.0+ Video Card,$299.00 –,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-960-02g-p4-2968-kr/p/N82E16814487100?Description=gtx
11,EVGA,GTX 960,"EVGA GeForce GTX 960 04G-P4-3966-KR 4GB SSC GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card",$368.00 (1 Offers)–,4,Free Shipping,https://www.newegg.com/evga-geforce-gtx-960-04g-p4-3966-kr/p/N82E16814487128?Description=gtx
12,EVGA,GTX 960,"EVGA GeForce GTX 960 04G-P4-3962-KR 4GB SC GAMING, Only 6.8 inches, Perfect for mITX Build Graphics Card",$399.00 (1 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-960-04g-p4-3962-kr/p/N82E16814487133?Description=gtx
13,EVGA,GTX 960,"EVGA GeForce GTX 960 04G-P4-1962-KR 4GB SC GAMING, Only 6.8 inches, Perfect for mITX Build Graphics Card",$380.00 –,4,Free Shipping,https://www.newegg.com/evga-geforce-gtx-960-04g-p4-1962-kr/p/N82E16814487154?Description=gtx
14,MSI,GTX 960,MSI GeForce GTX 960 DirectX 12 GTX 960 GAMING 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$315.00 –,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-960-gtx-960-gaming-2g/p/N82E16814127843?Description=gtx
15,MSI,GTX 960,MSI GeForce GTX 960 DirectX 12 GTX 960 2GD5T OC 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$289.00 (1 Offers)–,5,Free Shipping,https://www.newegg.com/msi-geforce-gtx-960-gtx-960-2gd5t-oc/p/N82E16814127844?Description=gtx
16,MSI,GTX 960,MSI GeForce GTX 960 DirectX 12 GTX 960 GAMING 100ME 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$399.00 –,5,Free Shipping,https://www.newegg.com/msi-geforce-gtx-960-gtx-960-gaming-100me/p/N82E16814127845?Description=gtx
17,MSI,GTX 960,MSI GeForce GTX 960 DirectX 12 GTX 960 GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$375.00 (1 Offers)–,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-960-gtx-960-gaming-4g/p/N82E16814127860?Description=gtx
18,MSI,GTX 960,MSI GeForce GTX 960 DirectX 12 GTX 960 GAMING 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$335.00 –,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-960-vdgtx960gm2g/p/N82E16814127972?Description=gtx
19,MSI,GTX 960,MSI GeForce GTX 960 DirectX 12 GTX 960 2GD5T OC 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$280.00 –,4,Free Shipping,https://www.newegg.com/msi-geforce-gtx-960-vdgtx9602gd5toc/p/N82E16814127973?Description=gtx
