,brand,model,product_name,price,rating,shipping,url
0,EVGA,RTX 2060,"EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate",$369.00 (9 Offers)–,4,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2068-kr/p/N82E16814487486?Description=rtx
1,EVGA,RTX 2060,"EVGA GeForce RTX 2060 SUPER XC GAMING, 08G-P4-3162-KR, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",$719.99 (2 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2060-super-08g-p4-3162-kr/p/N82E16814487459?Description=rtx
2,EVGA,RTX 2060,"EVGA GeForce RTX 2060 SC Ultra GAMING, 06G-P4-2067-KR, 6GB GDDR6, Dual HDB Fans",$369.99 (17 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2067-kr/p/N82E16814487442?Description=rtx
3,ASUS,RTX 2060,ASUS Phoenix GeForce RTX 2060 DirectX 12 PH-RTX2060-6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$314.99 (7 Offers)–,4,Free Shipping,https://www.newegg.com/asus-geforce-rtx-2060-ph-rtx2060-6g/p/N82E16814126287?Description=rtx
4,ASUS,RTX 2060,ASUS Dual GeForce RTX 2060 SUPER DUAL-RTX2060S-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$559.99 (3 Offers)–,4,$45.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-super-dual-rtx2060s-o8g-evo-v2/p/N82E16814126397?Description=rtx
5,MSI,RTX 2060,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$408.49 (11 Offers)–,5,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-z-6g/p/N82E16814137379?Description=rtx
6,GIGABYTE,RTX 2060,"GIGABYTE GeForce RTX 2060 Super GAMING OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N206SGAMING OC-8GC Video Card",$649.99 –,4,$45.00 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206sgaming-oc-8gc/p/N82E16814932173?Description=rtx
7,MSI,RTX 2060,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$569.99 (2 Offers)–,4,$45.00 Shipping,https://www.newegg.com/msi-geforce-rtx-2060-super-rtx-2060-super-ventus-gp-oc/p/N82E16814137477?Description=rtx
8,ASUS,RTX 2060,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),$358.99 (6 Offers)–,5,Free Shipping,https://www.newegg.com/asus-geforce-rtx-2060-dual-rtx2060-o6g-evo/p/N82E16814126349?Description=rtx
9,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$759.99 (1 Offers)–,5,Free Shipping,https://www.newegg.com/asus-geforce-rtx-2060-rog-strix-rtx2060-o6g-gaming/p/N82E16814126280?Description=rtx
10,MSI,RTX 2060,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$669.99 (6 Offers)–,4,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-super-rtx-2060-super-gaming-x/p/N82E16814137440?Description=rtx
11,EVGA,RTX 2060,"EVGA GeForce RTX 2060 XC BLACK GAMING, 6GB GDDR6, HDB Fan Graphics Card 06G-P4-2061-KR",$417.96 (2 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2061-kr/p/N82E16814487425?Description=rtx
12,EVGA,RTX 2060,"EVGA GeForce RTX 2060 SC Ultra GAMING, 06G-P4-2067-KR, 6GB GDDR6, Dual HDB Fans",$409.45 (2 Offers)–,,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2067-kr/p/1FT-001K-00468?Description=rtx
13,GIGABYTE,RTX 2060,"GIGABYTE Geforce RTX 2060 OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060OC-6GD Video Card",$425.69 (2 Offers)–,4,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060oc-6gd/p/N82E16814932115?Description=rtx
14,GIGABYTE,RTX 2060,"GIGABYTE AORUS GeForce RTX 2060 Super 8G Graphics Card, WINDFORCE Stack, 8GB 256-Bit GDDR6, GV-N206SAORUS-8GC Video Card",$773.99 (3 Offers)–,4,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206saorus-8gc/p/N82E16814932172?Description=rtx
15,GIGABYTE,RTX 2060,"GIGABYTE GeForce RTX 2060 GAMING OC PRO 6G Graphics Card, 3 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060GAMINGOC PRO-6GD Video Card",$579.99 –,5,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060gamingoc-pro-6gd/p/N82E16814932119?Description=rtx
16,EVGA,RTX 2060,"EVGA GeForce RTX 2060 XC GAMING, 6GB GDDR6, HDB Fan Graphics Card 06G-P4-2063-KR",$499.99 –,5,Special Shipping,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2063-kr/p/N82E16814487423?Description=rtx
17,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-EVO-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$644.99 (4 Offers)–,5,$99.99 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-rog-strix-rtx2060-o6g-evo-gaming/p/N82E16814126425?Description=rtx
18,ASUS,RTX 2060,ASUS Dual GeForce RTX 2060 DirectX 12 DUAL-RTX2060-O6G-MINI 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$359.22 –,5,$15.99 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-dual-rtx2060-o6g-mini/p/N82E16814126450?Description=rtx
19,GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060GAMINGOC PRO-6GD Ver 2.0 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$579.99 (2 Offers)–,5,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060gamingoc-pro-6gd-ver-2-0/p/N82E16814932225?Description=rtx
20,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-O8G-EVO-V2-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$624.99 (3 Offers)–,3,$99.99 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-super-rog-strix-rtx2060s-o8g-evo-v2-gaming/p/N82E16814126447?Description=rtx
21,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-A8G-EVO-V2-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$674.99 (2 Offers)–,5,$99.99 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-super-rog-strix-rtx2060s-a8g-evo-v2-gaming/p/N82E16814126444?Description=rtx
22,ASUS,RTX 2060,ASUS Turbo GeForce RTX 2060 DirectX 12 TURBO-RTX2060-6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$499.99 (2 Offers)–,5,$45.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-turbo-rtx2060-6g/p/N82E16814126286?Description=rtx
23,ASUS,RTX 2060,Asus ROG Strix ROG-STRIX-RTX2060S-A8G-EVO-GAMING GeForce RTX 2060 SUPER Graphic Card - 8GB GDDR6,$604.99 (3 Offers)–,4,$99.99 Shipping,https://www.newegg.com/asus-rog-rtx-2060-super-rog-strix-rtx2060s-a8g-gaming/p/N82E16814126355?Description=rtx
24,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-A6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$599.99 –,5,$99.99 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-rog-strix-rtx2060-a6g-gaming/p/N82E16814126281?Description=rtx
25,GIGABYTE,RTX 2060,"GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card, 2 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N206SWF2OC-8GD Video Card",$559.99 (3 Offers)–,4,$45.00 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206swf2oc-8gd/p/N82E16814932174?Description=rtx
26,GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMING OC-8GD v2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$764.99 –,4,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206sgaming-oc-8gd-v2-0/p/N82E16814932250?Description=rtx
27,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER DirectX 12 ROG-STRIX-RTX2060S-A8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$674.99 (2 Offers)–,5,$99.99 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-super-rog-strix-rtx2060s-a8g-gaming/p/N82E16814126333?Description=rtx
