3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mac Edition ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Shader Clock ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
,['1683 MHz'],['EVGA'],['3584'],"['11.80"" x 5.62""']",['NVIDIA'],['Triple Fans'],['1569 MHz'],['1 x Dual-Link DVI-D'],"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11016 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6696-KR'],['4'],['OpenGL 4.6'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['2 x 8-Pin\xa0or 6+2-Pin'],,['SLI Ready'],,,['Dual Slot'],,"['600 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],291 (90% Positive)
,['N/A'],['EVGA'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1708 MHz'],['1 x Dual-Link DVI-D'],"['October 03, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6183-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1080 SC ACX3.0'],,['8-Pin'],,['SLI Ready'],,,['Dual Slot'],,"['500 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['180W'],['Yes'],46 (87% Positive)
,"['OC mode: 1835 MHz Gaming mode: 1809 MHz*Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II']",['ASUS'],['2560'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['OC mode: 1695 MHz Gaming mode: 1670 MHz'],['1 x Native DVI-D'],"['November 09, 2018']",,['2 x Native DisplayPort 1.4'],,,['10010 MHz'],"['1835 MHz boost clock in OC mode for outstanding performance and gaming experience.DirectCU III with Patented Wing-Blade Fans delivers 30% cooler and 3X quieter performance.ASUS FanConnect features 4-pin GPU-controlled headers connected to system fans for optimal thermal performance.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.Aura RGB Lighting to express personalized gaming style.VR-friendly HDMI ports for immersive virtual reality experiences.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x Native HDMI 2.0'],['PCI Express 3.0'],,['298 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['STRIX-GTX1080-A8G-GAMING'],,['OpenGL 4.5'],,,['Accessories:2 x ROG Cable Ties'],"['1 x 6-pin, 1 x 8-pin']",,,['ROG'],,['Dual Slot'],,,['180W'],['Yes'],(140)
,['1847 MHz (OC Mode)1822 MHz (Gaming Mode)1733 MHz (Silent Mode)'],['MSI'],['2560'],"['10.98"" x 5.51""']",['NVIDIA'],['Double Fans'],['1708 MHz (OC Mode)1683 MHz (Gaming Mode)1607 MHz (Silent Mode)'],['1 x DL-DVI-D'],"['December 20, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10108 MHz (OC Mode)10010 MHz (Gaming Mode)10010 MHz (Silent Mode)'],"['The Ultimate GAMING: TWIN FROZR VI- Smooth Heat PipesSquared shape at bottommaximize heat transfer from the copper base plate.- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment.- Airflow Control TechnologyDeflectors thrusts air onto heat pipes for lower temperatures and better gaming.TORX FAN 2.0: Supremely silent- Dispersion fan bladeSteeper curved blade accelerating the airflow.- Traditional fan bladeProvides steady airflow to massive heatsink below.- Double ball bearingStrong and lasting core for years of smooth gaming.Gaming App- Instant Performance GainUnlock extra performance or keep your card silent during light use in one click.- LED controlFull control on your RGB GAMING LEDs to set the mood.- Mobile APPControl your graphics card from your phone.']",['ATX'],['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['279 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GTX 1080 GAMING X 8G'],['4'],['OpenGL 4.5'],,,,"['1 x 6-pin, 1 x 8-pin']",,['2-Way SLI'],,,['Dual Slot'],,['Power consumption: 180WRecommended Power Supply: 500W'],['180W'],['Yes'],(140)
,['1582 MHz'],['ASUS'],['3584'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1480 MHz'],,"['November 09, 2018']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['11010 MHz (DDR2)'],"['ASUS Turbo GeForce GTX 1080 Ti 11GB GDDR5X for best VR, 4K gaming and system integration- NVIDIA GeForce GTX 1080 Ti is the fastest gaming GPU that delivers 35% faster performance than the GeForce GTX 1080.- Dual-ball Bearing Fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- VR-friendly HDMI ports let you enjoy VR experiences anytime without having to swap cables.- Customizable Backlit Logo gives your system a truly unique look with your own LED backlit logo design.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['TURBO-GTX1080TI-11G'],,['OpenGL 4.5'],,['TURBO-GTX1080TI-11G'],['Accessories:1 x DP-DVI Dongle'],"['1 x 6-pin, 1 x 8-pin']",,['SLI Ready'],,,['Dual Slot'],,,['250W'],['Yes'],(20)
,['1582 MHz'],['EVGA'],['3584'],"['10.60"" x 4.38""']",['NVIDIA'],['Single Fan'],['1480 MHz'],,"['October 26, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['11016 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320Built for EVGA Precision XOCHDMI 2.0b, DisplayPort 1.4 and DVI (via DP to Single-Link DVI-D Adapter)']",,['GeForce GTX 1080 Ti FE'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['270 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6390-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['1 x 6-Pin1 x 8-Pin'],,['SLI Ready'],,,['Dual Slot'],,"['600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",,['Yes'],(88)
,['1733MHz'],['NVIDIA'],['2560'],,['NVIDIA'],,['1607MHz'],,"['October 04, 2018']",,,,,,,,,,,,['PCI Express 3.0'],,,,['256-Bit'],['8GB'],,['NVIDIA 900-1G413-2500-00'],,['OpenGL 4.5'],,,,,,,,,,,,,,(4)
,['1860 MHz'],['EVGA'],['2560'],"['10.50"" x 5.06""']",['NVIDIA'],['Double Fans'],['1721 MHz'],['1 x Dual-Link DVI-D'],"['October 26, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['EVGA Double BIOSSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA PrecisionX OCEVGA ACX 3.0 Cooling10 Phase Power DesignAdjustable RGB LED']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['08G-P4-6286-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['2 x 8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['180W'],['Yes'],(375)
,['N/A'],['EVGA'],['3584'],"['11.80"" x 5.62""']",['NVIDIA'],['Triple Fans'],['1569 MHz'],['1 x DVI'],"['March 10, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11016 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology']",['ATX'],['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['300 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6696-KR'],['4'],['OpenGL 4.6'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1080 Ti FTW3'],,['2 x 8-Pin or 6+2-Pin'],,['SLI Ready'],,,['Dual Slot'],,"['600 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],291 (90% Positive)
,['OC Mode: 1797 MHzGaming Mode: 1771 MHz'],['GIGABYTE'],['2560'],"['11.02"" x 4.49""']",['NVIDIA'],['WINDFORCE 3X'],['OC Mode: 1657 MHzGaming Mode: 1632 MHz'],['1 x Dual-Link DVI-D'],"['November 16, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10010 MHz'],['Powered by GeForce GTX 1080Integrated with 8GB GDDR5X 256-bit memoryWINDFORCE 3X with Blade Fan DesignSupport up to 8K display @60Hz'],['ATX'],['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['280 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GV-N1080WF3OC-8GD'],['4'],['OpenGL 4.5'],,,,['8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['System PSU Limitation: 500WGPU (TDP): 131W (Real)\tTotal Graphics Power (TGP): 225W (Real)'],['180W'],['Yes'],(81)
