3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,RoHS Compliant ,SLI Support ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Tuner ,Virtual Reality Ready ,review_numbers
,['1329 MHz'],['PNY'],['2048'],"['11.2"" x 4.38""']",['NVIDIA'],['Double Fans'],['1228 MHz'],['1 x DVI'],"['January 31, 2019']",['DirectX 12'],['3 x Mini DisplayPort'],['Yes'],['7200 MHz (effective)'],,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x mini HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['VCGGTX9804XPB-XP-OC'],['4'],['OpenGL 4.4'],"['Microsoft Windows 8, Windows 7, Windows Vista']",,,,['6-Pin / 8-Pin'],,,['SLI Ready'],,['Dual Slot'],,['PCI Express-compliant motherboard with one dual-width x16 graphics slot One 8-Pin + One 6-Pin PCI Express supplementary power connectors Minimum 500W or greater system power supply'],['165W'],,['Yes'],0 reviews
,,['PNY'],,,['NVIDIA'],['Single Fan'],,,"['May 09, 2019']",,,,,,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,,,,,,,['4GB'],,,,,,,,,,,,,,,,,['165W'],,,0 reviews
,['1279 MHz'],['ASUS'],['2048'],['28.86 x 13.44 x 4.09 cm/ 11.36 x 5.30 x 1.61 inch'],['NVIDIA'],['With Fan'],['1178 MHz'],['1 x DVI'],"['July 09, 2020']",,['3 x DisplayPort'],,['7010 MHz'],,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],,,,['256-Bit'],['4GB'],['GDDR5'],,,,,,,,['6 x 8-Pin'],['400MHz'],,,,,,,['165W'],,,0 reviews
,['1190 MHz'],['EVGA'],['2816'],"['11.00"" x 5.94""']",['NVIDIA'],['Double Fans'],['1000 MHz'],['1 x Duallink DVI-I'],"['July 16, 2020']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['EVGA EVBot SupportDual BIOS Support8+8pin Power Input Dedicated 600WNVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA GSYNC ReadyMicrosoft DirectX 12 (feature level 12_1)NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Duallink DVIPCI Express 3.0EVGA ACX 2.0 CoolingdB InverterMemory MOSFET Cooling PlateStraight Heat PipesPreinstalled BackplateOpenGL 4.5 Support14+3 Power Phases']",,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI 2.0'],['PCI Express 3.0'],,['279 mm'],['Analog: 2048 x 1536Digital: 4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['06G-P4-4997-RX'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,,['2 x 8-Pin'],,,['SLI Ready'],,['Dual Slot'],,"['600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['260W'],,,0 reviews
,['1076 MHz'],['EVGA'],['2816'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1000 MHz'],['1 x Dual-link DVI-I'],"['May 09, 2019']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],['dB InverterEVGA ACX 2.0 CoolingMemory MOSFET Cooling PlateMicrosoft DirectX 12 (feature level 12_1)NVIDIA Adaptive Vertical SyncNVIDIA CUDA Technology with OpenCL supportNVIDIA Dynamic Super Resolution TechnologyNVIDIA G-SYNC ReadyNVIDIA GameStream TechnologyNVIDIA GameWorks TechnologyNVIDIA GPU Boost 2.0NVIDIA MFAA TechnologyNVIDIA Surround TechnologyOpenCL SupportStraight Heat Pipes'],,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['267 mm'],['4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['06G-P4-4991-RX'],['4'],['OpenGL 4.6'],"['Windows 10, Windows 8 & 8.1, Windows 7, Windows Vista']",,,,['6-Pin / 8-Pin'],,,['SLI Ready'],,['Dual Slot'],,"['600-Watt or greater power supply*PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slotAn available 6-pin PCIe power connector and an available 8 pin PCIe power connector* Minimum system power requirement based on a PC configured with an Intel Core i7 3.2 GHz processor']",['260W'],,,(3)
,['1140 MHz'],['ZOTAC'],['2816'],"['12.40"" x 4.38""']",['NVIDIA'],['Triple 90mm IceStorm'],['1051 MHz'],['1 x DL-DVI'],"['December 28, 2018']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['Engineered to game, the ZOTAC GeForce GTX 980 Ti AMP! is flush with power to maximize performance. The latest graphics card in the Maxwell family electrifies every 4K scenery down to the last pixel. Get the edge with 6GB of memory and 2816 pulsating cores that jolt your game to life while IceStorm and Carbon ExoArmor keep the noise low while enhancing thermal cooling and durability. Push the limit and let the marvel of engineering lead the way.']",,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0'],,,['4K'],['384-Bit'],['6GB'],['GDDR5'],['ZT-90503-10P'],['Quad Display'],['OpenGL 4.5'],['Windows 10 / 8 / 7 / Vista'],,['VGA: With adapter'],['Accessories:DVI-to-VGA AdapterDual 6-pin to 8-pin PCIe adapterDual 4-pin MOLEX to 6-pin PCIe adapterDriver DiskUser Manual'],['6-Pin / 8-Pin'],,['Yes'],['4-Way SLI'],,['Dual Slot'],,['Recommended Power Supply: 600WPower Consumption: 250W'],['260W'],['None'],['Yes'],"12,049 (81% Positive)"
['Yes'],['1291 MHz'],['EVGA'],['2816'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1190 MHz'],['1 x Dual-link DVI-I'],"['December 18, 2018']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['Fastest EVGA GTX 980 Ti Next To K|NGP|N: 8+2 Power Phases, extra +25W of PowerEVGA ""ACX 2.0+"" Cooling TechnologyFine-Tuned to PerfectionFeatures:- dBi-DB Noise Inverter: Silent, Generating 0dB of Noise- Straight Heat Pipes: Offers 6% better heat dissipation than bent heat pipes- Memory MOSFET Cooling Plate: Reduces up to 15°C memory temperature and up to 13°C MOSFET temperature- Fans use Double Ball Bearing for 400% longer lifespanPreinstalled EVGA Backplate for extra reinforcement and great aestheticsEVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Everything you need for your GeForce overclocking experience- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionalityEVGA\'s 24/7 Techinical Support- Don\'t forget EVGA\'s Around the Clock Tech Support!']",,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,['Analog: 2048 x 1536Digital: 4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['06G-P4-4996-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,['Accessories:1 x Driver CD1 x Installation Guide1 x DVI-I to VGA Adapter 1 x 4-Pin(2) to 6-Pin Adapter1 x 6-Pin(2) to 8-Pin Adapter1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker'],['2 x 8-Pin'],['400MHz'],,"['2 Way, 3 Way, or 4 Way SLI']",,['Dual Slot'],,['Max Power Draw: 275WRecommended PSU: 600W'],['260W'],,['Yes'],(77)
,['1380 MHz'],['EVGA'],['2048'],"['10.5"" x 4.38""']",['NVIDIA'],['ACX 2.0'],['1279 MHz'],['1 x DVI-I1 x DVI-D'],"['December 06, 2018']",['DirectX 12'],['1 x DisplayPort'],,['7010 MHz'],"['NVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyMicrosoft DirectX 12NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Dual-link DVIPCI Express 3.0EVGAACX 2.0 CoolingDouble BIOS Ready']",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,,['Max Analog: 2048 x 1536Max Digital: 4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-2986-RX'],['4'],['OpenGL 4.4'],['Windows 8 32/64bitWindows 7 32/64bitWindows Vista 32/64bit'],['GTX 980 FTW ACX 2.0'],,,,,,['SLI Ready'],,['Dual Slot'],,['Minimum of a 500 Watt power supply.*One available 8-pin PCI-E power connector and one available 6-pin PCI-E power connectorTotal Power Draw: 165 Watts* Minimum system power requirement based on a PC configured with an Intel Core i7 3.2GHz processor.'],['165W'],,,(10)
,['1342 MHz'],['EVGA'],['2048'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1241 MHz'],['1 x DVI'],"['February 14, 2019']",,['3 x DisplayPort'],['Yes'],['7010 MHz'],,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-2982-RX'],,,,['GTX 980 SC Blower'],,,['2 x 6-Pin'],,,,,['Dual Slot'],,['Minimum 500W Power Supply'],['165W'],,,0 reviews
,['1291 MHz'],['EVGA'],,"['11.00"" x 5.94""']",['NVIDIA'],['EVGA ACX 2.0 Cooling'],['1190 MHz'],['1 x DVI-I'],"['March 11, 2019']",['DirectX 12'],['3 x DisplayPort'],,['7010 MHz'],"['NVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyMicrosoft DirectX 12NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Dual-link DVIPCI Express 3.0EVGA ACX 2.0 CoolingdB InverterMemory MOSFET Cooling PlateStraight Heat PipesPreinstalled BackplateOpenGL 4.5 Support']",,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,['Analog: 2048 x 1536Digital: 4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['06G-P4-4998-RX'],['4'],['OpenGL 4.5'],"['Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",['GTX980 Ti CLASSIFIED ACX 2.0+'],,,,,,['SLI Ready'],,['Dual Slot'],['2816 Stream Processors'],"['600 Watt or greater power supply.****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2GHz processor.']",['260W'],,,(3)
