brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,D-SUB ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
GIGABYTE,GTX 1050,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Video Cards,159.99,5.0,,https://www.newegg.com/gigabyte-geforce-gtx-1050-ti-gv-n105td5-4gd/p/N82E16814125916?Description=gtx,1430 MHz in OC Mode1392 MHz in Gaming,GIGABYTE,768,"6.77"" x 4.45""",NVIDIA,Single Fan,1316 MHz in OC Mode1290 MHz in Gaming,NONE,NONE,1 x Dual-Link DVI-D,25-Oct-16,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,7008 MHz,Powered by GeForce GTX 1050 TiIntegrated with 4GB GDDR5 128-bit memory90mm Fan DesignSupport up to 8K display @60Hz,NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,172 mm,7680 x 4320,128-Bit,4GB,GDDR5,GV-N105TD5-4GD,3,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,Dual Slot,Recommended PSU: 300W,75W,NONE,965 (78% Positive),171.958,113.03,1430.0,1316.0,7008.0,965.0
GIGABYTE,GTX 1050,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,159.99,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1050-ti-gv-n105toc-4gd/p/N82E16814125915?Description=gtx,1455 MHz in OC Mode1430 MHz in Gaming,GIGABYTE,768,"7.52"" x 4.37""",NVIDIA,WINDFORCE 2X,1341 MHz in OC Mode1316 MHz in Gaming,NONE,NONE,1 x Dual-Link DVI-D,25-Oct-16,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,7008 MHz,Powered by GeForce GTX 1050 TiIntegrated with 4GB GDDR5 128-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60Hz,ATX,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,191 mm,7680 x 4320,128-Bit,4GB,GDDR5,GV-N105TOC-4GD,3,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,Dual Slot,Recommended PSU: 300W,75W,NONE,965 (78% Positive),191.008,110.998,1455.0,1341.0,7008.0,965.0
MSI,GTX 1050,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,159.99,4.0,,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-4gt-oc/p/N82E16814137055?Description=gtx,1455 MHz,MSI,768,"8.46"" x 4.41""",NVIDIA,Double Fans,1341 MHz,NONE,NONE,1 x DL-DVI-D,15-Mar-19,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,7008 MHz,"All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Dual Fans Thermal Design- Dual fans covers more area of heatsink to take heat away more efficiently.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.",ATX,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,215 mm,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti 4GT OC,3,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,Dual Slot,Recommended PSU: 300W,75W,No,402 (90% Positive),214.884,112.014,1455.0,1341.0,7008.0,402.0
EVGA,GTX 1050,"EVGA GeForce GTX 1050 Ti SC GAMING, 04G-P4-6253-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",679.99,5.0,,https://www.newegg.com/evga-geforce-gtx-1050-ti-04g-p4-6253-kr/p/N82E16814487291?Description=gtx,1468 MHz,EVGA,768,"5.70"" x 4.38""",NVIDIA,Single Fan,1354 MHz,NONE,NONE,1 x Dual-Link DVI-D,17-May-19,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,7010 MHz,"NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC",NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,145 mm,7680 x 4320,128-Bit,4GB,GDDR5,04G-P4-6253-KR,3,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,NONE,NONE,NONE,Dual Slot,"300W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",75W,NONE,-102,144.78,111.252,1468.0,1354.0,7010.0,102.0
MSI,GTX 1050,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,227.55,5.0,,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-4g/p/N82E16814137060?Description=gtx,OC Mode: 1430 MHzGaming Mode: 1417 MHzSilent Mode: 1392 MHz,MSI,NONE,"9.02"" x 5.16""",NVIDIA,Double Fans,OC Mode: 1316 MHzGaming Mode: 1303 MHzSilent Mode: 1290 MHz,NONE,NONE,1 x DL DVI-D,8-Apr-19,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,7008 MHz,DirectX 12 ReadyGamestream to NVIDIA SHIELD,NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,229 mm,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti GAMING 4G,3,OpenGL 4.5,NONE,NONE,NONE,6-Pin,NONE,NONE,Dual Slot,Power consumption: 75WRecommended PSU: 300W,75W,NONE,"1,139 (70% Positive)",229.108,131.064,1430.0,1316.0,7008.0,1.0
EVGA,GTX 1050,"EVGA GeForce GTX 1050 GAMING, 02G-P4-6150-KR, 2GB GDDR5, DX12 OSD Support (PXOC)",327.00,5.0,,https://www.newegg.com/evga-geforce-gtx-1050-02g-p4-6150-kr/p/N82E16814487295?Description=gtx,NONE,EVGA,640,"5.70"" x 4.38""",NVIDIA,ACX 2.0 Single Fan,1354 MHz,NONE,NONE,1 x Dual-Link DVI-D,12-Nov-19,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,7008 MHz,"NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC",NONE,GeForce GTX 1050,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,145 mm,7680 x 4320,128-Bit,2GB,GDDR5,02G-P4-6150-KR,3,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",GTX 1050 ACX Single,NONE,NONE,NONE,NONE,Dual Slot,"300W or greater power supply.Total Power Draw: 75 WattsPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",75W,NONE,-39,144.78,111.252,0.0,1354.0,7008.0,39.0
ASUS,GTX 1050,"ASUS Cerberus GeForce GTX 1050 Ti 4GB OC Edition GDDR5 Gaming Graphics Card, CERBERUS-GTX1050TI-O4G",210.48,4.0,31.0,https://www.newegg.com/asus-geforce-gtx-1050-ti-cerberus-gtx1050ti-o4g/p/N82E16814126237?Description=gtx,NONE,ASUS,768,"8.00"" x 4.50""",NVIDIA,Double Fans,OC Mode: 1366 MHzGaming Mode (Default): 1341 MHz,NONE,NONE,1 x DVI-D,13-Mar-20,NONE,1 x DisplayPort 1.4,NONE,Black,7008 MHz,"""Esports Gaming tested with major titles like League of Legends, Overwatch and PlayerUnknowns BattlegroundsStrong backplate support designed to reinforce circuit boardPlug and play design requires no PCIe power connectors for easy graphics upgradeAuto-extreme Manufacturing Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface""",NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,NONE,203 mm,7680 x 4320,128-Bit,4GB,GDDR5,CERBERUS-GTX1050TI-O4G,NONE,OpenGL 4.5,NONE,GTX 1050 Ti 4G,Accessories:1 x CD1 x Quick Guide,NONE,NONE,Cerberus,Dual Slot,NONE,75W,NONE,-13,203.2,114.3,0.0,1366.0,7008.0,13.0
EVGA,GTX 1050,"EVGA GeForce GTX 1050 Ti SSC GAMING ACX 3.0, 04G-P4-6255-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",327.49,5.0,,https://www.newegg.com/evga-geforce-gtx-1050-ti-04g-p4-6255-kr/p/N82E16814487292?Description=gtx,1480 MHz,EVGA,768,"9.00"" x 4.38""",NVIDIA,Double Fans,1366 MHz,NONE,NONE,1 x Dual-Link DVI-D,30-Jun-20,DirectX 12,1 x DisplayPort 1.4,Yes,None,7010 MHz,"NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling",NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,229 mm,7680 x 4320,128-Bit,4GB,GDDR5,04G-P4-6255-KR,3,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,NONE,NONE,NONE,Dual Slot,"300W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",75W,NONE,292 (90% Positive),228.6,111.252,1480.0,1366.0,7010.0,292.0
ASUS,GTX 1050,ASUS ROG GeForce GTX 1050 Ti STRIX-GTX1050TI-O4G-GAMING 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,454.99,5.0,,https://www.newegg.com/asus-geforce-gtx-1050-ti-strix-gtx1050ti-o4g-gaming/p/N82E16814126171?Description=gtx,OC mode: 1506 MHzGaming mode: 1493 MHz,ASUS,768,"9.49"" x 5.08""",NVIDIA,Double Fans,OC mode: 1392 MHzGaming mode: 1379 MHz,NONE,NONE,2 x Native DVI-D,3-Apr-19,NONE,1 x Native DisplayPort 1.4,NONE,NONE,7008 MHz,"ASUS GeForce GTX 1050Ti 4GB ROG STRIX OC Edition HDMI 2.0 DP 1.4 Gaming Graphics CardNew NVIDIA Pascal architecture delivers improved performance and power efficiencyClassic and modern games at 1080p @ 60 FPSFast, smooth, power-efficient gaming experiencesAura SYNC RGB lighting on the shroud delivers unique styling and personalization with six lighting effects across millions of colorsDirectCU II with Unique Wing-Blade 0db Fans deliver 30% cooler and 3X quieter performanceAuto-Extreme Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface",NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x Native HDMI 2.0,PCI Express 3.0,NONE,241 mm,7680 x 4320,128-Bit,4GB,GDDR5,STRIX-GTX1050TI-O4G-GAMING,NONE,OpenGL 4.5,NONE,NONE,Accessories:2 x Orange Color Decals2 x ROG Cable Ties,6-Pin,NONE,ROG,Dual Slot,NONE,75W,NONE,-24,241.046,129.032,1506.0,1392.0,7008.0,24.0
ZOTAC,GTX 1050,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Mini Video Card,309.49,5.0,,https://www.newegg.com/zotac-geforce-gtx-1050-ti-zt-p10510a-10l/p/N82E16814500411?Description=gtx,1417 MHz,ZOTAC,768,"5.70"" x 4.38""",NVIDIA,Single Fan,1303 MHz,NONE,NONE,1 x DL-DVI-D,22-Nov-18,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,7 GHz,"""Everyone deserves great gaming. Thats why we created the fast, powerful ZOTAC GeForce GTX 1050 Ti Mini. Now you can turn your PC into a true gaming rig, powered by NVIDIA Pascal--the most advanced GPU architecture ever created. Its loaded with innovative NVIDIA Game Ready technologies that let every gamer experience the latest titles in their full glory in super compact form.""",NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,145 mm,7680 x 4320,128-Bit,4GB,GDDR5,ZT-P10510A-10L,3,OpenGL 4.5,Windows 10 / 8 / 7,NONE,NONE,NONE,No,NONE,Dual Slot,Recommended Power Supply: 300WPower Consumption: 75W,75W,NONE,-68,144.78,111.252,1417.0,1303.0,7.0,68.0
MSI,GTX 1050,MSI 131207 GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,238.99,5.0,,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-4g-oc/p/N82E16814137056?Description=gtx,1455 MHz,MSI,768,"6.97"" x 4.65""",NVIDIA,Single Fan,1341 MHz,NONE,NONE,1 x DL-DVI-D,26-Oct-20,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,7008 MHz,"All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.",NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,177 mm,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti 4G OC,3,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,131207,Dual Slot,Power Consumption: 75WRecommended PSU: 300W,75W,No,17 (82% Positive),177.03799999999995,118.11,1455.0,1341.0,7008.0,17.0
PNY,GTX 1050,PNY GeForce GTX 1050 Ti DirectX 12 VCGGTX1050T4PB 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,298.91,,,https://www.newegg.com/pny-geforce-gtx-1050-ti-vcggtx1050t4pb/p/1FT-000P-00297?Description=gtx,1392 MHz,PNY,768,"6.53"" x 4.40""",NVIDIA,Single Fan,1290 MHz,NONE,NONE,1 x DL-DVI-D,24-Mar-19,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,7 Gbps,NVIDIA Pascal  Simultaneous Multi-Projection  NVIDIA Ansel Support  NVIDIA GameWorks  NVIDIA G-SYNC  NVIDIA GameStream  NVIDIA GPU Boost 3.0  Microsoft DirectX 12 Support  Vulkan API Support  OpenGL 4.5 Support  PCI Express 3.0  HDCP 2.2  Display Connectors - DisplayPort 1.4 - HDMI 2.0b - DL-DVI,NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,166 mm,7680 x 4320,128-Bit,4GB,GDDR5,VCGGTX1050T4PB,3,OpenGL 4.5,"Windows 7-10, Operating System (32 or 64-bit)",NONE,NONE,NONE,NONE,NONE,Dual Slot,PCI Express-compliant motherboard with one dual-width x16 graphics slot  Minimum 300W or greater system power supply  350MB of available hard-disk space  2GB system memory (4GB or higher recommended)  DVD-ROM drive and Internet connection  TDP: 71W,75W,NONE,0 reviews,165.862,111.76,1392.0,1290.0,7.0,0.0
ASUS,GTX 1050,"ASUS Cerberus GeForce GTX 1050 Ti 4GB GDDR5 Gaming Graphics Card, CERBERUS-GTX1050TI-A4G",350.99,,,https://www.newegg.com/asus-geforce-gtx-1050-ti-cerberus-gtx1050ti-o4g/p/1FT-000Y-00277?Description=gtx,NONE,ASUS,768,"8.00"" x 4.50""",NVIDIA,Double Fans,OC Mode: 1366 MHzGaming Mode (Default): 1341 MHz,NONE,NONE,1 x DVI-D,12-Mar-19,NONE,1 x DisplayPort 1.4,NONE,Black,7008 MHz,"""Esports Gaming tested with major titles like League of Legends, Overwatch and PlayerUnknowns BattlegroundsStrong backplate support designed to reinforce circuit boardPlug and play design requires no PCIe power connectors for easy graphics upgradeAuto-extreme Manufacturing Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface""",NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,NONE,203 mm,7680 x 4320,128-Bit,4GB,GDDR5,CERBERUS-GTX1050TI-O4G,NONE,OpenGL 4.5,NONE,GTX 1050 Ti D5 4G,Accessories:1 x CD1 x Quick Guide,NONE,NONE,Cerberus,Dual Slot,NONE,75W,NONE,17 (82% Positive),203.2,114.3,0.0,1366.0,7008.0,17.0
EVGA,GTX 1050,EVGA GeForce GTX 1050 Ti SC 4GB GDDR5 04G-P4-6253-KR Video Graphic Card GPU,199.00,,,https://www.newegg.com/evga-geforce-gtx-1050-ti/p/1FT-001K-00728?Description=gtx,NONE,EVGA,NONE,NONE,NVIDIA,Single Fan,NONE,NONE,NONE,1 x DVI,20-Aug-20,NONE,1 x DisplayPort,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI,PCI Express 3.0 x16,No,NONE,NONE,NONE,4GB,GDDR5,GTX 1050 Ti,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,75W,NONE,0 reviews,0.0,0.0,0.0,0.0,0.0,0.0
MSI,GTX 1050,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,219.99,,,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-x-4g/p/1FT-0009-001D8?Description=gtx,1493 MHz (OC) 1468 MHz (Gaming) 1392 MHz (Silent),MSI,768,"9.02"" x 5.16""",NVIDIA,NONE,1379 MHz (OC) 1354 MHz (Gaming) 1290 MHz (Silent),NONE,NONE,1 x DL-DVI-D,28-Mar-20,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,7108 MHz (OC) 7008 MHz (Gaming / Silent),NONE,ATX,GeForce GTX 1050 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,229 mm,7680 x 4320,128-Bit,4GB,GDDR5,GTX 1050 Ti GAMING X 4G,3,OpenGL 4.5,NONE,NONE,NONE,6-Pin,NONE,NONE,Dual Slot,Power Consumption: 75W Recommended PSU: 300W,75W,No,0 reviews,229.108,131.064,1493.0,1379.0,7108.0,0.0
