brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
ASUS,GTX 1060,ASUS Expedition GeForce GTX 1060 EX-GTX1060-O6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,249.99,4.0,45.0,https://www.newegg.com/asus-geforce-gtx-1060-ex-gtx1060-o6g/p/N82E16814126301?Description=gtx,OC Mode: 1809 MHzGaming Mode (Default): 1785 MHz,ASUS,1280,"9.45"" x 5.16""",NVIDIA,Double Fans,OC Mode: 1594 MHzGaming Mode (Default): 1569 MHz,1 x DVI-D,7-Oct-20,NONE,2 x DisplayPort 1.4,NONE,NONE,8008 MHz,"1809 MHz Boost Clock in OC mode for brilliant eSports gaming.Dual-Ball Bearing Fan runs smoother by reducing friction, further improving 2X longer card lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.144-Hour Test Passed and Top Games Tested for best compatibility.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,240 mm,7680 x 4320,192-Bit,6GB,GDDR5,EX-GTX1060-O6G,4,OpenGL 4.5,NONE,NONE,Accessories:1 x CD1 x Quick Guide,6-Pin,No,Expedition,Dual Slot,Recommended PSU: 500W,120W,Yes,0 reviews,240.03,131.064,1809.0,1594.0,8008.0,0.0
EVGA,GTX 1060,"EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 06G-P4-6161-KR, 6GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches",279.99,4.0,,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6161-kr/p/N82E16814487260?Description=gtx,1708 MHz,EVGA,1280,"6.80"" x 4.38""",NVIDIA,Single Fan,1506 MHz,1 x Dual-Link DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Simultaneous Multi-Projection VR Ready NVIDIA Ansel NVIDIA G-SYNC NVIDIA GameStream NVIDIA GPU Boost 3.0 Microsoft DirectX 12 Vulkan API OpenGL 4.5 Support PCI Express 3.0 Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI Built for EVGA Precision XOC",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,173 mm,7680 x 4320,192-Bit,6GB,GDDR5,06G-P4-6161-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,NONE,6-Pin,No,NONE,Dual Slot,"400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",120W,Yes,292 (90% Positive),172.72,111.252,1708.0,1506.0,8008.0,292.0
EVGA,GTX 1060,"EVGA GeForce GTX 1060 06G-P4-6267-RX 6GB SSC GAMING ACX 3.0, 6GB GDDR5, LED, DX12 OSD Support (PXOC) Graphics Card",340.00,4.0,,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6267-rx/p/N82E16814487330?Description=gtx,1835 MHz,EVGA,1280,"10.50"" x 4.38""",NVIDIA,Double Fans,1607 MHz,1 x Dual-Link DVI-D,21-May-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,267 mm,7680 x 4320,192-Bit,6GB,GDDR5,06G-P4-6267-RX,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,8-Pin,NONE,NONE,Dual Slot,"400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",120W,Yes,-11,266.7,111.252,1835.0,1607.0,8008.0,11.0
EVGA,GTX 1060,"EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 03G-P4-6160-KR, 3GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 Inches",340.00,4.0,,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6160-kr/p/N82E16814487263?Description=gtx,NONE,EVGA,1152,"6.80"" x 4.38""",NVIDIA,ACX 2.0 Single Fan,1506 MHz,1 x Dual-Link DVI-D,18-Jun-19,DirectX 12,3 x DisplayPort 1.4,Yes,None,8008 MHz,"NVIDIA GameStream TechnologyNVIDIA GSYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,173 mm,7680 x 4320,192-Bit,3GB,GDDR5,03G-P4-6160-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",GTX 1060 ACX 2.0 Single,NONE,6-Pin,No,NONE,Dual Slot,Minimum of a 400W power supplyAn available 6-pin PCI-E power connectorTotal Power Draw: 120 Watts,120W,Yes,-76,172.72,111.252,0.0,1506.0,8008.0,76.0
GIGABYTE,GTX 1060,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060G1 GAMING-6GD REV 2.0 6GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,427.99,5.0,,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060g1-gaming-6gd-rev-2-0/p/N82E16814125881?Description=gtx,OC Mode: 1847 MHzGaming Mode: 1809 MHz,GIGABYTE,1280,"10.94"" x 4.49""",NVIDIA,WINDFORCE 2X,OC Mode: 1620 MHzGaming Mode: 1594 MHz,1 x Dual-link DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,Powered by GeForce GTX 1060Integrated with 6GB GDDR5 192-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60Hz16.8M Customizable Color RGB Lighting,ATX,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,278 mm,7680 x 4320,192-Bit,6GB,GDDR5,GV-N1060G1 GAMING-6GD REV 2.0,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,System PSU Limitation\t: 400WGPU (TDP): 120W (Real)Total Graphics Power (TGP): 155W (Real),120W,Yes,292 (90% Positive),277.876,114.046,1847.0,1620.0,8008.0,292.0
GIGABYTE,GTX 1060,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD 3GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,369.99,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060wf2oc-3gd/p/N82E16814125906?Description=gtx,1797 MHz in OC Mode1771 MHz in Gaming Mode,GIGABYTE,1152,"8.78"" x 4.76""",NVIDIA,WINDFORCE 2X,1582 MHz in OC Mode1556 MHz in Gaming Mode,2 x Dual-link DVI-D,22-Oct-20,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,8008 MHz,Powered by GeForce GTX 1060Integrated with 3GB GDDR5 192-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60HzBuilt with 4+1 power phases,ATX,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,223 mm,7680 x 4320,192-Bit,3GB,GDDR5,GV-N1060WF2OC-3GD,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin,NONE,NONE,Dual Slot,Recommended PSU: 400W,120W,Yes,292 (90% Positive),223.012,120.904,1797.0,1582.0,8008.0,292.0
ZOTAC,GTX 1060,"ZOTAC GeForce GTX 1060 Mini, ZT-P10610A-10L, 3GB GDDR5 Super Compact",329.00,4.0,4.95,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10610a-10l/p/N82E16814500405?Description=gtx,1708 MHz,ZOTAC,1152,"6.85"" x 4.38""",NVIDIA,Single Fan,1506 MHz,1 x DL-DVI,10-Jul-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GHz,"The ZOTAC GeForce GTX 1060 graphics card is loaded with innovative new gaming technologies, making it the perfect choice for the latest high-definition games. Powered by NVIDIA Pascal - the most advanced GPU architecture ever created - the ZOTAC GeForce GTX 1060 delivers brilliant performance that opens the door to virtual reality and beyond.FEATURES- Simultaneous Multi-Projection- VR Ready- NVIDIA Ansel- NVIDIA GPU BOOST 3.0- NVIDIA G-Sync- NVIDIA GameStream- Vulkan API",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,174 mm,NONE,192-Bit,3GB,GDDR5,ZT-P10610A-10L,4,OpenGL 4.5,Windows 10 / 8 / 7,NONE,Accessories:User Manual,6-Pin,No,NONE,Dual Slot,Recommended Power Supply: 400WPower Consumption: 120W,120W,Yes,-34,173.99,111.252,1708.0,1506.0,8.0,34.0
EVGA,GTX 1060,"EVGA GeForce GTX 1060 SC GAMING, ACX 2.0 (Single Fan), 03G-P4-6162-KR, 3GB GDDR5, DX12 OSD Support (PXOC)",340.00,5.0,,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6162-kr/p/N82E16814487267?Description=gtx,1835 MHz,EVGA,1152,"6.80"" x 4.38""",NVIDIA,ACX 2.0 Single Fan,1607 MHz,1 x Dual-Link DVI-D,18-Jun-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"NVIDIA GameStream TechnologyOpenGL 4.6 SupportVR ReadyNVIDIA GPU Boost 3.0Vulkan APIMax Digital Resolution - 7680x4320Built for EVGA Precision XOCNVIDIA G-SYNC ReadySimultaneous Multi-ProjectionNVIDIA AnselMicrosoft DirectX 12 APIPCI Express 3.0HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,173 mm,7680 x 4320,192-Bit,3GB,GDDR5,03G-P4-6162-KR,4,OpenGL 4.6,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,6-Pin,No,NONE,Dual Slot,Minimum of a 400 Watts power supplyAn available 6-pin PCI-E power connectorTotal Power Draw: 120 Watts,120W,Yes,-89,172.72,111.252,1835.0,1607.0,8008.0,89.0
ASUS,GTX 1060,ASUS Dual GeForce GTX 1060 DirectX 12 DUAL-GTX1060-O3G 3GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,652.99,4.0,,https://www.newegg.com/asus-geforce-gtx-1060-dual-gtx1060-o3g/p/N82E16814126133?Description=gtx,"OC mode: 1809 MHzGaming Mode (Default): 1785 MHz*Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II",ASUS,1152,"9.53"" x 5.12""",NVIDIA,Double Fans,OC mode: 1594 MHzGaming Mode (Default): 1569 MHz,1 x Native DVI-D,11-Feb-19,DirectX 12,2 x Native DisplayPort 1.4,NONE,NONE,8008 MHz,"ASUS Dual series of GeForce GTX 1060 graphics provide sweet spot performance- 1809 MHz Boost Clock in OC mode for outstanding performance and gaming experience.- Unique Wing-Blade Fans for max air flow with 105% more air pressure.- Perfectly Matched with ASUS X99 A II motherboards for optimized style and performance.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- VR-Friendly HDMI Ports for immersive virtual reality experiences.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.",NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,2.2,2 x Native HDMI 2.0b,PCI Express 3.0,242 mm,7680 x 4320,192-Bit,3GB,GDDR5,DUAL-GTX1060-O3G,NONE,OpenGL 4.5,NONE,NONE,Accessories:1 x CD1 x Quick Guide,6-Pin,NONE,Dual,2.1 slots,NONE,120W,Yes,-73,242.062,130.048,1809.0,1594.0,8008.0,73.0
ZOTAC,GTX 1060,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M 6GB 192-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,489.00,4.0,,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10620a-10m/p/N82E16814500454?Description=gtx,1708 MHz,ZOTAC,1280,"8.31"" x 4.92""",NVIDIA,Double Fans,1506 MHz,1 x DL-DVI-D,9-Sep-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 GHz,IceStormSimultaneous Multi-Projection4K / VR ReadyNVIDIA AnselNVIDIA G-SyncNVIDIA GameStreamSuper Compact,NONE,GeForce GTX 1060,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,211 mm,NONE,192-Bit,6GB,GDDR5X,ZT-P10620A-10M,4,OpenGL 4.5,Windows 10 / 7 64-bit,NONE,ZOTAC GeForce GTX 1060 6GB GDDR5X1 x Dual 6-pin to 8-pin power cableUser Manual,8-Pin,No,NONE,Dual Slot,Recommended Power Supply: 500W,120W,Yes,-101,211.074,124.968,1708.0,1506.0,8.0,101.0
