brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
GIGABYTE,GTX 1070,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070G1 GAMING-8GD R2 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card,625.0,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1070-gv-n1070g1-gaming-8gd-r2/p/N82E16814125871?Description=gtx,1822 MHz in OC Mode1784 MHz in Gaming Mode,GIGABYTE,1920,"11.02"" x 4.49""",NVIDIA,WINDFORCE 3X,1620 MHz in OC Mode1594 MHz in Gaming Mode,1 x Dual-link DVI-D,19-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,Powered by GeForce GTX 1070Integrated with 8GB GDDR5 256-bit memoryWINDFORCE 3X with Blade Fan DesignSupport up to 8K display @60Hz16.7M Customizable Color RGB Lighting,ATX,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,280 mm,7680 x 4320,256-Bit,8GB,GDDR5,GV-N1070G1 GAMING-8GD R2,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-Way SLI,NONE,Dual Slot,Recommended PSU: 500W,150W,Yes,-307,279.908,114.046,1822.0,1620.0,8008.0,307.0
MSI,GTX 1070,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti DUKE 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,399.99,5.0,,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-duke-8g/p/N82E16814137258?Description=gtx,1683 MHz,MSI,2432,"12.28"" x 5.51""",NVIDIA,Triple Fans,1607 MHz,1 x DL-DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Triple Force Architecture:- TriFrozr Thermal Design: Triple PWM fans with Independent Control System on Advanced Thermal Design.- Propeller Blade: 20% more airflow and less noise than traditional fan designs.- SuperPipes: Transfer heat much faster to the heat sink under PWM fans, and highly improve dissipation efficiency.- Zero Frozr: Fans stop spinning in low load to keep the card quiet and increase lifetime.Afterburner Overclocking Utility:- Wireless control through mobile devices.- Predator: In-game video recording.- Supports multi-GPU setups.Military Class certified Components:- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.",NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,312 mm,NONE,256-Bit,8GB,GDDR5,GTX 1070 Ti DUKE 8G,4,OpenGL 4.5,NONE,NONE,NONE,"1 x 6-pin, 1 x 8-pin",2-Way SLI,NONE,Dual Slot,Power Consumption: 180W Recommended PSU: 500W,180W,Yes,292 (90% Positive),311.9120000000001,139.954,1683.0,1607.0,8008.0,292.0
MSI,GTX 1070,MSI GeForce GTX 1070 DirectX 12 GTX 1070 AERO 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,269.99,4.0,,https://www.newegg.com/msi-geforce-gtx-1070-gtx-1070-aero-8g-oc/p/N82E16814127948?Description=gtx,1721 MHz,MSI,1920,"10.59"" x 4.37""",NVIDIA,Single Fan,1531 MHz,1 x DL-DVI-D,22-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"""All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOSdevices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.- Supports multi-GPU setups.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.GeForce GTX VR Ready- NVIDIAs unique set of features ensure you get the right level of performance, image quality and latency to ensure your VR experience is nothing short of amazing.""",ATX,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,269 mm,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 AERO 8G OC,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-Way SLI,NONE,Dual Slot,Power consumption: 150WRecommended PSU: 500W,150W,Yes,292 (90% Positive),268.986,110.998,1721.0,1531.0,8008.0,292.0
MSI,GTX 1070,MSI GeForce GTX 1070 DirectX 12 GTX 1070 GAMING X 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,639.0,5.0,,https://www.newegg.com/msi-geforce-gtx-1070-gtx-1070-gaming-x-8g/p/N82E16814127947?Description=gtx,1797 MHz (OC Mode)1771 MHz (Gaming Mode)1683 MHz (Silent Mode),MSI,1920,"10.98"" x 5.51""",NVIDIA,Double Fans,1607 MHz (OC Mode)1582 MHz (Gaming Mode)1506 MHz (Silent Mode),1 x DL-DVI-D,28-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8108 MHz (OC Mode)8008 MHz (Gaming Mode)8008 MHz (Silent Mode),"The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipesSquared shape at bottommaximize heat transfer from the copper base plate- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment- Airflow Control technologyDeflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan bladeSteeper curved blade accelerating the airflow- Traditional fan bladeProvides steady airflow to massive heatsink below- Double ball bearingStrong and lasting core for years of smooth gamingGaming App- Instant Performance GainUnlock extra performance or keep your card silent during light use in one click- LED controlFull control on your RGB GAMING LEDs to set the mood- Mobile APPControl your graphics card from your phone",ATX,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,279 mm,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 GAMING X 8G,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin / 8-Pin,2-Way SLI,NONE,Dual Slot,Power consumption: 150WRecommended PSU: 500W,150W,Yes,-300,278.892,139.954,1797.0,1607.0,8108.0,300.0
ASUS,GTX 1070,ASUS ROG GeForce GTX 1070 STRIX-GTX1070-O8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card with RGB Lighting,609.99,4.0,,https://www.newegg.com/asus-geforce-gtx-1070-strix-gtx1070-o8g-gaming/p/N82E16814126109?Description=gtx,"1860 MHz - OC Mode1835 MHz - Gaming Mode (Default)*Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II",ASUS,1920,"11.73"" x 5.28""",NVIDIA,Triple Fans,"1657 MHz - OC Mode1632 MHz - Gaming Mode (Default)*Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II",1 x DVI-D,22-Oct-20,NONE,2 x DisplayPort 1.4,NONE,NONE,8008 MHz,"ASUS ROG Strix GeForce GTX 1070 provides immersive VR gaming experiences- 1860 MHz engine clock for outstanding performance and gaming experience.- DirectCU III with Patented Wing-Blade Fans for 30% cooler and 3X quieter performance.- ASUS FanConnect features 4-pin GPU-controlled headers connected to system fans for optimal thermal performance.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- Aura RGB Lighting to express personalized gaming style.- VR-friendly HDMI ports for immersive virtual reality experiences.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,298 mm,7680 x 4320,256-Bit,8GB,GDDR5,STRIX-GTX1070-O8G-GAMING,NONE,OpenGL 4.5,NONE,NONE,Accessories:2 x ROG Cable Ties,8-Pin,NONE,ROG,Dual Slot,NONE,150W,Yes,291 (90% Positive),297.942,134.112,1860.0,1657.0,8008.0,291.0
ASUS,GTX 1070,ASUS ROG GeForce GTX 1070 Ti ROG-STRIX-GTX1070TI-A8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,449.99,4.0,,https://www.newegg.com/asus-geforce-gtx-1070-ti-rog-strix-gtx1070ti-a8g-gaming/p/N82E16814126225?Description=gtx,OC Mode: 1759 MHz Gaming Mode (Default): 1683 MHz,ASUS,2432,"11.73"" x 5.28""",NVIDIA,Triple Fans,OC Mode: 1683 MHzGaming Mode (Default): 1607 MHz,1 x DVI-D,26-Oct-20,NONE,2 x DisplayPort,NONE,NONE,8008 MHz,MaxContact Technology that is 2X more contact with GPU for improved thermal transfer.Unique Wing-Blade IP5X-Certified Fans for maximum airflow and longer fan lifespan.ASUS FanConnect II equips with hybrid controlled fan headers for optimal system cooling.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.ASUS Aura Sync RGB LED synchronization enables a gaming system personalization.VR-friendly HDMI ports let you enjoy VR experiences anytime without having to swap cables.GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.,NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,298 mm,7680 x 4320,256-Bit,8GB,GDDR5,ROG-STRIX-GTX1070TI-A8G-GAMING,NONE,OpenGL 4.5,NONE,NONE,Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop,8-Pin,SLI Ready,ROG,2.5-slot,NONE,180W,Yes,292 (90% Positive),297.942,134.112,1759.0,1683.0,8008.0,292.0
MSI,GTX 1070,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 TI ARMOR 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,399.99,,45.0,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-armor-8g/p/N82E16814137399?Description=gtx,1683 MHz,MSI,2432,"10.98"" x 5.51""",NVIDIA,Double Fans,1607 MHz,1 x DL-DVI-D,22-Dec-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Armor 2X Thermal Design:TORX Fan- Dispersion fan blade Steep curved blade accelerating the airflow.- Traditional fan blade Provides steady airflow to massive heat sink below.Zero Frozr- Stopping the fan in low-load situations, keeping a noise-free environment.Advanced Airflow Control technology- Improves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking Utility:Wireless control through Android/ios devices.Predator: In-game video recording.Supports multi-GPU setups.Military Class certified Components:Certified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,279 mm,NONE,256-Bit,8GB,GDDR5,GTX 1070 TI ARMOR 8G,4,OpenGL 4.5,NONE,NONE,NONE,"1 x 6-pin, 1 x 8-pin",2-Way SLI,NONE,Dual Slot,POWER CONSUMPTION: 180WRECOMMENDED PSU: 500W,180W,Yes,0 reviews,278.892,139.954,1683.0,1607.0,8008.0,0.0
MSI,GTX 1070,MSI GTX 1070 Ti Gaming 8GB GDDR5 Graphics Card (GTX 1070 TI GAMING 8G),399.99,,,https://www.newegg.com/p/1FT-0009-001H4?Description=gtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,22-Oct-20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1070 Ti,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,8GB,GDDR5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,180W,NONE,0 reviews,0.0,0.0,0.0,0.0,0.0,0.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition, 08G-P4-5173-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)",620.0,4.0,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-5173-kr/p/N82E16814487265?Description=gtx,1784 MHz,EVGA,1920,"10.50"" x 4.38""",NVIDIA,Double Fans,1594 MHz,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,Black,8008 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5173-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,8-Pin,SLI Ready,NONE,Dual Slot,"500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",150W,Yes,-182,266.7,111.252,1784.0,1594.0,8008.0,182.0
ASUS,GTX 1070,ASUS GTX 1070 8GB Dual OC Video Card DUAL-GTX1070-O8G Nvidia GPU Graphics Card,318.99,5.0,,https://www.newegg.com/asus-dual-gtx1070-o8g/p/1FT-000Y-001A6?Description=gtx,NONE,ASUS,NONE,NONE,NVIDIA,Double Fans,NONE,NONE,4-Sep-19,NONE,NONE,NONE,Air Cooler,NONE,NONE,NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,NONE,PCI Express 3.0 x16,NONE,NONE,NONE,NONE,8GB,NONE,DUAL-GTX1070-O8G,NONE,NONE,NONE,DUAL-GTX1070-O8G,NONE,NONE,NONE,Dual,NONE,NONE,150W,NONE,-1,0.0,0.0,0.0,0.0,0.0,1.0
