brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,TV-Out ,Thermal Design Power ,Tuner ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
EVGA,GTX 780,EVGA SuperClocked GeForce GTX 780 DirectX 11.1 03G-P4-2785-RX 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,299.0,,,https://www.newegg.com/evga-geforce-gtx-780-03g-p4-2785-rx/p/N82E16814487107?Description=gtx,Yes,993 MHz,EVGA,2304,"10.5"" x 4.4""",NVIDIA,Single Fan,941 MHz,1 x DVI-I1 x DVI-D,6/18/2020,DirectX 11.1,1 x DisplayPort,Yes,6008 MHz,"NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport for four concurrent displays;two dual-link DVI connectors, HDMI and Displayport 1.2Microsoft DirectX 11.1 API(feature level 11 0) with Direct Compute 5.0 supportNVIDIA 3D Vision-ReadyNVIDIA SLI-ReadyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.3 SupportOpenCL SupportNVIDIA SHIELD-Ready",GeForce GTX 780,NVIDIA GeForce GTX 700 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,384-Bit,3GB,GDDR5,03G-P4-2785-RX,OpenGL 4.3,NONE,NONE,NONE,SLI Ready,SuperClocked,NONE,600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.,NONE,250W,NONE,0 reviews,266.7,111.76,993,941,6008.0,0.0
PNY,GTX 780,PNY VCGGTX7803XPB G-SYNC Support GeForce GTX 780 3GB 384-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,495.0,5.0,13.5,https://www.newegg.com/pny-geforce-gtx-780-vcggtx7803xpb/p/N82E16814133489?Description=gtx,Yes,902 MHz,PNY,2304,"10.5"" x 4.38""",NVIDIA,Single Fan,863 MHz,1 x DVI-I 1 x DVI-D,1/29/2020,NONE,1 x DisplayPort,Yes,6008 MHz,NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround™NVIDIA TXAATechnologyNVIDIA FXAATechnologySupport for four concurrent displays including:-Twodual-link DVI-HDMI 1.4b- DisplayPort 1.2Microsoft DirectX 11.1 (feature 11_0)NVIDIA PhysX technologyNVIDIA 3D Vision-Ready3-way NVIDIA SLI-ReadyNVIDIA CUDA technologyNVIDIA Shield-ReadyPCI Express 3.0 supportOpenGL4.3 supportOpenCL support,GeForce GTX 780,NVIDIA GeForce GTX 700 Series,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,384-Bit,3GB,GDDR5,VCGGTX7803XPB,OpenGL 4.3,NONE,NONE,NONE,3-Way SLI,NONE,Dual Slot,250W-Active,NONE,250W,NONE,-21,266.7,111.252,902,863,6008.0,21.0
PNY,GTX 780,PNY VCGGTX780T3XPB-OC G-SYNC Support GeForce GTX 780 Ti 3GB 384-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,395.0,5.0,13.5,https://www.newegg.com/pny-geforce-gtx-780-ti-vcggtx780t3xpb-oc/p/N82E16814133526?Description=gtx,Yes,1046 MHz,PNY,2880,"11.3"" x  4.4""",NVIDIA,Triple Fans,980 MHz,1 x DVI-D1 x DVI-I,12/10/2019,DirectX 11.2,1 x DisplayPort,Yes,7000MHz,NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA SurroundNVIDIA TXAA TechnologyNVIDIA FXAA TechnologySupport for four concurrent displays including:- Two dual-link DVI- HDMI 1.4b- DisplayPort 1.2 Microsoft DirectX 11.2 (feature 11_0)NVIDIA PhysX technologyNVIDIA 3D Vision-ReadyNVIDIA SLI-Ready technologyNVIDIA CUDA technologyPCI Express 3.0 supportOpenGL 4.4 supportOpenCL supportNVIDIA Shield -ReadyNVIDIA G-Sync -Ready,GeForce GTX 780 Ti,NVIDIA GeForce GTX 700 Series,NONE,1 x HDMI,PCI Express 3.0 x16,4096 x 2160,384-Bit,3GB,GDDR5,VCGGTX780T3XPB-OC,OpenGL 4.4,NONE,NONE,400MHz,SLI Ready,NONE,Dual Slot,Minimum 600W or greater system power supply (with a minimum 12V current rating of 42A),NONE,250W,NONE,-12,287.02,111.76,1046,980,7000.0,12.0
EVGA,GTX 780,EVGA 03G-P4-2883-KR G-SYNC Support GeForce GTX 780 Ti Superclocked 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,410.0,5.0,,https://www.newegg.com/evga-geforce-gtx-780-ti-superclocked-03g-p4-2883-kr/p/N82E16814487001?Description=gtx,Yes,1046MHz,EVGA,2880,"10.5"" x 4.38""",NVIDIA,Single Fan,980MHz,1 x DVI-D1 x DVI-I,11/19/2019,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,7000MHz,"NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport for four concurrent displays; two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision-ReadyNVIDIA SLI-Ready TechnologyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportNVIDIA SHIELD-ReadyNVIDIA G-Sync-Ready",GeForce GTX 780 Ti Superclocked,NVIDIA GeForce GTX 700 Series,NONE,1 x HDMI,PCI Express 3.0,4096 x 2160,384-Bit,3GB,GDDR5,03G-P4-2883-KR,OpenGL 4.4,EVGA GeForce GTX 780 Ti Superclocked Video CardEVGA Driver/Software Disc1 x DVI to VGA Adapter (For DVI-I)1 x 6 pin PCI-E Power Adapter 1 x 8 pin PCI-E Power AdapterEVGA Accessory PackUser Guide,NONE,400MHz,SLI Ready,NONE,Dual Slot,600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.,NONE,250W,NONE,-71,266.7,111.252,1046,980,7000.0,71.0
EVGA,GTX 780,EVGA 03G-P4-2881-KR G-SYNC Support GeForce GTX 780 Ti 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,429.0,5.0,,https://www.newegg.com/evga-geforce-gtx-780-ti-03g-p4-2881-kr/p/N82E16814487002?Description=gtx,Yes,928MHz,EVGA,2880,"10.5"" x 4.38""",NVIDIA,Single Fan,876MHz,1 x DVI-D1 x DVI-I,1/21/2020,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,7000MHz,"NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport for four concurrent displays; two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision-ReadyNVIDIA SLI-Ready TechnologyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportNVIDIA SHIELD-ReadyNVIDIA G-Sync-Ready",GeForce GTX 780 Ti,NVIDIA GeForce GTX 700 Series,NONE,1 x HDMI,PCI Express 3.0,4096 x 2160,384-Bit,3GB,GDDR5,03G-P4-2881-KR,OpenGL 4.4,EVGA GeForce GTX 780 Ti Video CardEVGA Driver/Software Disc1 x DVI to VGA Adapter (For DVI-I)1 x 6 pin PCI-E Power Adapter 1 x 8 pin PCI-E Power AdapterEVGA Accessory PackUser Guide,NONE,400MHz,SLI Ready,NONE,Dual Slot,500 watt or greater power supply with a minimum of 42 amps on the +12 volt rail,NONE,250W,NONE,-33,266.7,111.252,928,876,7000.0,33.0
EVGA,GTX 780,EVGA 03G-P4-2884-KR G-SYNC Support GeForce GTX 780 Ti Superclocked 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support w/EVGA ACX Cooler Video Card,410.0,5.0,,https://www.newegg.com/evga-geforce-gtx-780-ti-superclocked-03g-p4-2884-kr/p/N82E16814487003?Description=gtx,Yes,1072MHz,EVGA,2880,"10.5"" x 4.4""",NVIDIA,EVGA ACX Cooler,1006 MHz,1 x DVI-I1 x DVI-D,3/12/2019,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,7000MHz,"NVIDIA TXAA Technology NVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical Sync NVIDIA SurroundSupport for four concurrent displays; two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision-ReadyNVIDIA SLI-Ready TechnologyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.4 SupportOpenCL SupportNVIDIA SHIELD-ReadyNVIDIA G-Sync-Ready",GeForce GTX 780 Ti Superclocked,NVIDIA GeForce GTX 700 Series,NONE,1 x HDMI,PCI Express 3.0,4096 x 2160,384-Bit,3GB,GDDR5,03G-P4-2884-KR,OpenGL 4.4,EVGA 03G-P4-2884-KR Video CardEVGA Driver/Software Disc1 x DVI to VGA Adapter (For DVI-I)1 x 6 pin PCI-E Power Adapter 1 x 8 pin PCI-E Power AdapterEVGA Accessory PackUser Guide,NONE,400MHz,SLI Ready,NONE,Dual Slot,600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.One 8-pin PCI Express power connector or two available 6-pin PCI Express power connectors and one 6-pin PCI Express power connector or two available hard disk power connectors.,NONE,250W,NONE,-119,266.7,111.76,1072,1006,7000.0,119.0
EVGA,GTX 780,EVGA 03G-P4-2888-KR G-SYNC Support GeForce GTX 780 Ti Dual Classified w/ EVGA ACX Cooler 3GB 384-bit GDDR5 PCI Express 3.0 SLI Support Video Card,479.0,5.0,,https://www.newegg.com/evga-geforce-gtx-780-ti-03g-p4-2888-kr/p/N82E16814487007?Description=gtx,Yes,1085MHz,EVGA,2880,"11"" x 5.9""",NVIDIA,EVGA ACX Cooler,1020MHz,1 x DVI-D1 x DVI-I,3/7/2019,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,7000MHz,"NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport for four concurrent displays; two dual-link DVI connectors, HDMI and DisplayPort 1.2NVIDIA 3D Vision-ReadyNVIDIA SLI-Ready TechnologyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.4 SupportOpenCL SupportNVIDIA SHIELD-ReadyNVIDIA G-Sync-Ready",GeForce GTX 780 Ti,NVIDIA GeForce GTX 700 Series,NONE,1 x HDMI,PCI Express 3.0,4096 x 2160,384-Bit,3GB,GDDR5,03G-P4-2888-KR,OpenGL 4.4,EVGA 03G-P4-2888-KR Video CardEVGA Driver/Software Disc1 x DVI to VGA Adapter (For DVI-I)2 x 8 pin PCI-E Power Adapter EVGA Accessory PackUser Guide,NONE,400MHz,SLI Ready,NONE,Dual Slot,600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.Two 8-pin PCI Express power connectors or four available 6-pin PCI Express power.,NONE,250W,NONE,-61,279.4,149.86,1085,1020,7000.0,61.0
ASUS,GTX 780,ASUS GeForce GTX 780 DirectX 11.1 GTX780-DC2OC-3GD5 3GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,199.99,5.0,,https://www.newegg.com/asus-geforce-gtx-780-gtx780-dc2oc-3gd5/p/N82E16814121870?Description=gtx,Yes,941MHz,ASUS,2304,"11.3"" x 5.8""",NVIDIA,Double Fans,889MHz,2 x DVI,5/5/2019,DirectX 11.1,1 x DisplayPort,Yes,6008 MHz,"DirectCU II achieves 30% lower temps with 220% the dissipation area, plus 3X quieter running than referenceExclusive CoolTech Fan drives wider airflow to keep critical components coolDIGI+ VRM with 10-phase Super Alloy Power delivers precise digital power for superior efficiency, reliability, and performanceGPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface",GeForce GTX 780,NVIDIA GeForce GTX 700 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,384-Bit,3GB,GDDR5,GTX780-DC2OC-3GD5,OpenGL 4.3,NONE,6-Pin / 8-Pin,NONE,SLI Ready,NONE,Dual Slot,up to 300W Power Consumption,NONE,250W,None,29 (90% Positive),287.02,147.32,941,889,6008.0,29.0
GIGABYTE,GTX 780,GIGABYTE GeForce GTX 780 Ti GV-N78TOC-3GD 3GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,395.0,,13.5,https://www.newegg.com/gigabyte-geforce-gtx-780-ti-gv-n78toc-3gd/p/N82E16814125714?Description=gtx,NONE,1085MHz,GIGABYTE,2880,NONE,NVIDIA,WINDFORCE 3X,1020MHz,1 x DVI-I1 x DVI-D,10/8/2019,NONE,1 x DisplayPort,NONE,7000MHz,NONE,GeForce GTX 780 Ti,NVIDIA GeForce GTX 700 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,384-Bit,3GB,GDDR5,GV-N78TOC-3GD,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,250W,NONE,0 reviews,0.0,0.0,1085,1020,7000.0,0.0
EVGA,GTX 780,EVGA 03G-P4-2781-KR G-SYNC Support GeForce GTX 780 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,355.0,5.0,,https://www.newegg.com/evga-geforce-gtx-780-03g-p4-2781-kr/p/N82E16814130916?Description=gtx,Yes,902MHz,EVGA,2304,"10.5"" x 4.4""",NVIDIA,Single Fan,863MHz,1 x DVI-I1 x DVI-D,1/16/2019,DirectX 12 (feature level 11_0),1 x DisplayPort,Yes,6008 MHz,"NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport (or four concurrent displays; two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision ReadyNVIDIA SLI ReadyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.3 SupportOpenCL SupportNVIDIA SHIELD Ready",GeForce GTX 780,NVIDIA GeForce GTX 700 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,384-Bit,3GB,GDDR5,03G-P4-2781-KR,OpenGL 4.3,EVGA GTX 780 Video CardEVGA Driver/Software Disc 1 x DVI to VGA Adapter (For DVI-I) 1 x 6 pin PCI-E Power Adapter 1 x 8 pin PCI-E Power Adapter EVGA Accessory Pack User Guide,NONE,NONE,SLI Ready,NONE,NONE,600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.,NONE,250W,NONE,29 (90% Positive),266.7,111.76,902,863,6008.0,29.0
