brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
ASUS,GTX 960,ASUS GeForce GTX 960 STRIX-GTX960-DC2OC-4GD5 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,129.99,5.0,45.0,https://www.newegg.com/asus-geforce-gtx-960-strix-gtx960-dc2oc-4gd5/p/N82E16814121928?Description=gtx,Yes,OC Mode - 1317MHzGaming Mode (Default) - 1291MHz,ASUS,1024,"8.47"" x 4.77""",NVIDIA,Double Fans,OC Mode - 1253MHzGaming Mode (Default) - 1228MHz,1 x DVI-I,10/7/2020,NONE,3 x DisplayPort,NONE,7010MHz (GDDR5),"ASUS Strix GeForce GTX 960 with factory-overclocked core delivers cool and silent gaming experiences1291MHz factory-overclocked GPU1317MHz GPU boost clock in OC modeDirectCU with 0dB fan technology lets you enjoy light games in complete silence, and hardcore gaming 30% cooler with 3X-quieter performance!Premium alloys in power delivery components defeat heat for cards that run 15% faster and last 2.5 times longer than reference.GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface.GPU Tweak with XSplit Gamecaster: Real-time and intuitive GPU clock boost, and live-stream your gameplay instantly",NONE,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,NONE,128-Bit,4GB,GDDR5,STRIX-GTX960-DC2OC-4GD5,NONE,OpenGL 4.4,NONE,NONE,Accessories:1 x DVI to VGA adaptor1 x STRIX Laser Sticker,6-Pin,NONE,SLI Ready,NONE,NONE,NONE,Power Consumption: up to 150W1 additional 6 pin PCIe power required,120W,0 reviews,215.138,121.158,1317,1253,7010.0,0.0
ASUS,GTX 960,ASUS GeForce GTX 960 TURBO-GTX960-OC-2GD5 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,299.0,4.0,,https://www.newegg.com/asus-geforce-gtx-960-turbo-gtx960-oc-2gd5/p/N82E16814121929?Description=gtx,Yes,1253 MHz,ASUS,1024,"10.40"" x 4.76""",NVIDIA,Single Fan,1190 MHz,1 x DVI-I,6/26/2019,NONE,3 x DisplayPort,Yes,7010 MHz,"ASUS Turbo GeForce GTX 960 graphics deliver the sweet spot of performance- 1253 MHz engine clock for better performance and outstanding gaming experience.- Dual-intake blower design with 10% larger dissipation area, delivering 10% cooler and vastly quieter performance.- Dual-ball bearing fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.- Super Alloy Power boosts performance by reducing power loss, enhancing durability, and achieving cooler operation.- GPU Tweak with XSplit Gamecaster provides real-time and intuitive GPU clock boost, and live-stream your gameplay instantly.",NONE,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0,NONE,4096 x 2160,128-Bit,2GB,GDDR5,TURBO-GTX960-OC-2GD5,NONE,OpenGL 4.4,NONE,NONE,NONE,6-Pin,NONE,SLI Ready,NONE,Dual Slot,NONE,Power Consumption: up to 150W,120W,-21,264.16,120.904,1253,1190,7010.0,21.0
ASUS,GTX 960,ASUS GeForce GTX 960 TURBO-GTX960-OC-4GD5 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,249.99,5.0,4.27,https://www.newegg.com/asus-geforce-gtx-960-turbo-gtx960-oc-4gd5/p/N82E16814126007?Description=gtx,Yes,1253 MHz,ASUS,1024,"10.30"" x 4.71""",NVIDIA,Single Fan,1190 MHz,1 x DVI-I,5/28/2020,NONE,3 x DisplayPort 1.2,Yes,7010 MHz,"ASUS Turbo GeForce GTX 960 graphics deliver the sweet spot of performance1253 MHz engine clock for better performance and outstanding gaming experience.Dual-intake blower design with 10% larger dissipation area, delivering 10% cooler and vastly quieter performance.Dual-ball bearing fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.Super Alloy Power boosts performance by reducing power loss, enhancing durability, and achieving cooler operation.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.",NONE,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0,NONE,4096 x 2160,128-Bit,4GB,GDDR5,TURBO-GTX960-OC-4GD5,NONE,OpenGL 4.4,NONE,NONE,NONE,6-Pin,NONE,SLI Ready,NONE,Dual Slot,NONE,Power Consumption: up to 150W,120W,0 reviews,261.62,119.634,1253,1190,7010.0,0.0
EVGA,GTX 960,"EVGA GeForce GTX 960 2GB SSC GAMING ACX 2.0+, Whisper Silent Cooling Graphics Card 02G-P4-2966-KR",275.0,,12.0,https://www.newegg.com/evga-geforce-gtx-960-02g-p4-2966-kr/p/1FT-001K-000K3?Description=gtx,Yes,1342 MHz,EVGA,1024,"10.10"" x 4.38""",NVIDIA,Double Fans,1279 MHz,1 x Dual-Link DVI-I,8/24/2018,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,NONE,NONE,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,4096 x 2160,128-Bit,2GB,GDDR5,02G-P4-2966-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",GTX 960 SuperSC ACX 2.0+ 2GB,NONE,8-Pin,400MHz,2-Way SLI,NONE,Dual Slot,NONE,Max Power Draw: 160W Recommended PSU: 400W,120W,0 reviews,256.54,111.252,1342,1279,7010.0,0.0
EVGA,GTX 960,"EVGA GeForce GTX 960 04G-P4-3967-KR 4GB SSC GAMING w/ACX 2.0+, w/ Installed Backplate Graphics Card",390.0,4.0,,https://www.newegg.com/evga-geforce-gtx-960-04g-p4-3967-kr/p/1FT-001K-000U5?Description=gtx,Yes,1342 MHz,EVGA,1024,NONE,NVIDIA,With Fan,1279 MHz,1 x DVI,8/15/2018,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,NONE,NONE,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,4096 x 2160,128-Bit,4GB,GDDR5,04G-P4-3967-KR,4,OpenGL 4.5,NONE,NONE,"""ACCESSORIES ARE NOT INCLUDED! NO CABLES, NO CD, NO MANUAL! VIDEO CARD COMES IN PLAIN FACTORY-SEALED BROWN BOX WITHOUT ANY ACCESSORIES! IF ITS NOT PICTURED => ITS NOT INCLUDED!""",8-Pin,400MHz,2-Way SLI,"ACCESSORIES ARE NOT INCLUDED! NO CABLES, NO CD, NO MANUAL! VIDEO CARD COMES IN PLAIN FACTORY-SEALED BROWN BOX WITHOUT ANY ACCESSORIES!",Dual Slot,1024 Stream Processors,Max Power Draw: 160W Recommended PSU: 400W,120W,-1,0.0,0.0,1342,1279,7010.0,1.0
EVGA,GTX 960,"EVGA GeForce GTX 960 04G-P4-3967-KR 4GB SSC GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card",399.0,5.0,,https://www.newegg.com/evga-geforce-gtx-960-04g-p4-3967-kr/p/N82E16814487155?Description=gtx,Yes,1342 MHz,EVGA,1024,"10.10"" x 4.38""",NVIDIA,Double Fans,1279 MHz,1 x Dual-link DVI-I,11/5/2018,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,"EVGA ""ACX 2.0+"" Cooling TechnologyFine-Tuned to PerfectionFeatures:- dBi-DB Noise Inverter: Silent, Generating 0dB of Noise- Straight Heat Pipes: Offers 6% better heat dissipation than bent heat pipes- Memory MOSFET Cooling Plate: Reduces up to 15°C memory temperature and up to 13°C MOSFET temperature- Surrounded in premium metal shroud- Fans use Double Ball Bearing for 400% longer lifespan Preinstalled EVGA Backplate for extra reinforcement and great aesthetics EVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionality- Everything you need for your GeForce overclocking experience EVGA\s 24/7 Techinical Support- Don\t forget EVGA\s Around the Clock Tech Support!",NONE,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0,NONE,Analog: 2048 x 1536Digital: 4096 x 2160,128-Bit,4GB,GDDR5,04G-P4-3967-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,Accessories:1 x Driver CD1 x Installation Guide1 x DVI-I to VGA Adapter 1 x 6-Pin(2) to 8-Pin Adapter1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker,8-Pin,400MHz,2-Way SLI,NONE,Dual Slot,1024 Stream Processors,Max Power Draw: 160WRecommended PSU: 400W,120W,-113,256.54,111.252,1342,1279,7010.0,113.0
PNY,GTX 960,PNY GeForce GTX 960 VCGGTX9602XPB-OC-BB 2GB GDDR5 PCI Express 3.0 Video Card,310.0,3.0,,https://www.newegg.com/pny-geforce-gtx-960-vcggtx9602xpb-oc-bb/p/N82E16814133642?Description=gtx,NONE,1266 MHz,PNY,NONE,"9.50"" x 4.37""",NVIDIA,Single Fan,1203 MHz,1 x DVI-I,12/10/2019,NONE,NONE,NONE,7010 MHz,NONE,NONE,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,NONE,NONE,PCI Express 3.0,NONE,4096 x 2160,NONE,2GB,GDDR5,VCGGTX9602XPB-OC-BB,4,NONE,NONE,NONE,"Additional Accessories Included: DVI-to-VGA adapter, 6-pin PCI Express-to-Molex power adapterIncluded Software: GeForce Experience",6-Pin,NONE,NONE,NONE,Dual Slot,NONE,"Minimum System Requirements:Windows Vista, 7 or 8; PCI Express-compliant motherboard with available dual-width x16 slot; 6-pin PCI Express power connector; 400W power supply; 300MB hard disk space; 2GB system memory; DVD-ROM drive; Internet access",120W,-2,241.3,110.998,1266,1203,7010.0,2.0
MSI,GTX 960,MSI GeForce GTX 960 DirectX 12 GTX 960 GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,340.0,4.0,,https://www.newegg.com/msi-geforce-gtx-960-gtx-960-gaming-4g/p/N82E16814137175?Description=gtx,Yes,1304 MHz  (OC Mode)1279 MHz (Gaming Mode)1178 MHz (Silent Mode),MSI,NONE,"10.51"" x 5.47""",NVIDIA,Double Fans,1241 MHz (OC Mode)1216 MHz (Gaming Mode)1127 MHz (Silent Mode),1 x Dual-link DVI-I,3/10/2019,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,"Next-Gen Thermal Design: Twin Frozr VTorx Fan - Maximizes airflow and dispersion.SuperSU Architecture - improves dissipation efficiency through special heatpipe layout.Zero Frozr - Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest: Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one click.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,267 mm,4096 x 2160,128-Bit,4GB,GDDR5,GTX 960 GAMING 4G,4,OpenGL 4.4,NONE,NONE,NONE,8-Pin,400MHz,2-Way SLI,NONE,Dual Slot,NONE,Power consumption: 120WRecommended Power Supply: 400W,120W,-1,266.954,138.938,1304,1241,7010.0,1.0
MSI,GTX 960,MSI GeForce GTX 960 DirectX 12 GTX 960 GAMING 2G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,355.0,5.0,,https://www.newegg.com/msi-geforce-gtx-960-vdgtx960gm100me/p/N82E16814127974?Description=gtx,Yes,1304 MHz (OC Mode)1253 MHz (Gaming Mode)1178 MHz (Silent Mode),MSI,1024,"10.51"" x 5.47""",NVIDIA,Double Fans,1241 MHz (OC Mode)1190 MHz (Gaming Mode)1127 MHz (Silent Mode),1 x DL-DVI-I,3/10/2019,DirectX 12,3 x DisplayPort,Yes,7010 MHz,"Next-Gen Thermal Design: Twin Frozr V Torx Fan - Maximizes airflow and dispersion. SuperSU Architecture - Improves dissipation efficiency through special heatpipe layout.Zero Frozr- Fans stop spinning in low load to keep the card quiet and increase lifetime.Airflow Control technology - Deflects airflow towards heatpipes to improve thermal efficiency.Gaming AppEasy Tuning - OC, Gaming and Silent modes adjust Graphics Card settings based on user requirements.Eye Rest - Dedicated color profiles for Gaming, movies and Eye Rest, allow to custom visual related setting what you like.LED control - choose from 5 unique lighting modes to set the right ambience for their gaming moments with just one clickMilitary Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.",ATX,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0 x16,NONE,4096 x 2160,128-Bit,2GB,GDDR5,VDGTX960GM100ME,4,OpenGL 4.4,NONE,NONE,"ACCESSORIES ARE NOT INCLUDED! NO CABLES, NO CD, NO MANUAL! VIDEO CARD COMES IN OEM BOX WITHOUT ANY ACCESSORIES!",NONE,NONE,2-Way SLI,NONE,Dual Slot,NONE,Power consumption: 145WRecommended PSU: 400W,120W,-1,266.954,138.938,1304,1241,7010.0,1.0
EVGA,GTX 960,"EVGA GeForce GTX 960 02G-P4-2962-KR 2GB SC GAMING, Only 6.8 inches, Perfect for mITX Build Graphics Card",299.0,5.0,,https://www.newegg.com/evga-geforce-gtx-960-02g-p4-2962-kr/p/N82E16814487093?Description=gtx,Yes,1279 MHz,EVGA,1024,"6.80"" x 4.38""",NVIDIA,Single Fan,1216 MHz,1 x Dual-link DVI-I1 x Dual-link DVI-D,10/3/2018,DirectX 12,1 x DisplayPort 1.2,Yes,7010 MHz,"""At only 6.8in, GTX 960 SC allows much needed space w/o sacrificing performance.***Great for mITX builds*** EVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionality- Everything you need for your GeForce overclocking experience EVGAs 24/7 Techinical Support- Dont forget EVGAs Around the Clock Tech Support!""",NONE,GeForce GTX 960,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,Analog: 2048 x 1536Digital: 4096 x 2160,128-Bit,2GB,GDDR5,02G-P4-2962-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,Accessories:1 x Driver CD1 x Installation Guide1 x DVI-I to VGA Adapter 1 x 4-Pin(2) to 6-Pin Adapter1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker,6-Pin,400MHz,2-Way SLI,NONE,Dual Slot,1024 Stream Processors,Max Power Draw: 128WRecommended PSU: 400W,120W,-50,172.72,111.252,1279,1216,7010.0,50.0
