brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,RoHS Compliant ,SLI Support ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Tuner ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
PNY,GTX 980,PNY VCGGTX9804XPB-XP-OC GeForce GTX 980 4GB XLR8 OC EDITION Graphics Card,445.0,,13.5,https://www.newegg.com/pny-geforce-gtx-980-vcggtx9804xpb-xp-oc/p/1FT-000P-002D4?Description=GTX,NONE,1329 MHz,PNY,2048,"11.2"" x 4.38""",NVIDIA,Double Fans,1228 MHz,1 x DVI,1/31/2019,DirectX 12,3 x Mini DisplayPort,Yes,7200 MHz (effective),NONE,NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x mini HDMI,PCI Express 3.0 x16,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,VCGGTX9804XPB-XP-OC,4,OpenGL 4.4,"Microsoft Windows 8, Windows 7, Windows Vista",NONE,NONE,NONE,6-Pin / 8-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,PCI Express-compliant motherboard with one dual-width x16 graphics slot One 8-Pin + One 6-Pin PCI Express supplementary power connectors Minimum 500W or greater system power supply,165W,NONE,Yes,0 reviews,284.48,111.252,1329,1228,7200.0,0.0
PNY,GTX 980,PNY GeForce GTX 980 4GB Founders Edition GDDR5 VCGGTX9804XPB-CG Video Card GPU,389.0,,,https://www.newegg.com/p/1FT-000P-003F1?Description=GTX,NONE,NONE,PNY,NONE,NONE,NVIDIA,Single Fan,NONE,NONE,5/9/2019,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,NONE,NONE,NONE,NONE,NONE,NONE,4GB,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,165W,NONE,NONE,0 reviews,0.0,0.0,0,0,0.0,0.0
ASUS,GTX 980,New Asus NVIDIA Video Card GeForce GTX 980 OC 4 GB GDDR5 DVI/HDMI/3DisplayPort PCI-Express 4GB(SaveMart),499.0,,,https://www.newegg.com/p/1FT-000Y-00054?Description=GTX,NONE,1279 MHz,ASUS,2048,"11.36"" x 5.30""",NVIDIA,With Fan,1178 MHz,1 x DVI,7/9/2020,NONE,3 x DisplayPort,NONE,7010 MHz,NONE,NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI,PCI Express 3.0,NONE,NONE,NONE,256-Bit,4GB,GDDR5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6 x 8-Pin,400MHz,NONE,NONE,NONE,NONE,NONE,NONE,165W,NONE,NONE,0 reviews,288.5440000000001,134.62,1279,1178,7010.0,0.0
EVGA,GTX 980,"EVGA GeForce GTX 980 Ti 6GB CLASSIFIED GAMING ACX 2.0+, Whisper Silent Cooling Graphic Card 06G-P4-4997-RX",395.0,,,https://www.newegg.com/evga-geforce-gtx-980-ti-06g-p4-4997-rx/p/N82E16814487356?Description=GTX,NONE,1190 MHz,EVGA,2816,"11.00"" x 5.94""",NVIDIA,Double Fans,1000 MHz,1 x Duallink DVI-I,7/16/2020,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,"EVGA EVBot SupportDual BIOS Support8+8pin Power Input Dedicated 600WNVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA GSYNC ReadyMicrosoft DirectX 12 (feature level 12_1)NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Duallink DVIPCI Express 3.0EVGA ACX 2.0 CoolingdB InverterMemory MOSFET Cooling PlateStraight Heat PipesPreinstalled BackplateOpenGL 4.5 Support14+3 Power Phases",NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI 2.0,PCI Express 3.0,NONE,279 mm,Analog: 2048 x 1536Digital: 4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-4997-RX,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,NONE,NONE,2 x 8-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,"600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",260W,NONE,NONE,0 reviews,279.4,150.876,1190,1000,7010.0,0.0
EVGA,GTX 980,EVGA GeForce GTX 980 Ti DirectX 12 06G-P4-4991-RX 6GB 384-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,399.0,5.0,,https://www.newegg.com/evga-geforce-gtx-980-ti-06g-p4-4991-rx/p/N82E16814487422?Description=GTX,NONE,1076 MHz,EVGA,2816,"10.50"" x 4.38""",NVIDIA,Double Fans,1000 MHz,1 x Dual-link DVI-I,5/9/2019,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,dB InverterEVGA ACX 2.0 CoolingMemory MOSFET Cooling PlateMicrosoft DirectX 12 (feature level 12_1)NVIDIA Adaptive Vertical SyncNVIDIA CUDA Technology with OpenCL supportNVIDIA Dynamic Super Resolution TechnologyNVIDIA G-SYNC ReadyNVIDIA GameStream TechnologyNVIDIA GameWorks TechnologyNVIDIA GPU Boost 2.0NVIDIA MFAA TechnologyNVIDIA Surround TechnologyOpenCL SupportStraight Heat Pipes,NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,267 mm,4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-4991-RX,4,OpenGL 4.6,"Windows 10, Windows 8 & 8.1, Windows 7, Windows Vista",NONE,NONE,NONE,6-Pin / 8-Pin,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,"600-Watt or greater power supply*PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slotAn available 6-pin PCIe power connector and an available 8 pin PCIe power connector* Minimum system power requirement based on a PC configured with an Intel Core i7 3.2 GHz processor",260W,NONE,NONE,-3,266.7,111.252,1076,1000,7010.0,3.0
ZOTAC,GTX 980,"ZOTAC GeForce GTX 980 Ti 6GB AMP!, ZT-90503-10P",,4.0,4.69,https://www.newegg.com/zotac-geforce-gtx-980-ti-zt-90503-10p/p/N82E16814500378?Description=GTX,NONE,1140 MHz,ZOTAC,2816,"12.40"" x 4.38""",NVIDIA,Triple 90mm IceStorm,1051 MHz,1 x DL-DVI,12/28/2018,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,"Engineered to game, the ZOTAC GeForce GTX 980 Ti AMP! is flush with power to maximize performance. The latest graphics card in the Maxwell family electrifies every 4K scenery down to the last pixel. Get the edge with 6GB of memory and 2816 pulsating cores that jolt your game to life while IceStorm and Carbon ExoArmor keep the noise low while enhancing thermal cooling and durability. Push the limit and let the marvel of engineering lead the way.",NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0,NONE,NONE,4K,384-Bit,6GB,GDDR5,ZT-90503-10P,Quad Display,OpenGL 4.5,Windows 10 / 8 / 7 / Vista,NONE,VGA: With adapter,Accessories:DVI-to-VGA AdapterDual 6-pin to 8-pin PCIe adapterDual 4-pin MOLEX to 6-pin PCIe adapterDriver DiskUser Manual,6-Pin / 8-Pin,NONE,Yes,4-Way SLI,NONE,Dual Slot,NONE,Recommended Power Supply: 600WPower Consumption: 250W,260W,None,Yes,"12,049 (81% Positive)",314.96,111.252,1140,1051,7010.0,12.0
EVGA,GTX 980,"EVGA GeForce GTX 980 Ti 06G-P4-4996-KR 6GB FTW GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card",585.0,5.0,,https://www.newegg.com/evga-geforce-gtx-980-ti-06g-p4-4996-kr/p/N82E16814487160?Description=GTX,Yes,1291 MHz,EVGA,2816,"10.50"" x 4.38""",NVIDIA,Double Fans,1190 MHz,1 x Dual-link DVI-I,12/18/2018,DirectX 12,3 x DisplayPort 1.2,Yes,7010 MHz,"Fastest EVGA GTX 980 Ti Next To K|NGP|N: 8+2 Power Phases, extra +25W of PowerEVGA ""ACX 2.0+"" Cooling TechnologyFine-Tuned to PerfectionFeatures:- dBi-DB Noise Inverter: Silent, Generating 0dB of Noise- Straight Heat Pipes: Offers 6% better heat dissipation than bent heat pipes- Memory MOSFET Cooling Plate: Reduces up to 15°C memory temperature and up to 13°C MOSFET temperature- Fans use Double Ball Bearing for 400% longer lifespanPreinstalled EVGA Backplate for extra reinforcement and great aestheticsEVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Everything you need for your GeForce overclocking experience- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionalityEVGA\s 24/7 Techinical Support- Don\t forget EVGA\s Around the Clock Tech Support!",NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,Analog: 2048 x 1536Digital: 4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-4996-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",NONE,NONE,Accessories:1 x Driver CD1 x Installation Guide1 x DVI-I to VGA Adapter 1 x 4-Pin(2) to 6-Pin Adapter1 x 6-Pin(2) to 8-Pin Adapter1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker,2 x 8-Pin,400MHz,NONE,"2 Way, 3 Way, or 4 Way SLI",NONE,Dual Slot,NONE,Max Power Draw: 275WRecommended PSU: 600W,260W,NONE,Yes,-77,266.7,111.252,1291,1190,7010.0,77.0
EVGA,GTX 980,EVGA GeForce GTX 980 DirectX 12 04G-P4-2986-RX 4GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support FTW ACX 2.0 Video Card,399.0,4.0,,https://www.newegg.com/evga-geforce-gtx-980-04g-p4-2986-rx/p/N82E16814487161?Description=GTX,NONE,1380 MHz,EVGA,2048,"10.5"" x 4.38""",NVIDIA,ACX 2.0,1279 MHz,1 x DVI-I1 x DVI-D,12/6/2018,DirectX 12,1 x DisplayPort,NONE,7010 MHz,"NVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyMicrosoft DirectX 12NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Dual-link DVIPCI Express 3.0EVGAACX 2.0 CoolingDouble BIOS Ready",NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,NONE,Max Analog: 2048 x 1536Max Digital: 4096 x 2160,256-Bit,4GB,GDDR5,04G-P4-2986-RX,4,OpenGL 4.4,Windows 8 32/64bitWindows 7 32/64bitWindows Vista 32/64bit,GTX 980 FTW ACX 2.0,NONE,NONE,NONE,NONE,NONE,SLI Ready,NONE,Dual Slot,NONE,Minimum of a 500 Watt power supply.*One available 8-pin PCI-E power connector and one available 6-pin PCI-E power connectorTotal Power Draw: 165 Watts* Minimum system power requirement based on a PC configured with an Intel Core i7 3.2GHz processor.,165W,NONE,NONE,-10,266.7,111.252,1380,1279,7010.0,10.0
EVGA,GTX 980,EVGA GeForce GTX 980 04G-P4-2982-RX 4GB 256-Bit GDDR5 PCI Express 3.0 Superclocked G-SYNC Support Video Card,399.0,,,https://www.newegg.com/evga-geforce-gtx-980-04g-p4-2982-rx/p/N82E16814487189?Description=GTX,NONE,1342 MHz,EVGA,2048,"10.50"" x 4.38""",NVIDIA,Single Fan,1241 MHz,1 x DVI,2/14/2019,NONE,3 x DisplayPort,Yes,7010 MHz,NONE,NONE,GeForce GTX 980,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,4096 x 2160,256-Bit,4GB,GDDR5,04G-P4-2982-RX,NONE,NONE,NONE,GTX 980 SC Blower,NONE,NONE,2 x 6-Pin,NONE,NONE,NONE,NONE,Dual Slot,NONE,Minimum 500W Power Supply,165W,NONE,NONE,0 reviews,266.7,111.252,1342,1241,7010.0,0.0
EVGA,GTX 980,"EVGA GeForce GTX 980 Ti 06G-P4-4998-RX 6GB CLASSIFIED GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Graphics Card",425.0,4.0,,https://www.newegg.com/evga-geforce-gtx-980-ti-06g-p4-4998-rx/p/N82E16814487202?Description=GTX,NONE,1291 MHz,EVGA,NONE,"11.00"" x 5.94""",NVIDIA,EVGA ACX 2.0 Cooling,1190 MHz,1 x DVI-I,3/11/2019,DirectX 12,3 x DisplayPort,NONE,7010 MHz,"NVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyMicrosoft DirectX 12NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Dual-link DVIPCI Express 3.0EVGA ACX 2.0 CoolingdB InverterMemory MOSFET Cooling PlateStraight Heat PipesPreinstalled BackplateOpenGL 4.5 Support",NONE,GeForce GTX 980 Ti,NVIDIA GeForce GTX 900 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,NONE,Analog: 2048 x 1536Digital: 4096 x 2160,384-Bit,6GB,GDDR5,06G-P4-4998-RX,4,OpenGL 4.5,"Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit",GTX980 Ti CLASSIFIED ACX 2.0+,NONE,NONE,NONE,NONE,NONE,SLI Ready,NONE,Dual Slot,2816 Stream Processors,"600 Watt or greater power supply.****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2GHz processor.",260W,NONE,NONE,-3,279.4,150.876,1291,1190,7010.0,3.0
