brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
EVGA,RTX 2060,"EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate",369,4.0,,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2068-kr/p/N82E16814487486?Description=rtx,1755 MHz,EVGA,1920,"7.96"" x 4.38""",NVIDIA,Double Fans,NONE,1 x Dual-Link DVI-D,5/26/2020,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,NONE,NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,202 mm,7680 x 4320,192-Bit,6GB,GDDR6,06G-P4-2068-KR,3,OpenGL 4.5,"Windows 10 64-bit, Windows 7 64-bit",NONE,NONE,NONE,One available 8-pin PCIe power dongle,NONE,No,NONE,Dual Slot,"500-Watt or greater power supplyPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot",190W,Yes,"7,725 (87% Positive)",202.18400000000003,111.252,1755,0,14000.0,7.0
EVGA,RTX 2060,"EVGA GeForce RTX 2060 SUPER XC GAMING, 08G-P4-3162-KR, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",719.99,5.0,,https://www.newegg.com/evga-geforce-rtx-2060-super-08g-p4-3162-kr/p/N82E16814487459?Description=rtx,1695 MHz,EVGA,2176,"10.62"" x 4.38""",NVIDIA,Double Fans,NONE,NONE,7/17/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,"NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink",NONE,GeForce RTX 2060 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0,270 mm,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-3162-KR,4,OpenGL 4.5,"Windows 10 (64-bit), Windows 7 (64-bit)",NONE,1 x USB Type-C VirtualLink,NONE,An available 6-pin PCIe power connector and an available 8-pin PCIe power connector,NONE,No,NONE,Dual Slot,"550W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",175W,Yes,-6,269.748,111.252,1695,0,14000.0,6.0
EVGA,RTX 2060,"EVGA GeForce RTX 2060 SC Ultra GAMING, 06G-P4-2067-KR, 6GB GDDR6, Dual HDB Fans",369.99,5.0,,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2067-kr/p/N82E16814487442?Description=rtx,1755 MHz,EVGA,1920,"10.55"" x 4.38""",NVIDIA,Double Fans,NONE,1 x Dual-Link DVI-D,3/25/2019,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,"NVIDIA AnselHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Microsoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6Supports NVIDIA NVENC Turing Encoder",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,268 mm,7680 x 4320,192-Bit,6GB,GDDR6,06G-P4-2067-KR,3,OpenGL 4.6,"Windows 10 64-bit, Windows 7 64-bit",NONE,NONE,NONE,One available 8-pin PCIe power dongle,NONE,NONE,NONE,Dual Slot,"500-Watt or greater power supplyPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot",160W,Yes,"1,689 (78% Positive)",267.97,111.252,1755,0,14000.0,1.0
ASUS,RTX 2060,ASUS Phoenix GeForce RTX 2060 DirectX 12 PH-RTX2060-6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,314.99,4.0,,https://www.newegg.com/asus-geforce-rtx-2060-ph-rtx2060-6g/p/N82E16814126287?Description=rtx,1710 MHz Gaming Mode: 1680 MHz,ASUS,1920,"7.00"" x 4.76""",NVIDIA,Single Fan,Gaming Mode: 1365 MHz,1 x DL-DVI-D,1/4/2019,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,"NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This provides up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Dual-ball bearing fan with IP5X dust resistance is a larger, quieter, and dust resistant fan that shifts more air.Auto-Extreme Technology uses automation to enhance reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,177 mm,7680 x 4320,192-Bit,6GB,GDDR6,PH-RTX2060-6G,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:1 x CD1 x Quick Guide,8-Pin,NONE,No,Phoenix,Dual Slot,Recommended PSU: 500W,160W,Yes,132 (93% Positive),177.8,120.904,1710,1365,14000.0,132.0
ASUS,RTX 2060,ASUS Dual GeForce RTX 2060 SUPER DUAL-RTX2060S-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready ATX Video Card,559.99,4.0,45.0,https://www.newegg.com/asus-geforce-rtx-2060-super-dual-rtx2060s-o8g-evo-v2/p/N82E16814126397?Description=rtx,1725 MHz Gaming Mode (Default): 1695 MHz,ASUS,2176,"9.50"" x 5.10""",NVIDIA,Double Fans,1470 MHz,1 x DL-DVI-D,10/28/2020,NONE,1 x DisplayPort 1.4,Yes,NONE,14000 MHz,"OC Edition: Boost Clock 1725 MHz (OC Mode) / 1695 MHz (Gaming Mode).RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.DirectCU II brings copper heatpipes into direct contact with the die for better cooling.Auto-Extreme Technology uses automation to enhance reliability.A Protective backplate secures components during transportation and installation.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.",ATX,GeForce RTX 2060 SUPER,NONE,2.2,2 x HDMI 2.0b,PCI Express 3.0 x16,242 mm,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2060S-O8G-EVO-V2,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:1 x Quick Guide,8-Pin,NONE,No,Dual,2.5 Slot,550W Power Supply,215W,Yes,883 (79% Positive),241.3,129.54,1725,1470,14000.0,883.0
MSI,RTX 2060,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,408.49,5.0,,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-z-6g/p/N82E16814137379?Description=rtx,1830 MHz,MSI,1920,"9.72"" x 5.08""",NVIDIA,Double Fans,NONE,NONE,1/4/2019,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gbps,"Twin Frozr 7 Thermal Design:TORX Fan 3.0- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.RGB Mystic Light:Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Dragon Center:1 click to optimize all you need for smooth gaming.",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,247 mm,7680 x 4320,192-Bit,6GB,GDDR6,RTX 2060 GAMING Z 6G,4,OpenGL 4.5,NONE,NONE,NONE,NONE,8-Pin,NONE,No,NONE,NONE,Recommended PSU: 500W,190W,Yes,400 (90% Positive),246.888,129.032,1830,0,14.0,400.0
GIGABYTE,RTX 2060,"GIGABYTE GeForce RTX 2060 Super GAMING OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N206SGAMING OC-8GC Video Card",649.99,4.0,45.0,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206sgaming-oc-8gc/p/N82E16814932173?Description=rtx,NONE,GIGABYTE,2176,"11.04"" x 4.58""",NVIDIA,WINDFORCE 3X,1815 MHz,NONE,10/28/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2060 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fans4 Copper Heat Pipes direct touch GPURGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate,ATX,GeForce RTX 2060 SUPER,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,280 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N206SGAMING OC-8GC,4,OpenGL 4.5,NONE,NONE,1 x USB Type-C (support VirtualLink),Accessories:Quick guideDriver CD,"1 x 6-pin, 1 x 8-pin",NONE,No,NONE,Dual Slot,System PSU Limitation: 550W,175W,Yes,883 (79% Positive),280.416,116.332,0,1815,14000.0,883.0
MSI,RTX 2060,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,569.99,4.0,45.0,https://www.newegg.com/msi-geforce-rtx-2060-super-rtx-2060-super-ventus-gp-oc/p/N82E16814137477?Description=rtx,1665 MHz,MSI,2176,"9.13"" x 5.00""",NVIDIA,Double Fans,NONE,NONE,10/28/2020,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gpbs,"TORX Fan 2.0Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking UtilityOC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.NVIDIA G-SYNC and HDRGet smooth, tear-free gameplay at refresh rates up to 240 Hz, plus HDR, and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VRBy combining advanced VR rendering, real-time ray tracing, and AI, GeForce RTX will take VR to a new level of realism.",NONE,GeForce RTX 2060 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,232 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2060 SUPER VENTUS GP OC,4,OpenGL 4.5,NONE,NONE,NONE,NONE,8-Pin,NONE,No,NONE,NONE,Recommended PSU: 550W,184W,Yes,883 (79% Positive),231.902,127.0,1665,0,14.0,883.0
ASUS,RTX 2060,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),358.99,5.0,,https://www.newegg.com/asus-geforce-rtx-2060-dual-rtx2060-o6g-evo/p/N82E16814126349?Description=rtx,1785 MHzGaming Mode (Default): 1755 MHz,ASUS,1920,"9.53"" x 5.12""",NVIDIA,Double Fans,OC Mode: 1395 MHzGaming Mode (Default): 1365 MHz,1 x DVI-D,10/18/2019,DirectX 12,1 x DisplayPort 1.4,NONE,NONE,14000 MHz,"NVIDIA TURING GPU architecture and the all-new RTX platform provides up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12 enables new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Axial-tech Fan Design brings larger blades and a unique barrier ring to increase air pressure.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.GPU Tweak II provides intuitive performance tweaking and thermal controls.144-Hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0 x16,242 mm,7680 x 4320,192-Bit,6GB,GDDR6,DUAL-RTX2060-O6G-EVO,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:1 x CD1 x Quick Guide,1 x 8-pin,NONE,No,Dual,2.5-slot,Recommended PSU: 500W,190W,Yes,36 (64% Positive),242.062,130.048,1785,1395,14000.0,36.0
ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,759.99,5.0,,https://www.newegg.com/asus-geforce-rtx-2060-rog-strix-rtx2060-o6g-gaming/p/N82E16814126280?Description=rtx,1860 MHzGaming Mode: 1830 MHz,ASUS,1920,"11.81"" x 5.20""",NVIDIA,Triple Fans,1365 MHz,NONE,9/3/2020,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turings cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""",NONE,GeForce RTX 2060,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,300 mm,7680 x 4320,192-Bit,6GB,GDDR6,ROG-STRIX-RTX2060-O6G-GAMING,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:1 x ROG Velcro Hook & Loop1 x CD1 x Quick Guide,"1 x 6-pin, 1 x 8-pin",NONE,No,ROG STRIX,2.5-slot,Recommended PSU: 500W,160W,Yes,-37,299.974,132.08,1860,1365,14000.0,37.0
