brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,Date First Available ,DirectX ,DisplayPort ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Other Ports ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Thunderbolt 3 ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,Dual-Link DVI Supported ,DVI 
MSI,RTX 2080,MSI GeForce RTX 2080 GAMING X TRIO Video Card,749.99,4,105.0,https://www.newegg.com/msi-geforce-rtx-2080-rtx-2080-gaming-x-trio/p/N82E16814137340?Description=rtx,1860 MHz,MSI,2944,"12.87"" x 5.51""",NVIDIA,Triple Fans,1515 MHz,"August 30, 2020",DirectX 12,3 x DisplayPort 1.4,14 Gbps,"TORX FAN 3.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.- Double ball bearing: Strong and lasting core for years of smooth gaming.TRI-FROZR Thermal Design- Using three of the award-winning TORX Fans 3.0 with Double Ball Bearings.- Using groundbreaking aerodynamic techniques, the heatsink is optimized for efficient heat dissipation.RGB Mystic Light- Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: DirectX12 benchmark.- Supports multi-GPU setups.Dragon Center- 1 click to optimize all you need for smooth gaming.",NONE,GeForce RTX 2080,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,327 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2080 GAMING X TRIO,4,OpenGL 4.5,NONE,1 x USB Type-C,Accessories: 1 x 6-pin to 8-pin power cable1 x Graphics Card Support Bracket,2 x 8-Pin,2-Way SLI,NONE,NONE,Recommended PSU: 650W,260W,NONE,Yes,0 reviews,326.898,139.95399999999998,1860.0,1515.0,14.0,0.0,NONE,NONE
ASUS,RTX 2080,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"1,824.97",5,,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-11g-gaming/p/N82E16814126080?Description=rtx,OC Mode: 1560 MHz Gaming Mode (Default): 1545 MHz,ASUS,4352,"12.00"" x 5.13""",NVIDIA,Triple Fans,1350 MHz,"October 28, 2020",DirectX 12,2 x DisplayPort 1.4,14000 MHz,"""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy todays biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turings cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""",NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,305 mm,7680 x 4320,352-Bit,11GB,GDDR6,ROG-STRIX-RTX2080TI-11G-GAMING,4,OpenGL 4.6,NONE,1 x USB Type-C,Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop1 x CD,2 x 8-Pin,SLI Ready,ROG Strix,2.7-slot,Recommended PSU: 650W,250W,NONE,Yes,883 (79% Positive),304.7999999999999,130.30200000000002,1560.0,1350.0,14000.0,883.0,NONE,NONE
GIGABYTE,RTX 2080,"GIGABYTE GeForce RTX 2080 Super GAMING OC 8G (Rev 2.0) Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMING OC-8GC Video Card","1,072.94",5,,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208sgaming-oc-8gc/p/N82E16814932218?Description=rtx,NONE,GIGABYTE,3072,"11.28"" x 4.51""",NVIDIA,WINDFORCE 3X,1845 MHz,"October 29, 2020",DirectX 12,3 x DisplayPort 1.4,15500 MHz,Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate,ATX,GeForce RTX 2080 SUPER,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,287 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N208SGAMING OC-8GC rev. 2.0,4,OpenGL 4.5,NONE,1 x USB Type-C (support VirtualLink),Accessories:Quick guideDriver CD,"1 x 6-Pin, 1 x 8-Pin",2-way NVIDIA NVLINK,NONE,2.5 Slot,Recommended PSU: 650W,250W,NONE,Yes,17 (82% Positive),286.51199999999994,114.554,0.0,1845.0,15500.0,17.0,NONE,NONE
EVGA,RTX 2080,"EVGA GeForce RTX 2080 Ti BLACK EDITION GAMING, 11G-P4-2281-RX, 11GB GDDR6, Dual HDB Fans & RGB LED","1,289.00",4,,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2281-rx/p/N82E16814487501?Description=rtx,1545 MHz,EVGA,4352,"10.60"" x 4.50""",NVIDIA,Double Fans,NONE,"October 02, 2020",DirectX 12,3 x DisplayPort 1.4,14000 MHz,"VR ReadyNVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversDisplayPort 1.4, HDMI 2.0bHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLinkMicrosoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6",NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,269 mm,7680 x 4320,352-Bit,11GB,GDDR6,11G-P4-2281-RX,4,OpenGL 4.6,"Windows 10 64-bit, Windows 8.1 64-bit, Windows 7 64-bit",1 x USB Type-C,NONE,Two available 8-pin or 6+2-pin PCIe power connectors,SLI Ready,NONE,Dual Slot,"650W or greater power supplyPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot",300W,NONE,Yes,-4,269.23999999999995,114.3,1545.0,0.0,14000.0,4.0,NONE,NONE
MSI,RTX 2080,MSI GeForce RTX 2080 TI GAMING X TRIO Video Card,"1,852.19",4,,https://www.newegg.com/msi-geforce-rtx-2080-ti-rtx-2080-ti-gaming-x-trio/p/N82E16814137338?Description=rtx,1755 MHz,MSI,4352,"12.87"" x 5.51""",NVIDIA,Triple Fans,1350 MHz,"October 27, 2020",DirectX 12,3 x DisplayPort 1.4,14 Gbps,TORX FAN 3.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.- Double ball bearing: Strong and lasting core for years of smooth gaming.Dragon Center- 1 click to optimize all you need for smooth gaming.,NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,327 mm,7680 x 4320,352-Bit,11GB,GDDR6,RTX 2080 TI GAMING X TRIO,4,OpenGL 4.5,NONE,1 x USB Type-C,NONE,"2 x 8-pin, 1 x 6-pin","NVIDIA NVLINK (SLI-Ready), 2-way",NONE,NONE,Recommended PSU: 650W,300W,NONE,Yes,44 (64% Positive),326.898,139.95399999999998,1755.0,1350.0,14.0,44.0,NONE,NONE
ASUS,RTX 2080,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"1,754.97",4,,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-o11g-gaming/p/N82E16814126263?Description=rtx,OC Mode: 1665 MHzGaming Mode: 1650 MHz,ASUS,4352,"12.00"" x 5.13""",NVIDIA,Triple Fans,1350 MHz,"October 28, 2020",DirectX 12,2 x DisplayPort 1.4,14000 MHz,"""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy todays biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turings cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""",NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,305 mm,7680 x 4320,352-Bit,11GB,GDDR6,ROG-STRIX-RTX2080TI-O11G-GAMING,4,OpenGL 4.6,NONE,1 x USB Type-C,Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop,2 x 8-Pin,SLI Ready,ROG Strix,2.7-slot,Recommended PSU: 650W,250W,NONE,Yes,883 (79% Positive),304.7999999999999,130.30200000000002,1665.0,1350.0,14000.0,883.0,NONE,NONE
GIGABYTE,RTX 2080,"GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card, 3 x WINDFORCE Fans, 11GB 352-Bit GDDR6, GV-N208TGAMING OC-11GC Video Card","1,689.95",3,,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tgaming-oc-11gc/p/N82E16814932064?Description=rtx,NONE,GIGABYTE,4352,"11.28"" x 4.51""",NVIDIA,WINDFORCE 3X,1665 MHz in OC mode1650 MHz in Gaming mode,"October 29, 2020",DirectX 12,3 x DisplayPort 1.4,14000 MHz,Powered by GeForce RTX 2080 TiIntegrated with 11GB GDDR6 352-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate,ATX,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,287 mm,7680 x 4320 @ 60 Hz,352-Bit,11GB,GDDR6,GV-N208TGAMING OC-11GC,4,OpenGL 4.6,NONE,1 x USB Type-C (support VirtualLink),NONE,2 x 8-Pin,2-way NVIDIA NVLINK,NONE,NONE,Recommended PSU: 650W,250W,NONE,Yes,17 (82% Positive),286.51199999999994,114.554,0.0,1665.0,14000.0,17.0,NONE,NONE
MSI,RTX 2080,MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,749.99,5,45.0,https://www.newegg.com/msi-geforce-rtx-2080-rtx-2080-ventus-8g-oc/p/N82E16814137350?Description=rtx,1800 MHz,MSI,2944,"10.55"" x 4.49""",NVIDIA,Double Fans,1515 MHz,"August 31, 2020",DirectX 12,3 x DisplayPort 1.4,14 Gbps,"""Customized Dual Fan Design:Double ball bearing: Strong and lasting core for years of smooth gaming.Smooth Heat Pipes: Squared shape at bottom maximize heat transfer from the copper base plate.Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.Afterburner Overclocking Utility:Wireless control through Android/iOS devices.Predator: In-game video recording.Kombustor: DirectX12 benchmark.Supports multi-GPU setups.NVIDIA G-SYNC:Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.GeForce RTX VR Ready:NVIDIAs unique set of features ensure you get the right level of performance, image quality and latency to ensure your VR experience is nothing short of amazing.""",NONE,GeForce RTX 2080,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,268 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2080 VENTUS 8G OC,4,OpenGL 4.5,NONE,1 x USB Type-C,NONE,"1 x 8-pin, 1 x 6-pin",2-Way SLI,NONE,NONE,Recommended PSU: 650W,225W,NONE,Yes,0 reviews,267.97,114.046,1800.0,1515.0,14.0,0.0,NONE,NONE
EVGA,RTX 2080,"EVGA GeForce RTX 2080 Ti XC ULTRA GAMING Video Card, 11G-P4-2383-RX, 11GB GDDR6, Dual HDB Fans & RGB LED",999.99,3,,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2383-rx/p/N82E16814487510?Description=rtx,1650 MHz,EVGA,4352,"10.62"" x 4.38""",NVIDIA,Double Fans,NONE,"May 27, 2020",DirectX 12,3 x DisplayPort 1.4,14000 MHz,"NVIDIA AnselAdjustable RGB LEDReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversDisplayPort 1.4, HDMI 2.0bHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLinkMicrosoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6",NONE,GeForce RTX 2080 Ti,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,270 mm,7680 x 4320,352-Bit,11GB,GDDR6,11G-P4-2383-RX,4,OpenGL 4.6,"Windows 10 64-bit, Windows 7 64-bit",1 x USB TYPE-C,NONE,2 x 8-Pin,2-Way SLI,NONE,2.75 Slots,"650-Watt or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot. Two available 8-pin or 6+2-pin PCI-E power dongles.",250W,NONE,Yes,"1,251 (88% Positive)",269.748,111.25200000000001,1650.0,0.0,14000.0,1.0,NONE,NONE
GIGABYTE,RTX 2080,"GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SWF3OC-8GD Video Card",954.99,4,99.99,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208swf3oc-8gd/p/N82E16814932211?Description=rtx,NONE,GIGABYTE,3072,"11.26"" x 4.49""",NVIDIA,WINDFORCE 3X,1830 MHz,"October 09, 2020",DirectX 12,3 x DisplayPort 1.4,15500 MHz,Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansExtreme Durability and OverclockingProtection Metal Back Plate,ATX,GeForce RTX 2080 SUPER,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,286 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N208SWF3OC-8GD,4,OpenGL 4.6,NONE,NONE,Accessories:Quick guideDriver CD,"1 x 8-Pin, 1 x 6-Pin",2-way NVIDIA NVLINK,NONE,2.5 slot,Recommended Power Supply: 650W,250W,NONE,Yes,883 (79% Positive),286.004,114.046,0.0,1830.0,15500.0,883.0,NONE,NONE
