,brand,model,product_name,price,rating,shipping,url
0,EVGA,GTX 780,EVGA SuperClocked GeForce GTX 780 DirectX 11.1 03G-P4-2785-RX 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,$299.00 –,,Free Shipping,https://www.newegg.com/evga-geforce-gtx-780-03g-p4-2785-rx/p/N82E16814487107?Description=gtx
1,PNY,GTX 780,PNY VCGGTX7803XPB G-SYNC Support GeForce GTX 780 3GB 384-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,$495.00 –,5,$13.50 Shipping,https://www.newegg.com/pny-geforce-gtx-780-vcggtx7803xpb/p/N82E16814133489?Description=gtx
2,PNY,GTX 780,PNY VCGGTX780T3XPB-OC G-SYNC Support GeForce GTX 780 Ti 3GB 384-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,$395.00 –,5,$13.50 Shipping,https://www.newegg.com/pny-geforce-gtx-780-ti-vcggtx780t3xpb-oc/p/N82E16814133526?Description=gtx
3,EVGA,GTX 780,EVGA 03G-P4-2883-KR G-SYNC Support GeForce GTX 780 Ti Superclocked 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,$410.00 –,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-780-ti-superclocked-03g-p4-2883-kr/p/N82E16814487001?Description=gtx
4,EVGA,GTX 780,EVGA 03G-P4-2881-KR G-SYNC Support GeForce GTX 780 Ti 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,$429.00 –,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-780-ti-03g-p4-2881-kr/p/N82E16814487002?Description=gtx
5,EVGA,GTX 780,EVGA 03G-P4-2884-KR G-SYNC Support GeForce GTX 780 Ti Superclocked 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support w/EVGA ACX Cooler Video Card,$410.00 –,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-780-ti-superclocked-03g-p4-2884-kr/p/N82E16814487003?Description=gtx
6,EVGA,GTX 780,EVGA 03G-P4-2888-KR G-SYNC Support GeForce GTX 780 Ti Dual Classified w/ EVGA ACX Cooler 3GB 384-bit GDDR5 PCI Express 3.0 SLI Support Video Card,$479.00 –,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-780-ti-03g-p4-2888-kr/p/N82E16814487007?Description=gtx
7,ASUS,GTX 780,ASUS GeForce GTX 780 DirectX 11.1 GTX780-DC2OC-3GD5 3GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$199.99 (3 Offers)–,5,Free Shipping,https://www.newegg.com/asus-geforce-gtx-780-gtx780-dc2oc-3gd5/p/N82E16814121870?Description=gtx
8,GIGABYTE,GTX 780,GIGABYTE GeForce GTX 780 Ti GV-N78TOC-3GD 3GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$395.00 –,,$13.50 Shipping,https://www.newegg.com/gigabyte-geforce-gtx-780-ti-gv-n78toc-3gd/p/N82E16814125714?Description=gtx
9,EVGA,GTX 780,EVGA 03G-P4-2781-KR G-SYNC Support GeForce GTX 780 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Video Card,$355.00 (2 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-780-03g-p4-2781-kr/p/N82E16814130916?Description=gtx
10,EVGA,GTX 780,EVGA SuperClocked 03G-P4-2783-KR G-SYNC Support GeForce GTX 780 3GB 384-bit GDDR5 PCI Express 3.0 SLI Support Video Card,$279.99 –,5,$4.49 Shipping,https://www.newegg.com/evga-geforce-gtx-780-03g-p4-2783-kr/p/N82E16814130917?Description=gtx
11,EVGA,GTX 780,EVGA 03G-P4-3788-KR G-SYNC Support GeForce GTX 780 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Classified w/ EVGA ACX Cooler Video Card,$369.00 –,4,Free Shipping,https://www.newegg.com/evga-geforce-gtx-780-03g-p4-3788-kr/p/N82E16814130943?Description=gtx
12,EVGA,GTX 780,EVGA 03G-P4-3784-KR G-SYNC Support GeForce GTX 780 3GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Dual FTW w/ EVGA ACX Cooler Video Card,$399.00 (1 Offers)–,5,Free Shipping,https://www.newegg.com/evga-geforce-gtx-780-03g-p4-3784-kr/p/N82E16814130951?Description=gtx
13,ASUS,GTX 780,ASUS GTX780-DC2OC-3GD5 G-SYNC Support GeForce GTX 780 3GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$229.99 –,5,$4.69 Shipping,https://www.newegg.com/asus-geforce-gtx-780-gtx780-dc2oc-3gd5/p/N82E16814121779?Description=gtx
14,ASUS,GTX 780,ASUS DirectCU II G-SYNC Support GeForce GTX 780 Ti 3GB 384-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$595.00 –,,$13.50 Shipping,https://www.newegg.com/asus-geforce-gtx-780-ti-gtx780ti-dc2oc-3gd5/p/1FT-000Y-000Y7?Description=gtx
15,EVGA,GTX 780,EVGA 06G-P4-3787-KR G-SYNC Support GeForce GTX 780 6GB 384-Bit GDDR5 PCI Express 3.0 SLI Support SC w/ EVGA ACX Cooler Video Card,$379.00 (2 Offers)–,,Free Shipping,https://www.newegg.com/evga-geforce-gtx-780-06g-p4-3787-kr/p/1FT-001K-00708?Description=gtx
