,brand,model,product_name,price,rating,shipping,url
0,GIGABYTE,R9 380,GIGABYTE Radeon R9 380 DirectX 12 GV-R938G1 GAMING-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready ATX Video Card,$289.00 –,5,Free Shipping,https://www.newegg.com/gigabyte-radeon-r9-380-gv-r938g1-gaming-4gd/p/N82E16814125930?Description=R9
1,VisionTek,R9 380,VisionTek Radeon R9 380 DirectX 12 401425 2GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support Video Card,$269.00 –,,Free Shipping,https://www.newegg.com/visiontek-radeon-r9-380-401425/p/N82E16814129406?Description=R9
2,MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 GAMING 2G 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support ATX Video Card,$439.00 –,4,$4.95 Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-gaming-2g/p/N82E16814127876?Description=R9
3,MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 GAMING 4G 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card,$399.00 –,4,Free Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-gaming-4g/p/N82E16814127878?Description=R9
4,MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 GAMING 4G LE 4GB 256-Bit GDDR5 HDCP Ready CrossFireX Support ATX Video Card,$439.00 (1 Offers)–,4,Free Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-gaming-4g-le/p/N82E16814127879?Description=R9
5,MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 2GD5T OC 2GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card,$299.00 –,4,Free Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-2gd5t-oc/p/N82E16814127880?Description=R9
6,MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 4GD5T OC 4GB 256-Bit GDDR5 HDCP Ready CrossFireX Support ATX Video Card,$399.00 –,4,Free Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-4gd5t-oc/p/N82E16814127913?Description=R9
7,VisionTek,R9 380,"Visiontek Radeon R9 380 2GB GDDR5 4M (DVI-D, DVI-I, DP, HDMI), 900808",$259.00 –,2,Free Shipping,https://www.newegg.com/visiontek-radeon-r9-380-900808/p/N82E16814129310?Description=R9
8,GIGABYTE,R9 380,Gigabyte Radeon R9 380 2GB Windforce GDDR5 GV-R938WF2OC-2GD Video Card GPU,$269.00 –,,Free Shipping,https://www.newegg.com/p/27N-0022-00023?Description=R9
9,MSI,R9 380,MSI Radeon R9 380 DirectX 12 R9 380 GAMING 2G 2GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support ATX Video Card,$329.00 –,,$4.95 Shipping,https://www.newegg.com/msi-radeon-r9-380-r9-380-gaming-2g/p/27N-0023-000C5?Description=R9
