,brand,model,product_name,price,rating,shipping,url
0,GIGABYTE,RTX 2080,"GIGABYTE GeForce RTX 2080 Super GAMING OC 8G (Rev 2.0) Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMING OC-8GC Video Card","$1,029.99 (4 Offers)–",5,$45.00 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208sgaming-oc-8gc/p/N82E16814932218?Description=rtx
1,MSI,RTX 2080,MSI GeForce RTX 2080 GAMING X TRIO Video Card,$749.99 –,4,$105.00 Shipping,https://www.newegg.com/msi-geforce-rtx-2080-rtx-2080-gaming-x-trio/p/N82E16814137340?Description=rtx
2,ASUS,RTX 2080,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-A11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,649.99 –",3,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-a11g-gaming/p/N82E16814126265?Description=rtx
3,ASUS,RTX 2080,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,849.99 (2 Offers)–",5,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-11g-gaming/p/N82E16814126080?Description=rtx
4,MSI,RTX 2080,MSI GeForce RTX 2080 TI GAMING X TRIO Video Card,"$1,852.99 (6 Offers)–",4,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2080-ti-rtx-2080-ti-gaming-x-trio/p/N82E16814137338?Description=rtx
5,ASUS,RTX 2080,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,719.99 (6 Offers)–",4,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-o11g-gaming/p/N82E16814126263?Description=rtx
6,MSI,RTX 2080,MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$749.99 –,5,$45.00 Shipping,https://www.newegg.com/msi-geforce-rtx-2080-rtx-2080-ventus-8g-oc/p/N82E16814137350?Description=rtx
7,ASUS,RTX 2080,ASUS ROG STRIX GeForce RTX 2080 SUPER Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080S-A8G-GAMING),"$1,049.99 (3 Offers)–",5,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-super-rog-strix-rtx2080s-a8g-gaming/p/N82E16814126336?Description=rtx
8,MSI,RTX 2080,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"$1,397.99 (6 Offers)–",4,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2080-super-rtx-2080-super-gaming-x-trio/p/N82E16814137442?Description=rtx
9,GIGABYTE,RTX 2080,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS W-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,129.90 (3 Offers)–",4,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208saorus-w-8gc/p/N82E16814932206?Description=rtx
10,GIGABYTE,RTX 2080,"GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card, 3 x WINDFORCE Fans, 11GB 352-Bit GDDR6, GV-N208TGAMING OC-11GC Video Card","$1,649.99 (4 Offers)–",3,$45.00 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tgaming-oc-11gc/p/N82E16814932064?Description=rtx
11,EVGA,RTX 2080,"EVGA GeForce RTX 2080 Ti XC ULTRA GAMING Video Card, 11G-P4-2383-RX, 11GB GDDR6, Dual HDB Fans & RGB LED",$999.99 (3 Offers)–,3,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2383-rx/p/N82E16814487510?Description=rtx
12,ASUS,RTX 2080,ASUS ROG STRIX GeForce RTX 2080 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080-8G-GAMING),$699.99 –,4,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-rog-strix-rtx2080-8g-gaming/p/N82E16814126277?Description=rtx
